企业,单干成本,Shapley分摊成本与节约量,Shapley是否落在转归集内,核仁分摊成本与节约量,核仁是否落在转归集内,转归集区间,规则间极差,来源文件与字段,源文件SHA256
ENT_A,2068.8973731416263 CNY,"成本1624.4610251629701 CNY；节约444.43634797865616 CNY",是,"成本1624.4610251629701 CNY；节约444.43634797865616 CNY",是,"[1180.0246771843133, 2068.8973731416263] CNY",0.0 CNY,"Shapley：coalition_accounting_adapter.py#allocate_two_enterprise_costs；核仁：两方成本博弈解析同值；core下界=c({A,B})-c({B})，上界=c({A})","适配器ee5e004966a6deb96faa740bfdd1ab896a572a2a83fec7e537e266767025b960；ENT_A单干解5ae135fb4e5d8459907ad92e9eeeeff2fd4ad240bfd85dcbcda580517160d7a7；ENT_B单干解61f73c6fb56375c1482347f2e4dd6fbe37178b9ec632a7e5546721d77d7d03ba；联合解c792a33adf9ee07688087c7d5be93757e41f833653bcce932290423639b6800c"
ENT_B,1853.181299526456 CNY,"成本1408.7449515477997 CNY；节约444.4363479786564 CNY",是,"成本1408.7449515477997 CNY；节约444.4363479786564 CNY",是,"[964.3086035691431, 1853.181299526456] CNY",0.0 CNY,"Shapley：coalition_accounting_adapter.py#allocate_two_enterprise_costs；核仁：两方成本博弈解析同值；core下界=c({A,B})-c({A})，上界=c({B})","适配器ee5e004966a6deb96faa740bfdd1ab896a572a2a83fec7e537e266767025b960；ENT_A单干解5ae135fb4e5d8459907ad92e9eeeeff2fd4ad240bfd85dcbcda580517160d7a7；ENT_B单干解61f73c6fb56375c1482347f2e4dd6fbe37178b9ec632a7e5546721d77d7d03ba；联合解c792a33adf9ee07688087c7d5be93757e41f833653bcce932290423639b6800c"
