企业,责任客户数,单干成本 c({i}),协作下路线归属成本,分摊后成本,相对单干的节约量与节约率,参与约束是否满足,来源文件与字段,源文件SHA256
ENT_A,25,2068.8973731416263 CNY,754.0405728149221 CNY,1624.4610251629701 CNY,"444.43634797865616 CNY；21.48179768355442%","分摊前：否（运营账利润裕量-5871.643199673295 CNY）；分摊后：是（裕量444.43634797865525 CNY）","单干：standalone/ENT_A/seed_6/enterprise_ledger.json；路线归属：joint/seed_8/enterprise_ledger.json；分摊：coalition_accounting_adapter.py#allocate_two_enterprise_costs","单干解5ae135fb4e5d8459907ad92e9eeeeff2fd4ad240bfd85dcbcda580517160d7a7；联合账4f38baf5e1c94d4e10bb321cf0a335615ba84f4891cc4944049f94a8dc165385；适配器ee5e004966a6deb96faa740bfdd1ab896a572a2a83fec7e537e266767025b960"
ENT_B,25,1853.181299526456 CNY,2279.1654038958477 CNY,1408.7449515477997 CNY,"444.4363479786564 CNY；23.982345822949075%","分摊前：是（运营账利润裕量6760.515895630609 CNY）；分摊后：是（裕量444.43634797865616 CNY）","单干：standalone/ENT_B/seed_10/enterprise_ledger.json；路线归属：joint/seed_8/enterprise_ledger.json；分摊：coalition_accounting_adapter.py#allocate_two_enterprise_costs","单干解61f73c6fb56375c1482347f2e4dd6fbe37178b9ec632a7e5546721d77d7d03ba；联合账4f38baf5e1c94d4e10bb321cf0a335615ba84f4891cc4944049f94a8dc165385；适配器ee5e004966a6deb96faa740bfdd1ab896a572a2a83fec7e537e266767025b960"
合计,50,3922.0786726680826 CNY,3033.2059767107694 CNY,3033.20597671077 CNY,"888.8726959573132 CNY；22.663306122634136%","分摊前：1/2企业满足；分摊后：2/2企业满足","单干成本求和；联合成本best_solution.json#/evaluation/total_cost；分摊总额为适配器allocated_total","联合解c792a33adf9ee07688087c7d5be93757e41f833653bcce932290423639b6800c；适配器ee5e004966a6deb96faa740bfdd1ab896a572a2a83fec7e537e266767025b960"
