算例,本文Best,原始精度距离,客户完成,路线可行,圈数,运行时间s,到最好用时s,停止条件,可行运行数,公开最好值及版本
PR11A,6776.761,6776.756615056461,360/360,31/31,13679,120.00355754198972,115.91599037501146,MAX_RUNTIME,1/1,待补(BKS)
PR11B,4820.376,4820.36998449583,360/360,25/25,13680,115.78265141599695,83.68398866601638,NO_IMPROVEMENT,1/1,待补(BKS)
PR12A,8251.671,8251.667033509993,480/480,41/41,10006,120.01295062500867,97.69963474999531,MAX_RUNTIME,1/1,待补(BKS)
PR12B,6041.261,6041.261576997254,480/480,33/33,11471,120.01341108299675,119.09407941700192,MAX_RUNTIME,1/1,待补(BKS)
PR13A,9722.412,9722.40376213239,600/600,48/48,6509,120.00944279198302,118.87429999999586,MAX_RUNTIME,1/1,待补(BKS)
PR13B,7293.739,7293.7397278235,600/600,41/41,7644,120.00874808398657,117.07555304199923,MAX_RUNTIME,1/1,待补(BKS)
PR14A,11280.749,11280.746232084652,720/720,57/57,4630,120.00708270800533,112.52667383299558,MAX_RUNTIME,1/1,待补(BKS)
PR14B,8825.714,8825.706869904887,720/720,53/53,5646,120.00769041699823,117.98676545798662,MAX_RUNTIME,1/1,待补(BKS)
PR15A,13229.546,13229.527282491961,840/840,69/69,3034,120.02555154199945,118.2413853330072,MAX_RUNTIME,1/1,待补(BKS)
PR15B,10522.498,10522.511209453125,840/840,64/64,3456,120.01718837500084,117.29562874999829,MAX_RUNTIME,1/1,待补(BKS)
PR16A,14633.726,14633.711735326331,960/960,78/78,2571,120.02172183399671,111.9066282499989,MAX_RUNTIME,1/1,待补(BKS)
PR16B,11762.652,11762.646734452763,960/960,71/71,2701,120.01985679200152,117.94192075001774,MAX_RUNTIME,1/1,待补(BKS)
PR17A,6316.228,6316.2244942322295,360/360,30/30,11868,77.27347816698602,48.23970091700903,NO_IMPROVEMENT,1/1,待补(BKS)
PR17B,4796.924,4796.935612815284,360/360,26/26,17694,120.0021601250046,92.9366116670135,MAX_RUNTIME,1/1,待补(BKS)
PR18A,8365.857,8365.858589854064,520/520,44/44,8884,120.01784620899707,117.69479804200819,MAX_RUNTIME,1/1,待补(BKS)
PR18B,6512.75,6512.754095562999,520/520,38/38,9291,120.00212370802183,118.30565933400067,MAX_RUNTIME,1/1,待补(BKS)
PR19A,10831.511,10831.516882465838,700/700,57/57,3311,120.00475345901214,112.46517687500454,MAX_RUNTIME,1/1,待补(BKS)
PR19B,8199.189,8199.192843199691,700/700,52/52,3996,120.0168852909992,110.03904433400021,MAX_RUNTIME,1/1,待补(BKS)
PR20A,12204.194,12204.201412673203,880/880,70/70,2668,120.00236316700466,119.12935233299504,MAX_RUNTIME,1/1,待补(BKS)
PR20B,10324.916,10324.931913321858,880/880,68/68,2842,120.00985645799665,118.36256000000867,MAX_RUNTIME,1/1,待补(BKS)
PR21A,6251.424,6251.429901895437,420/420,35/35,11271,120.00727716699475,112.1532905829954,MAX_RUNTIME,1/1,待补(BKS)
PR21B,4893.444,4893.457803380548,420/420,30/30,12204,120.00178020799649,77.96170749998419,MAX_RUNTIME,1/1,待补(BKS)
PR22A,8121.877,8121.888102299941,600/600,46/46,4903,120.00985233401298,111.812507249997,MAX_RUNTIME,1/1,待补(BKS)
PR22B,6516.749,6516.76232823166,600/600,42/42,5440,120.01537312500295,119.65727791699464,MAX_RUNTIME,1/1,待补(BKS)
PR23A,10138.318,10138.324008684307,780/780,62/62,3467,120.01418612501584,98.39677212497918,MAX_RUNTIME,1/1,待补(BKS)
PR23B,8480.755,8480.769298516794,780/780,58/58,4080,120.00173320798785,117.00553575000959,MAX_RUNTIME,1/1,待补(BKS)
PR24A,12149.427,12149.435442392376,960/960,81/81,2301,120.01628845900996,119.12219566697604,MAX_RUNTIME,1/1,待补(BKS)
PR24B,10905.516,10905.51870364062,960/960,75/75,2446,120.00860704199295,113.17372749999049,MAX_RUNTIME,1/1,待补(BKS)
