algorithm,role,status,actual_evals,elapsed_seconds,best_cost,solution_signature_hash,violation_count,feasible,failure_reason,variant,flags,operator_counts,eval_budget,eval_ratio,max_runtime_seconds,warm_start_cost,warm_start_hash,returned_warm_start,improvement_vs_warm_pct,health_status,track,bundle,bundle_dir,seed,wall_elapsed_seconds
plain_alns,plain_alns,OK,16000,432.0403075000504,550.8445533483949,b61a3c9b760f2554216144ea212821346613fdf5c934d53d37c5a0b40f59b15e,0,True,,winner_kernel,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""0"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_SA_MODE"": ""off"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""0"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""0"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""0"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""0""}","{""destroy"": {""random_customer_removal"": [13, 0, 4509, 10240], ""route_segment_removal"": [0, 0, 0, 3], ""shaw_related_removal"": [6, 0, 26, 279], ""vehicle_type_swap"": [3, 0, 0, 114], ""whole_route_removal"": [0, 0, 1, 8], ""worst_customer_removal"": [0, 0, 625, 173]}, ""repair"": {""greedy_insert_repair"": [16, 0, 4511, 10362], ""regret2_insert_repair"": [6, 0, 26, 284], ""regret3_insert_repair"": [0, 0, 624, 171]}, ""scan"": {""infeasible"": 0, ""rebuild_accepts"": 0, ""rebuild_attempts"": 0, ""restart_accepts"": 0, ""restart_attempts"": 0}, ""timing"": {}}",16000,1.0,900.0,749.6211609121925,3501d4651521556162792f6c183c18a0af0e2ced6384398ae6d26cca83fc5b32,False,26.51694188060433,NOT_BASELINE_GATE,A,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,
strong_method,strong_method,OK,16000,446.1864588999888,571.1873640602261,a51e38c9facbd2c6e20593fd609ee4e9cfbce5b7fa442116d2a43c318776435f,0,True,,track15_strong_method,"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""1"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""1"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}","{""destroy"": {""random_customer_removal"": [1, 0, 6295, 5894], ""route_elimination_removal"": [0, 0, 0, 3], ""route_segment_removal"": [15, 11, 1251, 2403], ""shaw_related_removal"": [0, 0, 0, 3], ""vehicle_type_swap"": [1, 0, 0, 33], ""whole_route_removal"": [0, 1, 3, 21], ""worst_customer_removal"": [0, 0, 0, 3]}, ""repair"": {""greedy_insert_repair"": [2, 0, 6295, 5928], ""regret2_insert_repair"": [0, 1, 3, 25], ""regret3_insert_repair"": [15, 11, 1251, 2407]}, ""scan"": {""infeasible"": 0, ""rebuild_accepts"": 0, ""rebuild_attempts"": 61, ""restart_accepts"": 1, ""restart_attempts"": 1}, ""timing"": {""acceptance"": {""count"": 15938.0, ""seconds"": 2.6417483061086386}, ""destroy:random_customer_removal"": {""count"": 12190.0, ""seconds"": 1.805209294310771}, ""destroy:route_elimination_removal"": {""count"": 3.0, ""seconds"": 0.00034600007347762585}, ""destroy:route_segment_removal"": {""count"": 3680.0, ""seconds"": 0.37826569692697376}, ""destroy:shaw_related_removal"": {""count"": 3.0, ""seconds"": 0.0012384000001475215}, ""destroy:vehicle_type_swap"": {""count"": 34.0, ""seconds"": 0.05313999974168837}, ""destroy:whole_route_removal"": {""count"": 25.0, ""seconds"": 0.002177199814468622}, ""destroy:worst_customer_removal"": {""count"": 3.0, ""seconds"": 0.00027739990036934614}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00041820004116743803}, ""full_candidate_score"": {""count"": 15938.0, ""seconds"": 9.44037749839481}, ""history_model_cost"": {""count"": 19.0, ""seconds"": 0.002708800253458321}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0003960999893024564}, ""local_search"": {""count"": 12515.0, ""seconds"": 385.5817215980496}, ""repair:greedy_insert_repair"": {""count"": 12225.0, ""seconds"": 38.34814740146976}, ""repair:regret2_insert_repair"": {""count"": 29.0, ""seconds"": 0.3026746001560241}, ""repair:regret3_insert_repair"": {""count"": 3684.0, ""seconds"": 7.416736499406397}, ""repair_full_check"": {""count"": 15911.0, ""seconds"": 7.445958006195724}, ""repair_solution_score"": {""count"": 102.0, ""seconds"": 0.013401099597103894}, ""route_model_cost"": {""count"": 12176.0, ""seconds"": 0.48812330362852663}, ""scan_build"": {""count"": 62.0, ""seconds"": 0.024224201100878417}, ""scan_score"": {""count"": 62.0, ""seconds"": 0.01584670040756464}}}",16000,1.0,900.0,749.6211609121925,3501d4651521556162792f6c183c18a0af0e2ced6384398ae6d26cca83fc5b32,False,23.803196355187666,NOT_BASELINE_GATE,A,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,
GA,weak_baseline,HALT_RUNTIME_UNDER_EVAL,9229,900.0000070999376,749.6211609121925,3501d4651521556162792f6c183c18a0af0e2ced6384398ae6d26cca83fc5b32,0,True,Stopped at 9229/16000 complete evaluations.,,,,16000,0.5768125,900.0,749.6211609121925,3501d4651521556162792f6c183c18a0af0e2ced6384398ae6d26cca83fc5b32,True,0.0,UNHEALTHY_UNDER_EVAL,A,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,900.0079680000199
