instance,bks_2013,previous_target,mvhgssp_result,improvement_vs_previous_scaled,independent_certificate,strict_source
PR12A,8148.107,8148.084,8147.450,634,PASS,HGS_or_SP_tie
PR14B,8656.335,8654.168,8653.985,183,PASS,SP_strictly_below_epoch_HGS
PR22B,6403.374,6403.042,6402.949,93,PASS,HGS_or_SP_tie
PR23B,8317.649,8317.637,8316.672,965,PASS,HGS_or_SP_tie
PR24B,10486.450,10482.875,10482.724,151,PASS,HGS_or_SP_tie
