run_id,instance,condition,seed,arm,status,solution_payload_exact,certificate_payload_exact,metric_max_abs_diff,certificate_stat_max_abs_diff,cost_component_error,violation_count,violations_json,metric_diffs_json,certificate_stat_diffs_json
L-main-threeshift-10c-01__geographic__seed1__ownership_fixed,L-main-threeshift-10c-01,geographic,1,ownership_fixed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__geographic__seed1__reassignment_allowed,L-main-threeshift-10c-01,geographic,1,reassignment_allowed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__geographic__seed2__ownership_fixed,L-main-threeshift-10c-01,geographic,2,ownership_fixed,PASS,True,True,0.0,0.0,0.0,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__geographic__seed2__reassignment_allowed,L-main-threeshift-10c-01,geographic,2,reassignment_allowed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__geographic__seed3__ownership_fixed,L-main-threeshift-10c-01,geographic,3,ownership_fixed,PASS,True,True,0.0,0.0,0.0,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__geographic__seed3__reassignment_allowed,L-main-threeshift-10c-01,geographic,3,reassignment_allowed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__mixed__seed1__ownership_fixed,L-main-threeshift-10c-01,mixed,1,ownership_fixed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__mixed__seed1__reassignment_allowed,L-main-threeshift-10c-01,mixed,1,reassignment_allowed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__mixed__seed2__ownership_fixed,L-main-threeshift-10c-01,mixed,2,ownership_fixed,PASS,True,True,0.0,0.0,0.0,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__mixed__seed2__reassignment_allowed,L-main-threeshift-10c-01,mixed,2,reassignment_allowed,PASS,True,True,0.0,0.0,1.1368683772161603e-13,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
L-main-threeshift-10c-01__mixed__seed3__ownership_fixed,L-main-threeshift-10c-01,mixed,3,ownership_fixed,PASS,True,True,0.0,0.0,0.0,0,[],"{""E_cv_direct"": 0.0, ""E_ev_indirect"": 0.0, ""E_total"": 0.0, ""cost_carbon"": 0.0, ""cost_elec"": 0.0, ""cost_fix"": 0.0, ""cost_fuel"": 0.0, ""cost_km"": 0.0, ""cost_occ"": 0.0, ""cost_transship"": 0.0, ""distance_total"": 0.0, ""electricity_kwh"": 0.0, ""total_cost"": 0.0}","{""between_trip_gap_hours"": 0.0, ""max_trips_per_vehicle"": 0.0, ""physical_cv"": 0.0, ""physical_ev"": 0.0, ""physical_total"": 0.0, ""trip_count"": 0.0, ""vehicle_work_hours"": 0.0}"
