algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,20,6589.063717041644,20,20,1638,winner_kernel_v1,kernel_default,0,1,fb10e9a6dde6f7bbfe29339af5f886ce426016ebf4113a1647ffa9abcd233c93,{},"{""random_customer_removal"":3,""route_segment_removal"":3,""shaw_related_removal"":3,""vehicle_type_swap"":5,""whole_route_removal"":3,""worst_customer_removal"":3}","{""greedy_insert_repair"":10,""regret2_insert_repair"":5,""regret3_insert_repair"":5}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,20,6589.063717041644,20,20,0,winner_kernel_v1,official_kernel,0,1,a49e305ab0d290ba43c071d4409be59c8206835934a172b2392489f25a0bd00e,{},{},{},{}
random_full,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,20,5618.472200682593,20,20,13103,winner_kernel_v1,ppo_full,0,1,d93f20ca0529b5c1e4acf49172f6d9c2c290d7c69362e83c4470b6ba1c19f1eb,{},"{""random_customer_removal"":4,""route_segment_removal"":3,""vehicle_type_swap"":5,""whole_route_removal"":4,""worst_customer_removal"":4}","{""greedy_insert_repair"":4,""regret2_insert_repair"":5,""regret3_insert_repair"":11}","{""0.133333"":3,""0.166667"":2,""0.200000"":1,""0.233333"":2,""0.266667"":5,""0.300000"":3,""0.333333"":1,""0.366667"":3}"
