category,instance,seed,decoder,feasible,violation_count,violation_sample,route_count,lns_route_count,a7_route_count,route_count_delta_vs_lns,route_delta_before,route_count_match_lns,route_delta_half_reduced,cost_fix,lns_cost_fix,a7_cost_fix,total_cost,lns_cost,a7_cost,gap_vs_lns,gap_vs_a7,no_material_total_cost_blowup,reachable_structure,best_reachable,best_no_blowup,solution_signature
multidepot,e2-multidepot-100c-01,1,decode_a7_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3076.822628284284,2470.345558303238,2486.561674128944,-0.2455029289091062,-0.23738037962083178,False,True,False,False,e5f949562e5fd393c8c30103d36001b07d7938b7ebeeb595e869747c2a433e7a
multidepot,e2-multidepot-100c-01,1,decode_lns_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3318.4370583942537,2470.345558303238,2486.561674128944,-0.3433088529823048,-0.3345484622080488,False,True,False,False,f7975a610447bbc150a1d53b345c9b7448ab89f4719641b4c68368906e4fa19c
multidepot,e2-multidepot-100c-01,1,decode_mixed_route_blocks,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3474.7023848468743,2470.345558303238,2486.561674128944,-0.40656531762037423,-0.3973923997135849,False,True,False,False,f053af539052fa5fac8b62e55b00bba70b4f3064430725696893d192e6a4c646
multidepot,e2-multidepot-100c-01,1,decode_angle_scan_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3543.444585578738,2470.345558303238,2486.561674128944,-0.43439227506801137,-0.42503788361494216,False,True,False,False,6d9f897edb3e06c84bee74b002ff14c70733065d280795b9acd051a236847a34
multidepot,e2-multidepot-100c-01,1,decode_a11_8000_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3477.2385956497346,2470.345558303238,2486.561674128944,-0.4075919799811665,-0.3984123666941943,False,True,False,False,fcf8a2b67bc007d5df39e3a7976503006cae3f2c32ce522748a75fcbbd99890d
multidepot,e2-multidepot-100c-01,2,decode_a7_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,2790.2330385051696,2486.6734386889134,2521.5200226119437,-0.12207457364257147,-0.10656786917554462,False,True,False,False,dac05bf9448b0eb8207f9c1a58b0f3710c404de4c1fa727f013c490adecd93c5
multidepot,e2-multidepot-100c-01,2,decode_lns_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3156.651265935991,2486.6734386889134,2521.5200226119437,-0.2694273469218862,-0.2518842752103708,False,True,False,False,43654ce71e0fa3d3a7b6aed6cbce9dc6132eda1e1909ddbe40b0cfb6cbbbcd30
multidepot,e2-multidepot-100c-01,2,decode_mixed_route_blocks,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3073.4960571868364,2486.6734386889134,2521.5200226119437,-0.2359870055182326,-0.21890606841310045,False,True,False,False,effe40ab51e0453ec5ad43a67883e6ed106876a9184bef1c7fe5f2dfbeae3acf
multidepot,e2-multidepot-100c-01,2,decode_angle_scan_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3543.444585578738,2486.6734386889134,2521.5200226119437,-0.42497383470143235,-0.40528116128470115,False,True,False,False,6d9f897edb3e06c84bee74b002ff14c70733065d280795b9acd051a236847a34
multidepot,e2-multidepot-100c-01,2,decode_a11_8000_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,2757.6716627365067,2486.6734386889134,2521.5200226119437,-0.10898022226451892,-0.09365447746075911,False,True,False,False,ec4ec3e90496c83183d7309b33b123f579b702e6c2a85dd3905e8ca7a69b86b7
multidepot,e2-multidepot-100c-01,3,decode_a7_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3166.6014149942343,2467.994869985334,2474.0949990072977,-0.28306644941002324,-0.27990292056885324,False,True,False,False,508b732c4df8e937a5169520c8bbda1ebbc5a7e4448fef298e5fbd185894b2cc
multidepot,e2-multidepot-100c-01,3,decode_lns_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3025.2566279612206,2467.994869985334,2474.0949990072977,-0.22579534696488174,-0.2227730257629841,False,True,False,False,a9660321daff743bab6e775d44c1550463adc2e2e6e8f5f7c6c0f82a757c87c9
multidepot,e2-multidepot-100c-01,3,decode_mixed_route_blocks,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,2889.921553846185,2467.994869985334,2474.0949990072977,-0.1709593034378383,-0.1680721859935584,False,True,False,False,5207ba78bd09457a5fdb963e3df03f2ada6ca9b7b4a3180cb3ebb27152e93997
multidepot,e2-multidepot-100c-01,3,decode_angle_scan_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3543.444585578738,2467.994869985334,2474.0949990072977,-0.435758489076517,-0.4322184827181271,False,True,False,False,6d9f897edb3e06c84bee74b002ff14c70733065d280795b9acd051a236847a34
multidepot,e2-multidepot-100c-01,3,decode_a11_8000_order,True,0,,14,14,14,0,0,True,False,1120.0,1120.0,1120.0,3720.830498342145,2467.994869985334,2474.0949990072977,-0.507632995349077,-0.5039157751966216,False,True,False,False,7815b184cfba22c521b0024f89816c807739c92ede49ede5f0665c734ba780fe
multidepot,e2-multidepot-10c-01,2,decode_a7_order,True,0,,2,2,2,0,0,True,False,160.0,160.0,160.0,387.9007343319535,371.9993673208387,387.9007343319535,-0.0427456829446711,0.0,True,True,True,True,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b
multidepot,e2-multidepot-10c-01,2,decode_lns_order,True,0,,2,2,2,0,0,True,False,160.0,160.0,160.0,489.44987904583775,371.9993673208387,387.9007343319535,-0.3157277190305041,-0.26179157636495115,False,True,False,False,0e9c65060e5f9dab68e2a235e4ae03fcff366fe72708d446e3e7d3e0894959b3
