category,instance,seed,a7_cost,lns_cost,a7_route_count,lns_route_count,route_count_delta,a7_cost_fix,lns_cost_fix,cost_fix_delta,a7_cv_route_count,lns_cv_route_count,a7_ev_route_count,lns_ev_route_count,charging_action_delta,customer_order_similarity,loss_bucket
multidepot,e2-multidepot-100c-01,1,2486.561674128944,2470.345558303238,14,14,0,1120.0,1120.0,0.0,8,7,6,7,-1,0.7886,non_route_fixed
multidepot,e2-multidepot-100c-01,2,2521.5200226119437,2486.6734386889134,14,14,0,1120.0,1120.0,0.0,9,6,5,8,-4,0.7394000000000001,non_route_fixed
multidepot,e2-multidepot-100c-01,3,2474.0949990072977,2467.994869985334,14,14,0,1120.0,1120.0,0.0,6,7,8,7,2,0.663,non_route_fixed
multidepot,e2-multidepot-10c-01,2,387.9007343319535,371.9993673208387,2,2,0,160.0,160.0,0.0,1,1,1,1,-1,0.8,non_route_fixed
multidepot,e2-multidepot-15c-01,1,649.8601526479185,621.371321439464,3,2,1,240.0,160.0,80.0,3,2,0,0,0,0.6177777777777778,route_fixed
multidepot,e2-multidepot-20c-01,1,707.0076075763136,700.4933751651098,3,3,0,240.0,240.0,0.0,3,2,0,1,-1,0.6699999999999999,non_route_fixed
multidepot,e2-multidepot-50c-01,2,1226.889772559751,1192.7479646155844,7,7,0,560.0,560.0,0.0,4,4,3,3,0,0.7216,non_route_fixed
multidepot,e2-multidepot-50c-01,3,1272.3085004403983,1191.9803676825516,8,7,1,640.0,560.0,80.0,3,4,5,3,3,0.6088,route_fixed
multidepot,e2-multidepot-75c-01,3,2015.2600136757765,2001.7043548591696,11,11,0,880.0,880.0,0.0,9,7,2,4,-3,0.7052444444444445,non_route_fixed
threeshift,e2-threeshift-100c-01,1,2721.6649553264665,2672.587337374461,13,13,0,1040.0,1040.0,0.0,11,10,2,3,-1,0.8034,non_route_fixed
threeshift,e2-threeshift-100c-01,3,2770.717572290323,2721.997756306055,14,13,1,1120.0,1040.0,80.0,11,11,3,2,1,0.7472,route_fixed
threeshift,e2-threeshift-150c-01,3,4036.5306789404813,3899.3223684183135,23,22,1,1840.0,1760.0,80.0,11,11,12,11,-3,0.7024,route_fixed
threeshift,e2-threeshift-50c-01,2,1373.2825637977708,1334.4596675803778,7,7,0,560.0,560.0,0.0,6,5,1,2,0,0.8384,non_route_fixed
threeshift,e2-threeshift-75c-01,1,1940.2466484177046,1924.2253454603042,11,11,0,880.0,880.0,0.0,6,5,5,6,-2,0.6334222222222222,non_route_fixed
threeshift,e2-threeshift-75c-01,2,1976.3269245284043,1879.3851292337,11,10,1,880.0,800.0,80.0,6,6,5,4,2,0.6704,route_fixed
vanilla,e2-vanilla-100c-01,3,2927.3348127651484,2848.223791996355,14,14,0,1120.0,1120.0,0.0,11,11,3,3,1,0.7168,non_route_fixed
vanilla,e2-vanilla-150c-01,2,3518.2429057418876,3425.490341646978,22,20,2,1760.0,1600.0,160.0,10,13,12,7,7,0.6318222222222223,route_fixed
vanilla,e2-vanilla-15c-01,3,644.386285554954,642.185285005708,2,2,0,160.0,160.0,0.0,2,2,0,0,0,0.5466666666666666,non_route_fixed
vanilla,e2-vanilla-25c-01,3,640.5619371609267,640.1754851140676,3,3,0,240.0,240.0,0.0,3,3,0,0,0,0.5840000000000001,non_route_fixed
vanilla,e2-vanilla-50c-01,1,1391.931291039346,1388.3330801451787,7,7,0,560.0,560.0,0.0,5,6,2,1,1,0.6512,non_route_fixed
vanilla,e2-vanilla-50c-01,2,1397.711619932921,1388.2976527846358,7,7,0,560.0,560.0,0.0,6,6,1,1,0,0.7767999999999999,non_route_fixed
