instance,seed,algorithm,time_limit_seconds,elapsed_seconds,route_count,distance_double,lexicographic_score,evaluations,feasible,independent_recompute_pass,violation_count,solution_sha256,education,status
C1_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.1109096669824794,20,2704.567766330473,950264.5677663304,,True,True,0,1213e51c94a22aa0b4bcd8de2a1fc87acdeddd9cb048275bb24921a73e1ec9d2,"{""education_accepted"": 5, ""education_calls"": 104, ""sequence_removed_customers"": 1219}",OK
C2_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.0553369170520455,6,1931.442502939202,279107.4425029392,,True,True,0,a2b71cfc6875f1226841850c1e0b2946e69c20373506e5ba992dd9dec19f8110,"{""education_accepted"": 19, ""education_calls"": 64, ""sequence_removed_customers"": 840}",OK
R1_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.0584515830269083,23,8368.181231135713,1065540.1812311357,,True,True,0,c9f7802134b3c791b1d83c9f82b605497da3da9be9a1c6b37fd94ff40ff3d1ce,"{""education_accepted"": 0, ""education_calls"": 74, ""sequence_removed_customers"": 889}",OK
R2_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.0547859169892035,5,4539.481369084619,234359.48136908462,,True,True,0,6c68d96adcbcda9c961fd712606fd715d942ee473cfb4a995d48a7500ffab288,"{""education_accepted"": 2, ""education_calls"": 73, ""sequence_removed_customers"": 1032}",OK
RC1_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.053884124965407,20,6386.578383526032,925666.5783835261,,True,True,0,3068418f95a09a0b349b55aa2d1f97ae6f9dfd8574419f0cbce3f44976c81c12,"{""education_accepted"": 0, ""education_calls"": 63, ""sequence_removed_customers"": 835}",OK
RC2_2_1,1,hgs_with_sisr_regret_offspring_education,2.0,2.064206874987576,10,8946.19641570803,468586.19641570805,,True,True,0,f1c1ea1f3693242eb466307b7e8512b182b518bed6265d0e2b8f1744fd9c8176,"{""education_accepted"": 1, ""education_calls"": 82, ""sequence_removed_customers"": 1072}",OK
