instance,display_name,class,bks_vehicles,bks_distance,reference_code,comment,solution_url,max_vehicles,capacity,computed_vehicles,computed_distance_double,computed_distance_rounded_2,vehicle_match,distance_match,solution_feasible,solution_sha256,search_evaluations
C101,C101,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c101.txt,25,200,10,828.936866942834,828.94,1,1,1,7a000b23902b2ad8851d8a1752d007047c3f8ff6a27f60c6d1a3167f58433f48,0
C102,C102,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c102.txt,25,200,10,828.936866942834,828.94,1,1,1,136b506e9c9d529819008d94287ed8ec2825828e15cc65cb4899d18bbc0d2730,0
C103,C103,C1,10,828.06,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c103.txt,25,200,10,828.064882198084,828.06,1,1,1,6cf0131e29be67049c4ce0c67e2fd28d18ef63c39da0bb564f0fc395805e980e,0
C104,C104,C1,10,824.78,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c104.txt,25,200,10,824.776708221293,824.78,1,1,1,b2b1c802a892a91bc81fbee93661fd01ceb73ef6f25c8d1177628e48f3a3167f,0
C105,C105,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c105.txt,25,200,10,828.936866942834,828.94,1,1,1,d960d735ac1b98b88ed04bc240f88b5c3d5d40f93afeb757012f69f23afac1b7,0
C106,C106,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c106.txt,25,200,10,828.936866942834,828.94,1,1,1,edeb13ac077ab24d8e0b8787112c57e997e60482d0289bc8cfbf0cf6a82a73be,0
C107,C107,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c107.txt,25,200,10,828.936866942834,828.94,1,1,1,7c23b612a4bdb7a2566a253c92149b7aa81a05198b9c3b2ba3fcc3beab833e48,0
C108,C108,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c108.txt,25,200,10,828.936866942834,828.94,1,1,1,cbe465852879225df578c16b3a1145ed581e70aa27a4a4d030416b05e8a0f355,0
C109,C109,C1,10,828.94,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c109.txt,25,200,10,828.936866942834,828.94,1,1,1,a2a6d1bdd750f1c6da65531fdf072c6cd19ec4a10b071de018ea00e7912593a6,0
C201,C201,C2,3,591.56,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c201.txt,25,700,3,591.556556671502,591.56,1,1,1,a3a6a9b96dfd1bf8f6db553ca51c098d685361ac6934009c28725954a15afcb4,0
C202,C202,C2,3,591.56,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c202.txt,25,700,3,591.556556671502,591.56,1,1,1,6cfb9d58f1d9f63735ce99e8935a776e4edf054673adff55a23b9d3205cd464b,0
C203,C203,C2,3,591.17,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c203.txt,25,700,3,591.173442780632,591.17,1,1,1,2b9864185b7254a2879ae9b4b5040586cd263c41e7d59b0c7192e3862e07e144,0
C204,C204,C2,3,590.6,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c204.txt,25,700,3,590.598745667945,590.60,1,1,1,0a2947cc68da4abcf0ef13b16876ece5aaba2046d1856d842a227ced817607b6,0
C205,C205,C2,3,588.88,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c205.txt,25,700,3,588.875962653424,588.88,1,1,1,181cdcc9711959f4350060c965a1cc6f29d98d50f55d6cb3d0a6153e12919526,0
C206,C206,C2,3,588.49,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c206.txt,25,700,3,588.492848762554,588.49,1,1,1,73e9cce4b62195d81322819360fe5ffc8e72061c9f3464a43e290cfb06a9432c,0
C207,C207,C2,3,588.29,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c207.txt,25,700,3,588.286321426213,588.29,1,1,1,7b5625c9b1b0f689246c1874a179ab44a8df951ed6dbfcef8b06384b053b1d2c,0
C208,C208,C2,3,588.32,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/c208.txt,25,700,3,588.323800657399,588.32,1,1,1,9be9884e01c98cc481fdcd72292e49f16b5915338028e967ef0c18edbf6776d0,0
R101,R101,R1,19,1650.8,H,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r101.txt,25,200,19,1650.799239571068,1650.80,1,1,1,850da45f9e24da65ccc95c4b3f8cc060f707e5c236d8f28f25fb230d18750f83,0
R102,R102,R1,17,1486.12,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r102.txt,25,200,17,1486.119471080835,1486.12,1,1,1,f5b59bc50e5eefe68880b50d41c1d517fd70c4dc6f784dc4ec8c6ac353bb0954,0
R103,R103,R1,13,1292.68,LLH,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r103_13_1292.675455.txt,25,200,13,1292.675510221355,1292.68,1,1,1,093bdddcbcc685f23bef3e06142b66ce95c38263258402b9640267fb0cc767f9,0
R104,R104,R1,9,1007.31,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r104.txt,25,200,9,1007.310576820867,1007.31,1,1,1,13e0bcbb1147e1fbb831ed7c5cf3683475545cde40759e9e4f3e6876a18ef812,0
R105,R105,R1,14,1377.11,RT,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r105.txt,25,200,14,1377.111017910283,1377.11,1,1,1,01b30e3c662226ab8f4d0bc86cc47db30f269647c0250804b96f477b104a4bd8,0
R106,R106,R1,12,1252.03,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r106.txt,25,200,12,1252.030745994912,1252.03,1,1,1,68757438f0d4680953289e5abf9da624a1c3faf83f43f146bbf71b31c56b9d10,0
R107,R107,R1,10,1104.66,S97,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r107_10_1104.655926.txt,25,200,10,1104.655979612625,1104.66,1,1,1,faff020a23ec7216f439faf882fab8b97687b3cdc6c25eed98d954112ab72ad3,0
