approx_kl,best_checkpoint_saved,clip_fraction,entropy,episode_index,epoch_count,group_index,kl_early_stop,learning_rate,minibatch_count,policy_loss,pomo_rollouts,target_kl,update_index,validation_gain_pct_vs_initial,validation_mean_obj,validation_zero_violations,value_loss
0.01693066954612732,False,0.302734375,21.869444370269775,3,1,0,False,0.0001,8,0.018502214923501015,4,0.08,0,,,,4920.466552734375
0.016349200159311295,False,0.302734375,21.929394006729126,7,1,1,False,9.963855421686748e-05,8,0.0018953289836645126,4,0.08,1,,,,6189.9588623046875
0.012471217662096024,False,0.302734375,21.680525302886963,11,1,2,False,9.927710843373495e-05,8,0.019915937213227153,4,0.08,2,,,,2617.0040283203125
0.010709105059504509,False,0.169921875,22.852622747421265,15,1,3,False,9.891566265060241e-05,8,0.003617936745285988,4,0.08,3,,,,8580.247680664062
0.004713805392384529,False,0.0859375,23.335888385772705,19,1,4,False,9.855421686746988e-05,8,0.00841447850689292,4,0.08,4,,,,5939.783752441406
0.006015703082084656,False,0.064453125,23.09915328025818,23,1,5,False,9.819277108433736e-05,8,-0.004747455939650536,4,0.08,5,,,,5045.433288574219
0.004504768177866936,False,0.041015625,23.319321632385254,27,1,6,False,9.783132530120483e-05,8,0.035526663064956665,4,0.08,6,,,,5985.612976074219
0.005892418324947357,False,0.037109375,23.323666095733643,31,1,7,False,9.746987951807229e-05,8,0.0012508693616837263,4,0.08,7,,,,7313.5206298828125
0.005402090027928352,False,0.01171875,23.417038679122925,35,1,8,False,9.710843373493976e-05,8,-0.018235171446576715,4,0.08,8,,,,2556.5296325683594
0.004215965047478676,True,0.005859375,23.59226131439209,39,1,9,False,9.674698795180723e-05,8,-0.01739438669756055,4,0.08,9,2.778686717672938,823.080458098089,True,10455.403930664062
0.002107558771967888,False,0.0,24.040889739990234,43,1,10,False,9.638554216867471e-05,8,0.0023445398546755314,4,0.08,10,,,,6984.094665527344
0.0022919829934835434,False,0.0,23.112711906433105,47,1,11,False,9.602409638554217e-05,8,-0.01506969565525651,4,0.08,11,,,,10003.163330078125
0.002260373905301094,False,0.0,23.565344095230103,51,1,12,False,9.566265060240964e-05,8,-0.007925710640847683,4,0.08,12,,,,4728.241149902344
0.0011697430163621902,False,0.0,22.734424829483032,55,1,13,False,9.530120481927711e-05,8,0.0028874941635876894,4,0.08,13,,,,9027.2978515625
0.0027659479528665543,False,0.001953125,22.822827577590942,59,1,14,False,9.493975903614459e-05,8,0.002383648883551359,4,0.08,14,,,,2704.3673706054688
0.002614593133330345,False,0.013671875,22.842669248580933,63,1,15,False,9.457831325301205e-05,8,0.020031683845445514,4,0.08,15,,,,7275.697509765625
0.0015259459614753723,False,0.0,23.519994020462036,67,1,16,False,9.421686746987952e-05,8,-0.0010197157971560955,4,0.08,16,,,,6064.48779296875
0.0031668487936258316,False,0.00390625,22.883184671401978,71,1,17,False,9.385542168674699e-05,8,0.014716685749590397,4,0.08,17,,,,7437.155517578125
0.001059405505657196,False,0.0,23.452582120895386,75,1,18,False,9.349397590361446e-05,8,0.01025623851455748,4,0.08,18,,,,5639.414245605469
0.002499375492334366,True,0.0,23.605374574661255,79,1,19,False,9.313253012048194e-05,8,0.008003274910151958,4,0.08,19,7.718735940353799,781.2577564706836,True,8921.421203613281
0.0017963852733373642,False,0.0,23.35051465034485,83,1,20,False,9.27710843373494e-05,8,0.00473172077909112,4,0.08,20,,,,1323.258560180664
0.00251198373734951,False,0.0,23.047189712524414,87,1,21,False,9.240963855421687e-05,8,0.0011885175481438637,4,0.08,21,,,,11346.208374023438
0.002254864200949669,False,0.0,22.73551654815674,91,1,22,False,9.204819277108434e-05,8,-0.02047599758952856,4,0.08,22,,,,9097.825317382812
0.0021011456847190857,False,0.00390625,23.13791012763977,95,1,23,False,9.168674698795182e-05,8,-0.006642151158303022,4,0.08,23,,,,8812.635498046875
0.0016492381691932678,False,0.0,22.629066228866577,99,1,24,False,9.132530120481928e-05,8,0.009164974093437195,4,0.08,24,,,,6337.2349853515625
0.0013889390975236893,False,0.00390625,23.115057706832886,103,1,25,False,9.096385542168675e-05,8,-0.007224739762023091,4,0.08,25,,,,10184.740600585938
0.00177810899913311,False,0.0,23.655729293823242,107,1,26,False,9.060240963855422e-05,8,0.008193966932594776,4,0.08,26,,,,1805.0238952636719
0.0020031798630952835,False,0.0,23.758249044418335,111,1,27,False,9.02409638554217e-05,8,0.005091321654617786,4,0.08,27,,,,10602.869140625
