actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,538.9329650923227,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,540.3954718306196,120,True,4,2,30496,71.0,25c,19,120,0,6.297000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,520.3913413693659,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,520.3913413693659,120,True,4,3,28266,105.0,25c,20,120,0,9.64000000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,506.2085147954003,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,506.2085147954003,120,True,5,0,25974,96.0,25c,21,120,0,5.766000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,530.3292108575652,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,537.4349282886548,120,True,5,1,24856,57.0,25c,22,120,0,5.780999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,519.0211724169723,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,519.2167650686681,120,True,5,2,26502,77.0,25c,23,120,0,5.811999999918044,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,503.202982255979,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,503.58839645594423,120,True,5,3,21102,74.0,25c,24,120,0,5.10999999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.496443728531,120,True,6,0,26907,89.0,25c,25,120,0,5.765999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,591.3498863979607,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,591.3498863979607,120,True,6,1,27602,90.0,25c,26,120,0,6.25,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.496443728531,120,True,6,2,31394,70.0,25c,27,120,0,6.577999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,571.5905795293678,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,571.5905795293678,120,True,6,3,24607,87.0,25c,28,120,0,7.657000000006519,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
