aware_minus_naive_operating_cost_cny,aware_minus_naive_system_emissions_kg,aware_minus_naive_system_emissions_pct,aware_system_emissions_kg,carbon_aware_moved_action_count,carbon_ranges_by_city_json,charging_action_count,charging_replay_route_signature_equal,customer_count,customer_demand_kg,depot_collaboration_move_count,depot_count,dynamic_event_count_max,dynamic_event_count_min,dynamic_stream_seed_count,dynamic_stream_unique_hash_count,failure_reason,formal_fairness_effect_status,generated_move_channels_json,instance_id,maximum_within_city_carbon_range_gco2_per_kwh,multi_trip_vehicle_count,naive_system_emissions_kg,region,registered_cv,registered_ev,status,trip_count,used_cv,used_ev,whole_duty_type_exchange_move_count
75.24323225623993,-8.866609433653423,-1.8804134028553994,462.6578659923096,4,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",5,True,100,27293.0,8192,2,32,32,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 8192, ""mixed_fleet"": 3570, ""multi_trip"": 744, ""relocate"": 3526, ""route_order"": 259, ""time_varying_carbon_charge"": 4, ""whole_duty_type_exchange"": 24}",cn-cy-100c-01-V2-LOCATIONS,343.0,6,471.52447542596303,cy,12,4,STRUCTURAL_SCOUT_PASS,18,8,4,24
74.01692738402926,-8.930367129087301,-1.9913552090880837,439.52639680389535,4,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",6,True,100,26941.0,8192,2,32,32,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 8192, ""mixed_fleet"": 3760, ""multi_trip"": 789, ""relocate"": 3312, ""route_order"": 252, ""time_varying_carbon_charge"": 4, ""whole_duty_type_exchange"": 24}",cn-cy-100c-02-V2-LOCATIONS,343.0,6,448.45676393298265,cy,12,4,STRUCTURAL_SCOUT_PASS,18,8,4,24
91.45199981697897,-10.948334846009573,-2.6003184330613562,410.0899005796453,4,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",6,True,100,25837.0,8134,2,32,32,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 8134, ""mixed_fleet"": 3720, ""multi_trip"": 837, ""relocate"": 3214, ""route_order"": 270, ""time_varying_carbon_charge"": 4, ""whole_duty_type_exchange"": 22}",cn-cy-100c-03-V2-LOCATIONS,343.0,6,421.0382354256549,cy,11,4,STRUCTURAL_SCOUT_PASS,17,7,4,22
158.2357576559143,-21.57615565568699,-3.158836733674828,661.4650229425624,6,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",8,True,150,40422.0,18408,2,48,48,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 18408, ""mixed_fleet"": 7874, ""multi_trip"": 1236, ""relocate"": 9160, ""route_order"": 381, ""time_varying_carbon_charge"": 6, ""whole_duty_type_exchange"": 54}",cn-cy-150c-01-V2-LOCATIONS,343.0,9,683.0411785982494,cy,17,6,STRUCTURAL_SCOUT_PASS,27,12,6,54
156.79824110292975,-19.579633671699526,-2.9556419119321315,642.8698191072446,6,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",9,True,150,41664.0,18345,2,48,48,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 18345, ""mixed_fleet"": 8555, ""multi_trip"": 1397, ""relocate"": 8277, ""route_order"": 368, ""time_varying_carbon_charge"": 6, ""whole_duty_type_exchange"": 58}",cn-cy-150c-02-V2-LOCATIONS,343.0,9,662.4494527789441,cy,18,6,STRUCTURAL_SCOUT_PASS,26,11,6,58
136.59349485142138,-15.524855864142637,-2.2240745507657413,682.5118110631186,6,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",7,True,150,40767.0,18345,2,48,48,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 18345, ""mixed_fleet"": 6837, ""multi_trip"": 1540, ""relocate"": 9835, ""route_order"": 378, ""time_varying_carbon_charge"": 6, ""whole_duty_type_exchange"": 54}",cn-cy-150c-03-V2-LOCATIONS,343.0,10,698.0366669272612,cy,18,6,STRUCTURAL_SCOUT_PASS,26,10,6,54
32.9758144653988,-4.500658877278568,-1.9341552787998437,228.19311326242556,2,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",2,True,50,13266.0,2048,2,16,16,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 2048, ""mixed_fleet"": 841, ""multi_trip"": 250, ""relocate"": 688, ""route_order"": 122, ""time_varying_carbon_charge"": 2, ""whole_duty_type_exchange"": 7}",cn-cy-50c-01-V2-LOCATIONS,343.0,2,232.69377213970412,cy,7,2,STRUCTURAL_SCOUT_PASS,9,5,2,7
10.326717204831766,-3.628969227173883,-1.4121049350675279,253.3610842068043,1,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",2,True,50,12567.0,2048,2,16,16,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 2048, ""mixed_fleet"": 570, ""multi_trip"": 308, ""relocate"": 846, ""route_order"": 143, ""time_varying_carbon_charge"": 2, ""whole_duty_type_exchange"": 5}",cn-cy-50c-02-V2-LOCATIONS,343.0,3,256.9900534339782,cy,6,2,STRUCTURAL_SCOUT_PASS,9,5,1,5
0.0,0.0,0.0,340.7264690605425,0,"{""chengdu"": {""maximum_gco2_per_kwh"": 37.699999999999996, ""minimum_gco2_per_kwh"": 0.0, ""range_gco2_per_kwh"": 37.699999999999996}, ""chongqing"": {""maximum_gco2_per_kwh"": 347.5, ""minimum_gco2_per_kwh"": 4.5, ""range_gco2_per_kwh"": 343.0}}",0,True,50,13820.0,2069,2,16,16,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 2069, ""multi_trip"": 542, ""relocate"": 1316, ""route_order"": 115, ""time_varying_carbon_charge"": 2, ""whole_duty_type_exchange"": 5}",cn-cy-50c-03-V2-LOCATIONS,343.0,5,340.7264690605425,cy,6,2,STRUCTURAL_SCOUT_PASS,10,5,0,5
64.47078994714684,-55.805387944883705,-10.941011480584061,454.25154823433564,4,"{""beijing"": {""maximum_gco2_per_kwh"": 643.9, ""minimum_gco2_per_kwh"": 154.1, ""range_gco2_per_kwh"": 489.79999999999995}, ""tianjin"": {""maximum_gco2_per_kwh"": 788.4, ""minimum_gco2_per_kwh"": 413.9, ""range_gco2_per_kwh"": 374.5}}",5,True,100,25972.0,6602,2,32,32,10,10,,UNMEASURED_REQUIRES_INDEPENDENT_PROFIT_BASELINE,"{""depot_collaboration"": 6602, ""mixed_fleet"": 4569, ""multi_trip"": 828, ""relocate"": 3909, ""route_order"": 268, ""time_varying_carbon_charge"": 4, ""whole_duty_type_exchange"": 31}",cn-jjj-100c-01-V2-LOCATIONS,489.79999999999995,6,510.05693617921935,jjj,13,4,STRUCTURAL_SCOUT_PASS,17,7,4,31
