phase,instance,config,seed,runtime_budget_seconds,objective,bks,gap_percent,iterations,solver_runtime_seconds,end_to_end_seconds,complete,feasible,independent_valid,route_calls,route_improvements,route_gain,route_seconds
screen,PR17A,route_vns_best,1,20.0,6402482,6292594,1.746306848971982,19024,20.00068595801713,20.267152125015855,True,True,True,22,6,425279,0.014560625131707639
screen,PR17A,default,1,20.0,6378184,6292594,1.3601703844233395,18817,20.000196375011,20.273908375005703,True,True,True,0,0,0,0.0
screen,PR17A,swaproutes_best,1,20.0,6330000,6292594,0.594444834673904,19273,20.002151415974367,20.273439417011105,True,True,True,44,4,367918,0.0033459177939221263
screen,PR17A,swapstar_best,1,20.0,6350026,6292594,0.9126919677322262,18684,20.00020491698524,20.28379437502008,True,True,True,44,0,0,0.032391166139859706
screen,PR17A,route_vns_tw_k80,1,20.0,6411933,6292594,1.8964992815363584,9786,20.00049979100004,20.293674500018824,True,True,True,18,4,632756,0.014137792924884707
screen,PR17A,route_vns_k80,1,20.0,6393719,6292594,1.6070479042506158,12456,20.001436042017303,20.30471541703446,True,True,True,22,7,155257,0.016994085162878036
screen,PR17A,route_vns_perturb5_40,1,20.0,6409047,6292594,1.8506358427065213,14007,20.000166915997397,20.312412875005975,True,True,True,30,8,431549,0.011949412932153791
screen,PR17A,route_vns_restart75k,1,20.0,6379092,6292594,1.3746000457045218,25547,20.000282583991066,20.316786166979,True,True,True,31,11,539297,0.01232416508719325
development,PR17A,default,1,30.0,6363613,6292594,1.1286124609342347,28580,30.00040291598998,30.302775624964852,True,True,True,0,0,0,0.0
development,PR17A,swapstar_best,1,30.0,6344652,6292594,0.8272899856561539,28556,30.00229895900702,30.327723999973387,True,True,True,49,0,0,0.0322259558015503
development,PR11A,default,1,30.0,6772803,6655548,1.7617632687796707,28631,30.001772625022568,30.335234874975868,True,True,True,0,0,0,0.0
development,PR17A,swaproutes_best,1,30.0,6324728,6292594,0.5106638057373477,28791,30.000293916964438,30.334883374976926,True,True,True,45,4,367918,0.004061331914272159
development,PR11A,swaproutes_best,1,30.0,6750179,6655548,1.4218363386455932,29429,30.000694749993272,30.34326112503186,True,True,True,40,4,277935,0.0030347060528583825
development,PR11A,swapstar_best,1,30.0,6754414,6655548,1.4854674626341813,28833,30.000817207968794,30.347357291029766,True,True,True,34,3,5520,0.02577275107614696
development,PR21A,default,1,30.0,6297316,6230046,1.0797673082991683,38843,30.00008379202336,30.34451224998338,True,True,True,0,0,0,0.0
development,PR21A,swapstar_best,1,30.0,6275772,6230046,0.7339592677164823,38504,30.000261957990006,30.322082458005752,True,True,True,74,5,35756,0.0411606237757951
development,PR21A,swaproutes_best,1,30.0,6310410,6230046,1.2899423214531642,38791,30.001030749990605,30.3269539999892,True,True,True,49,9,476564,0.0038368363166227937
validation,PR11B,swapstar_best,1,60.0,4829954,4814803,0.31467538754960483,59680,60.00064179103356,60.361741375003476,True,True,True,62,4,35404,0.037630831880960613
validation,PR17B,default,1,60.0,4822213,4771155,1.0701392010949131,57307,60.002355040982366,60.3657105420134,True,True,True,0,0,0,0.0
validation,PR17B,swapstar_best,1,60.0,4805843,4771155,0.7270356968071673,58256,60.00037041702308,60.365926790982485,True,True,True,43,17,78696,0.030487168638501316
validation,PR11B,default,1,60.0,4839745,4814803,0.5180274250057583,59720,60.000110832974315,60.37332133296877,True,True,True,0,0,0,0.0
validation,PR11B,swapstar_best,2,60.0,4861393,4814803,0.9676408359802052,58459,60.00189124996541,60.37398704199586,True,True,True,46,14,54670,0.025948456721380353
validation,PR11B,default,2,60.0,4878469,4814803,1.322297090867477,58306,60.003721665998455,60.377078582998365,True,True,True,0,0,0,0.0
validation,PR17B,default,2,60.0,4815349,4771155,0.9262746651492144,59743,60.00035645900061,60.34551004099194,True,True,True,0,0,0,0.0
validation,PR21B,default,2,60.0,4861658,4822337,0.8153930345390626,58378,60.00057445798302,60.33496941701742,True,True,True,0,0,0,0.0
validation,PR21B,default,1,60.0,4899192,4822337,1.5937293474097725,59821,60.000620166014414,60.34507974999724,True,True,True,0,0,0,0.0
validation,PR17B,swapstar_best,2,60.0,4819848,4771155,1.02057049079311,59737,60.001765249995515,60.346328915969934,True,True,True,58,16,87490,0.03586567024467513
validation,PR21B,swapstar_best,1,60.0,4855156,4822337,0.6805621423803438,59305,60.000617792014964,60.34859754203353,True,True,True,62,15,103983,0.05599654279649258
validation,PR21B,swapstar_best,2,60.0,4830787,4822337,0.17522624403893797,59817,60.00042412499897,60.346714332990814,True,True,True,49,18,71860,0.039662585011683404
