instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_cache_hits,compound_cache_misses,compound_runtime_seconds
PR11A,copied_loop,11,1000,1000,20.87156550004147,6948876,46c8d573fdc3528bd150b973e7a09b3e54c1eeea6f083b5fb8a25e89e8df9ae5,True,True,360,360,4806000,4806000,True,0,0,0,0,0,0,0,0,0.0
PR11A,integrated_with_compound,11,1000,1000,16.645626957993954,6933235,d9934610a8c595075cdeb40f7a51e1c200933e313ef10001d670bc40015737d8,True,True,360,360,4806000,4806000,True,445,309,581960,174928,678,4,42276,15920,0.7647000731085427
PR11B,copied_loop,11,1000,1000,19.722635707992595,4954233,e0dc22866fc03f426b73641c6571cab4d4a4d6fac6ba2a1d4cce031a0878576a,True,True,360,360,4700000,4700000,True,0,0,0,0,0,0,0,0,0.0
PR11B,integrated_with_compound,11,1000,1000,15.392684749967884,4952217,82a71c2c499f7c6a06b42d7bd1d3296430c8a02f6cca4f95510835cf3cc441e1,True,True,360,360,4700000,4700000,True,448,184,379680,251536,266,37,28444,19016,1.0096153803751804
PR12A,copied_loop,11,1000,1000,28.464369583991356,8541765,94c0283b981e748562a9f22745f30cc6f1cf710eb6bb5e7c0f439c07fa1b54d2,True,True,480,480,6378000,6378000,True,0,0,0,0,0,0,0,0,0.0
PR12A,integrated_with_compound,11,1000,1000,25.519179624971002,8584324,14c2f6aa00c23863a751c485828c8498e9086030152418e1c6a6af8d9cf6ae22,True,True,480,480,6378000,6378000,True,393,313,865852,262448,754,0,43552,23052,1.0895985271781683
PR12B,copied_loop,11,1000,1000,27.34204191697063,6262990,88ab14201e8d39bd1e47ec493e00d3803527dfae8324f862d9b91d93b5bab42d,True,True,480,480,6173000,6173000,True,0,0,0,0,0,0,0,0,0.0
PR12B,integrated_with_compound,11,1000,1000,23.770675292005762,6256406,270966c34a82df43faf1211bc2871b5caf0bc2d06af242dde90abbbd7402bf3c,True,True,480,480,6173000,6173000,True,410,248,628408,296104,415,31,35312,21816,1.2356305032153614
PR13A,copied_loop,11,1000,1000,32.22738616599236,10043338,33b51a3ee5101c112a6e93fd8eae2860084482c42f63a044dcb2dab91180284d,True,True,600,600,7846000,7846000,True,0,0,0,0,0,0,0,0,0.0
PR13A,integrated_with_compound,11,1000,1000,46.285400332999416,10080625,24ba954d29ab3b9708f0f13c26957606f11f24dcbd5accc92c8d29102addd6ef,True,True,600,600,7846000,7846000,True,375,304,1239168,383892,712,2,44308,33140,1.6964605867979117
PR13B,copied_loop,11,1000,1000,28.10117995896144,7499640,036f25a82cf4b85cb9e8f19e30af6f734a5ca52b0afc7ae557f5fb27e2ca3a33,True,True,600,600,7506000,7506000,True,0,0,0,0,0,0,0,0,0.0
PR13B,integrated_with_compound,11,1000,1000,41.854265375004616,7469337,a380838b787dc69b357f6d3a920c88c330a8431717f8d8f239549d4f01da69a3,True,True,600,600,7506000,7506000,True,476,378,1143128,427944,946,125,50768,30884,1.9709681735257618
PR14A,copied_loop,11,1000,1000,52.37493358401116,11613372,429441b80ab51acf7611f7d5271f49cda4225f17f05d38f36c0b5868bfdeada1,True,True,720,720,9408000,9408000,True,0,0,0,0,0,0,0,0,0.0
PR14A,integrated_with_compound,11,1000,1000,64.35293279198231,11574721,aab938aecadd8f51bbe59fe453450cfc56dc0f06036f56d1d53b8d2d7c194e05,True,True,720,720,9408000,9408000,True,348,294,1593188,395180,879,1,50744,33108,1.598524593107868
PR14B,copied_loop,11,1000,1000,46.163118625001516,9049616,80bd621e726a02f89195efcd79f2a420a0778d786471b97ca061cc117f573341,True,True,720,720,9354000,9354000,True,0,0,0,0,0,0,0,0,0.0
PR14B,integrated_with_compound,11,1000,1000,56.51224595797248,8960582,ed9a4b7e9faedafc0ae69748a17cd0b16d331fb5283b9588f73f48b10aa99b02,True,True,720,720,9354000,9354000,True,400,286,1459824,455460,558,96,51440,34432,2.1826985442312434
PR15A,copied_loop,11,1000,1000,72.56461399997352,13500629,938e4e28d09015f5b3f7f0ce10b314d5c6d39657041805a35e2344fe8bcd1b32,True,True,840,840,10996000,10996000,True,0,0,0,0,0,0,0,0,0.0
PR15A,integrated_with_compound,11,1000,1000,76.8611970829661,13533770,8c9f5c2a1fe0cfb261496b069451712d55374b4ec22ef0b083b88d08af4dc839,True,True,840,840,10996000,10996000,True,353,313,2243120,452240,1137,0,62828,39132,1.8785153441713192
PR15B,copied_loop,11,1000,1000,65.44176483299816,10766790,5cd5c3f245f8af3f58087fd440391b32202e83606e9a29a0dbfa53133ab92c2d,True,True,840,840,11056000,11056000,True,0,0,0,0,0,0,0,0,0.0
PR15B,integrated_with_compound,11,1000,1000,65.90157175000058,10752548,87d9968d93174ef2e0eadc623d47f82faaa7ddb8b89dfcb5f97e1029343d7079,True,True,840,840,11056000,11056000,True,356,245,1844560,435360,519,83,58208,34020,1.9131952195893973
PR16A,copied_loop,11,1000,1000,79.22866162500577,14820038,e1e0e9d7dd0456581cd575c503777164e33ab9a821f0aaddb9987e48657b7900,True,True,960,960,12309000,12309000,True,0,0,0,0,0,0,0,0,0.0
