pair_id,instance,condition,seed,raw_fixed_total_cost,raw_open_total_cost,raw_search_saving_pct,raw_strict_win,raw_open_cross_site_customer_count,raw_open_cross_site_demand_kg,selected_fixed_total_cost,selected_open_total_cost,selected_saving_pct,selected_strict_win,selected_open_cross_site_customer_count,selected_open_cross_site_demand_kg,fixed_fallback_used,open_fallback_used,open_selected_source,selected_delta_cost_fix,raw_delta_cost_fix,selected_delta_cost_km,raw_delta_cost_km,selected_delta_cost_fuel,raw_delta_cost_fuel,selected_delta_cost_elec,raw_delta_cost_elec,selected_delta_cost_occ,raw_delta_cost_occ,selected_delta_cost_transship,raw_delta_cost_transship,selected_delta_cost_carbon,raw_delta_cost_carbon,selected_delta_total_cost,raw_delta_total_cost
L-main-threeshift-15c-01__medium__seed2,L-main-threeshift-15c-01,medium,2,1154.0646745252072,958.823281180594,16.91771680169808,True,12,4441.0,1154.0646745252072,958.823281180594,16.91771680169808,True,12,4441.0,False,False,search_candidate,0.0,0.0,-112.93305215651708,-112.93305215651708,-73.30284608688586,-73.30284608688586,-9.005495101210094,-9.005495101210094,0.0,0.0,0.0,0.0,0.0,0.0,-195.24139334461324,-195.24139334461324
L-main-threeshift-15c-01__medium__seed3,L-main-threeshift-15c-01,medium,3,1151.1111916018517,970.8001050587351,15.664089434505554,True,8,3224.0,1151.1111916018517,970.8001050587351,15.664089434505554,True,8,3224.0,False,False,search_candidate,0.0,0.0,-118.43026363165501,-118.43026363165501,-33.89306822455609,-33.89306822455609,-27.98775468690547,-27.98775468690547,0.0,0.0,0.0,0.0,0.0,0.0,-180.31108654311663,-180.31108654311663
L-main-threeshift-200c-01__medium__seed1,L-main-threeshift-200c-01,medium,1,16285.751316406075,14386.938485023229,11.659350523607737,True,89,39459.0,16285.751316406075,14386.938485023229,11.659350523607737,True,89,39459.0,False,False,search_candidate,1920.0,1920.0,-2065.3395086553455,-2065.3395086553455,-1743.4215309543042,-1743.4215309543042,-10.051791773196442,-10.051791773196442,0.0,0.0,0.0,0.0,0.0,0.0,-1898.8128313828456,-1898.8128313828456
L-main-threeshift-200c-01__medium__seed2,L-main-threeshift-200c-01,medium,2,16285.751316406075,14590.649197901268,10.408498113299695,True,99,43613.0,16285.751316406075,14590.649197901268,10.408498113299695,True,99,43613.0,False,False,search_candidate,1760.0,1760.0,-1971.9405429746948,-1971.9405429746948,-1328.1908492614334,-1328.1908492614334,-154.9707262686768,-154.9707262686768,0.0,0.0,0.0,0.0,0.0,0.0,-1695.1021185048066,-1695.1021185048066
L-main-threeshift-200c-01__medium__seed3,L-main-threeshift-200c-01,medium,3,16285.751316406075,16285.751316406075,0.0,False,0,0.0,16285.751316406075,16285.751316406075,0.0,False,0,0.0,False,False,search_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-main-threeshift-20c-01__medium__seed1,L-main-threeshift-20c-01,medium,1,2099.648257682889,1191.177495285657,43.26775968655788,True,20,7786.0,2099.648257682889,1191.177495285657,43.26775968655788,True,20,7786.0,False,False,search_candidate,-320.0,-320.0,-346.80939348793186,-346.80939348793186,-223.76402215377104,-223.76402215377104,-17.89734675552927,-17.89734675552927,0.0,0.0,0.0,0.0,0.0,0.0,-908.470762397232,-908.470762397232
L-main-threeshift-20c-01__medium__seed2,L-main-threeshift-20c-01,medium,2,1677.1776979934082,1229.9771786878778,26.663872280233957,True,16,5674.0,1677.1776979934082,1229.9771786878778,26.663872280233957,True,16,5674.0,False,False,search_candidate,-160.0,-160.0,-174.8536348909256,-174.8536348909256,-90.28353321042832,-90.28353321042832,-22.063351204176584,-22.063351204176584,0.0,0.0,0.0,0.0,0.0,0.0,-447.2005193055304,-447.2005193055304
L-main-threeshift-20c-01__medium__seed3,L-main-threeshift-20c-01,medium,3,1746.615609032829,1231.974254410039,29.465060999183873,True,14,4864.0,1746.615609032829,1231.974254410039,29.465060999183873,True,14,4864.0,False,False,search_candidate,-240.0,-240.0,-180.86230047860147,-180.86230047860147,-66.79307512976092,-66.79307512976092,-26.985979014427443,-26.985979014427443,0.0,0.0,0.0,0.0,0.0,0.0,-514.64135462279,-514.64135462279
L-main-threeshift-25c-01__medium__seed1,L-main-threeshift-25c-01,medium,1,1848.4546072025198,1308.643738583574,29.203360824527035,True,18,8846.0,1848.4546072025198,1308.643738583574,29.203360824527035,True,18,8846.0,False,False,search_candidate,-160.0,-160.0,-196.47898245022265,-196.47898245022265,-208.7506496017911,-208.7506496017911,25.41876343306818,25.41876343306818,0.0,0.0,0.0,0.0,0.0,0.0,-539.8108686189457,-539.8108686189457
L-main-threeshift-25c-01__medium__seed2,L-main-threeshift-25c-01,medium,2,1632.8665910548875,1276.9014929982393,21.800011097457915,True,18,8130.0,1632.8665910548875,1276.9014929982393,21.800011097457915,True,18,8130.0,False,False,search_candidate,-160.0,-160.0,-118.68108742431974,-118.68108742431974,-70.59017040923172,-70.59017040923172,-6.693840223096501,-6.693840223096501,0.0,0.0,0.0,0.0,0.0,0.0,-355.96509805664823,-355.96509805664823
L-main-threeshift-25c-01__medium__seed3,L-main-threeshift-25c-01,medium,3,1608.9075156854437,1241.6392170517715,22.82718522060012,True,17,7887.0,1608.9075156854437,1241.6392170517715,22.82718522060012,True,17,7887.0,False,False,search_candidate,-160.0,-160.0,-160.08919312172873,-160.08919312172873,9.454906481667479,9.454906481667479,-56.634011993611075,-56.634011993611075,0.0,0.0,0.0,0.0,0.0,0.0,-367.2682986336722,-367.2682986336722
L-main-threeshift-50c-01__medium__seed1,L-main-threeshift-50c-01,medium,1,4126.97772956963,2791.2388962191667,32.36602959545791,True,37,16434.0,4126.97772956963,2791.2388962191667,32.36602959545791,True,37,16434.0,False,False,search_candidate,-400.0,-400.0,-595.6567415665128,-595.6567415665128,-253.82130400179074,-253.82130400179074,-86.26078778216004,-86.26078778216004,0.0,0.0,0.0,0.0,0.0,0.0,-1335.7388333504637,-1335.7388333504637
L-main-threeshift-50c-01__medium__seed2,L-main-threeshift-50c-01,medium,2,4071.516636939362,2819.353456909201,30.7542199059129,True,36,16717.0,4071.516636939362,2819.353456909201,30.7542199059129,True,36,16717.0,False,False,search_candidate,-320.0,-320.0,-503.00507480311876,-503.00507480311876,-460.09072828145406,-460.09072828145406,30.932623054411806,30.932623054411806,0.0,0.0,0.0,0.0,0.0,0.0,-1252.1631800301607,-1252.1631800301607
L-main-threeshift-50c-01__medium__seed3,L-main-threeshift-50c-01,medium,3,3873.1901045819664,2792.1511360791087,27.910816131229744,True,30,14938.0,3873.1901045819664,2792.1511360791087,27.910816131229744,True,30,14938.0,False,False,search_candidate,-240.0,-240.0,-519.4544426819529,-519.4544426819529,-259.32260505651783,-259.32260505651783,-62.261920764387185,-62.261920764387185,0.0,0.0,0.0,0.0,0.0,0.0,-1081.0389685028576,-1081.0389685028576
L-main-threeshift-75c-01__medium__seed1,L-main-threeshift-75c-01,medium,1,6203.2028998096,4898.4259686677815,21.03392315575986,True,34,15561.0,6203.2028998096,4898.4259686677815,21.03392315575986,True,34,15561.0,False,False,search_candidate,0.0,0.0,-728.8698938226426,-728.8698938226426,-558.5770021470072,-558.5770021470072,-17.33003517216838,-17.33003517216838,0.0,0.0,0.0,0.0,0.0,0.0,-1304.7769311418187,-1304.7769311418187
L-main-threeshift-75c-01__medium__seed2,L-main-threeshift-75c-01,medium,2,6049.6556204262215,5377.678953464315,11.10768462080761,True,36,15900.0,6049.6556204262215,5377.678953464315,11.10768462080761,True,36,15900.0,False,False,search_candidate,80.0,80.0,-353.51056566174316,-353.51056566174316,-473.99834005707544,-473.99834005707544,75.53223875691276,75.53223875691276,0.0,0.0,0.0,0.0,0.0,0.0,-671.9766669619066,-671.9766669619066
L-main-threeshift-75c-01__medium__seed3,L-main-threeshift-75c-01,medium,3,6651.57859809719,4987.41144483154,25.019130853264155,True,37,17390.0,6651.57859809719,4987.41144483154,25.019130853264155,True,37,17390.0,False,False,search_candidate,480.0,480.0,-1150.13537263599,-1150.13537263599,-1011.3289294878,-1011.3289294878,17.297148858141725,17.297148858141725,0.0,0.0,0.0,0.0,0.0,0.0,-1664.1671532656492,-1664.1671532656492
