pair_id,instance,condition,seed,raw_fixed_total_cost,raw_open_total_cost,raw_search_saving_pct,raw_strict_win,raw_open_cross_site_customer_count,raw_open_cross_site_demand_kg,selected_fixed_total_cost,selected_open_total_cost,selected_saving_pct,selected_strict_win,selected_open_cross_site_customer_count,selected_open_cross_site_demand_kg,fixed_fallback_used,open_fallback_used,open_selected_source,selected_delta_cost_fix,raw_delta_cost_fix,selected_delta_cost_km,raw_delta_cost_km,selected_delta_cost_fuel,raw_delta_cost_fuel,selected_delta_cost_elec,raw_delta_cost_elec,selected_delta_cost_occ,raw_delta_cost_occ,selected_delta_cost_transship,raw_delta_cost_transship,selected_delta_cost_carbon,raw_delta_cost_carbon,selected_delta_total_cost,raw_delta_total_cost
L-main-threeshift-100c-01__medium__seed1,L-main-threeshift-100c-01,medium,1,9246.468058260576,8107.637132955493,12.316388464541099,True,42,18581.0,9246.468058260576,8107.637132955493,12.316388464541099,True,42,18581.0,False,False,search_candidate,720.0,720.0,-1085.5140038339382,-1085.5140038339382,-663.2711757192976,-663.2711757192976,-110.04574575184915,-110.04574575184915,0.0,0.0,0.0,0.0,0.0,0.0,-1138.830925305083,-1138.830925305083
L-main-threeshift-100c-01__medium__seed2,L-main-threeshift-100c-01,medium,2,9245.560874946734,5957.756065049632,35.560901651799945,True,57,24047.0,9245.560874946734,5957.756065049632,35.560901651799945,True,57,24047.0,False,False,search_candidate,240.0,240.0,-2041.4893788971372,-2041.4893788971372,-1325.2247412342817,-1325.2247412342817,-161.09068976568267,-161.09068976568267,0.0,0.0,0.0,0.0,0.0,0.0,-3287.804809897102,-3287.804809897102
L-main-threeshift-100c-01__medium__seed3,L-main-threeshift-100c-01,medium,3,9257.22896824711,8218.237201931845,11.223572084897903,True,36,15516.0,9257.22896824711,8218.237201931845,11.223572084897903,True,36,15516.0,False,False,search_candidate,560.0,560.0,-918.8235111966396,-918.8235111966396,-601.7585025701715,-601.7585025701715,-78.4097525484533,-78.4097525484533,0.0,0.0,0.0,0.0,0.0,0.0,-1038.9917663152646,-1038.9917663152646
L-main-threeshift-10c-01__medium__seed1,L-main-threeshift-10c-01,medium,1,825.7870636386549,706.8278911835405,14.405550497599966,True,5,1788.0,825.7870636386549,706.8278911835405,14.405550497599966,True,5,1788.0,False,False,search_candidate,0.0,0.0,-92.74145246785343,-92.74145246785343,12.55629684929518,12.55629684929518,-38.77401683655605,-38.77401683655605,0.0,0.0,0.0,0.0,0.0,0.0,-118.95917245511441,-118.95917245511441
L-main-threeshift-10c-01__medium__seed2,L-main-threeshift-10c-01,medium,2,870.0561885383285,722.8777104729054,16.915973934129365,True,6,1998.0,870.0561885383285,722.8777104729054,16.915973934129365,True,6,1998.0,False,False,search_candidate,0.0,0.0,-92.48908993877745,-92.48908993877745,-38.9104360575964,-38.9104360575964,-15.778952069049211,-15.778952069049211,0.0,0.0,0.0,0.0,0.0,0.0,-147.17847806542306,-147.17847806542306
L-main-threeshift-10c-01__medium__seed3,L-main-threeshift-10c-01,medium,3,864.7042513167321,694.6584822945423,19.665194054875048,True,5,1788.0,864.7042513167321,694.6584822945423,19.665194054875048,True,5,1788.0,False,False,search_candidate,0.0,0.0,-123.45759409305879,-123.45759409305879,-5.582703400023206,-5.582703400023206,-41.00547152910781,-41.00547152910781,0.0,0.0,0.0,0.0,0.0,0.0,-170.0457690221898,-170.0457690221898
L-main-threeshift-150c-01__medium__seed1,L-main-threeshift-150c-01,medium,1,12286.995693682838,11165.858494789656,9.124583639836361,True,66,29795.0,12286.995693682838,11165.858494789656,9.124583639836361,True,66,29795.0,False,False,search_candidate,1040.0,1040.0,-1144.0592601220255,-1144.0592601220255,-1043.8239375938792,-1043.8239375938792,26.74599882272196,26.74599882272196,0.0,0.0,0.0,0.0,0.0,0.0,-1121.1371988931824,-1121.1371988931824
L-main-threeshift-150c-01__medium__seed2,L-main-threeshift-150c-01,medium,2,12158.558609811702,10762.770731699402,11.479879506325103,True,74,31206.0,12158.558609811702,10762.770731699402,11.479879506325103,True,74,31206.0,False,False,search_candidate,960.0,960.0,-1276.6514758770186,-1276.6514758770186,-1070.6587180460635,-1070.6587180460635,-8.4776841892201,-8.4776841892201,0.0,0.0,0.0,0.0,0.0,0.0,-1395.7878781123,-1395.7878781123
L-main-threeshift-150c-01__medium__seed3,L-main-threeshift-150c-01,medium,3,12286.995693682838,10085.096283296196,17.920567934427726,True,65,29692.0,12286.995693682838,10085.096283296196,17.920567934427726,True,65,29692.0,False,False,search_candidate,480.0,480.0,-1491.1099840171719,-1491.1099840171719,-1148.8491312366184,-1148.8491312366184,-41.94029513285284,-41.94029513285284,0.0,0.0,0.0,0.0,0.0,0.0,-2201.8994103866426,-2201.8994103866426
L-main-threeshift-15c-01__medium__seed1,L-main-threeshift-15c-01,medium,1,1151.1111916018517,967.785937592833,15.925937941226062,True,9,3624.0,1151.1111916018517,967.785937592833,15.925937941226062,True,9,3624.0,False,False,search_candidate,0.0,0.0,-116.74592991296777,-116.74592991296777,-41.98478568580174,-41.98478568580174,-24.594538410249257,-24.594538410249257,0.0,0.0,0.0,0.0,0.0,0.0,-183.32525400901875,-183.32525400901875
