source_id,zotero_key,year,title,doi,ev_payload_kg,ice_payload_kg,relation,discussion_of_battery_derating,pdf_page,pdf_sha256
L01,EGLR8FJS,2015,"Routing a mixed fleet of electric and conventional vehicles","10.1016/j.ejor.2015.01.049",3650,3650,equal,no,11,86f482f74297fc10d035e6565a49dc4993c7ef4b80e71021425f94c8413bc260
L02,XV3EQNXK,2019,"The green mixed fleet vehicle routing problem with partial battery recharging and time windows","10.1016/j.cor.2018.07.012",500,500,equal,no,22,e8136aff73cb2faf387f21a95db4d30d6aa682541f002c4c53699bdb4bc251c3
L03,NQJWZWM9,2023,"A mixed fleet vehicle routing problem with partial recharging by multiple chargers: Mathematical model and adaptive large neighborhood search","10.1016/j.tre.2022.102917",200,200,equal,no,14,f92feac20e2d237b3e6fac3967c882bd1f1755ceace787b75a0c071de4ccc24f
L04,QLD6M6FA,2024,"Routing a mixed fleet of electric and conventional vehicles considering carbon emissions","10.1080/00207543.2023.2296017",1335,1290,ev_higher,no,11,fbb2d7bc67e24981d08919779fee4a5b6b19f62ae85ce7dd600fb31efed80193
L05,ZUSE36C6,2023,"Green vehicle routing using mixed fleets for cold chain distribution","10.1016/j.eswa.2023.120979",1220,1290,ev_lower,no,8,64f2e026573df85eb24c63b2f03fe4da1e4ad7c53a27726f6989683cdfb2628c
L06,JZTV6IP4,2022,"Stochastic fleet mix optimization: Evaluating electromobility in urban logistics","10.1016/j.tre.2021.102554",600,600,equal,no,16,31772585f507d5dab7c0922868c9df4563dc3089ee402bd667064023df3d6605
