arm,long_complete_candidate_budget_cap,complete_candidate_evaluations_consumed,termination_reason,feasible_candidates,infeasible_candidates,error_candidates,multi_view_search_evaluations,terminal_closure_evaluations,final_multi_view_search_best_cny,terminal_route_pool_best_cny,terminal_route_pool_change_pct_vs_search_best,plateau_relative_band,plateau_start_evaluation,plateau_confirmation_window,plateau_confirmation_evaluation,plateau_confirmed,budget_selection_basis,budget_selection_basis_evaluation,arm_recommended_budget_cap_rounded_to_100,elapsed_wall_seconds,last_strict_improvement_evaluation_L_all_evaluations,last_strict_improvement_fraction_L_over_S_diagnostic_only
L100_control,1500,331,CANDIDATES_EXHAUSTED,147,184,0,329,2,2290.1857525902215,2289.318598837748,-0.03786390477246463,0.0001,135,200,334,False,CANDIDATES_EXHAUSTED_AT_ACTUAL_CONSUMPTION,331,400,60.104891833034344,330,0.9969788519637462
NL90_mild,1500,331,CANDIDATES_EXHAUSTED,147,184,0,329,2,2290.1857525902215,2289.318598837748,-0.03786390477246463,0.0001,135,200,334,False,CANDIDATES_EXHAUSTED_AT_ACTUAL_CONSUMPTION,331,400,54.89306970796315,330,0.9969788519637462
