arm,allow_reassignment,start_sha256,expected_start_sha256,budget,evaluations,elapsed_seconds,status,violation_count,total_cost,cost_component_error,cross_site_customer_count,cross_site_complete_candidates,cross_site_legal_candidates,cross_site_accepted_candidates,physical_cv,physical_ev,physical_total,trip_count,vehicle_work_hours,between_trip_gap_hours,max_trips_per_vehicle
ownership_fixed,False,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,200,200,4.214950957975816,PASS,0,9332.981765088674,1.8189894035458565e-12,0,8,0,0,9,10,19,31,243.41263795231293,55.65946846768127,2
reassignment_allowed,True,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,200,200,4.835819875006564,PASS,0,9287.576831432514,0.0,2,329,131,54,10,9,19,31,247.37494029516193,57.328410785040234,2
