instance_id,base_seed,arm,population_count,population_seconds,alns_seconds,worker_count,elapsed_seconds,objective,feasible,violation_count,route_count,ev_route_count,charging_action_count,distance_m,emissions_kg,solution_sha256
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_cv_only,3,1.8,0.2,3,2.334559583978262,1253.672412632888,True,0,4,0,0,334818.394519722,119.51080590504093,755694a355a6ef7242df08e45d40830e77dd6c91e7bd5057cdfa91f2f7634663
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_naive_ev,3,1.8,0.2,3,2.24562750000041,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-jjj-25c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,3,1.8,0.2,3,2.220960291044321,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,227ffb6be7c883b3dec935e3c76ed53225bb583dd0d27a9e0002579783cef484
cn-jjj-25c-01-V2-LOCATIONS,1,mvhgs_alns,3,1.8,0.2,3,2.1968607919989154,1217.5293306722904,True,0,4,1,1,349935.094318361,101.3412360555149,08cd634e7d5983bf4c987ef94eebcf2372646928324f4ef5844bc1943ac344ad
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_cv_only,3,1.8,0.2,3,2.72570591699332,3625.9502374323624,True,0,13,0,0,826942.819666649,296.4956658964593,a2fad0e236668234219334b20c573d3347b26f28c48e7df8efcbf1895fd4d277
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_naive_ev,3,1.8,0.2,3,2.8599672919954173,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-prd-75c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,3,1.8,0.2,3,3.487012874975335,3822.8831222833023,True,0,13,1,1,971235.1257713101,325.6924946009405,ef6b378ae251a089dec650218904e6ef62ec4974afc67ba9db3dbdf91afb8c85
cn-prd-75c-01-V2-LOCATIONS,1,mvhgs_alns,3,1.8,0.2,3,3.5709734999691136,3626.548585731854,True,0,13,0,0,827108.290744548,296.67614773983536,96a438b07f7e5bfddfcfd98143ef360384d1472d5746d563f4d9119044faa11d
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_cv_only,3,1.8,0.2,3,3.9457727079861797,7582.779542223795,True,0,26,1,1,1871700.620778282,638.7305121812877,4b01f5dfed4e95bec70ef703f723df9426ddb13b47b81710e9e5f7db2f775c92
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_naive_ev,3,1.8,0.2,3,4.388573332980741,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,homogeneous_mechanism_ev,3,1.8,0.2,3,6.853028833051212,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
cn-cy-150c-01-V2-LOCATIONS,1,mvhgs_alns,3,1.8,0.2,3,4.078920625033788,8415.881190547478,True,0,26,2,2,2391429.119105991,797.9552494140898,38b40e8a0f761027fcb7803953ad6841fac1d67890d5be991dfa5de3cb3607b6
