category,instance,seed,solution_path,winner_composition,winner_cv_route_count,winner_depot_charging_energy_share,winner_depot_peak_capacity,winner_depot_peak_concurrent_at_one_depot,winner_depot_peak_headroom,winner_ev_route_count,winner_ev_route_share,winner_ev_routes_with_public_charge,winner_public_charging_energy_share,winner_public_peak_concurrent_at_one_station,winner_public_station_slots_at_capacity,winner_status,winner_total_cost,winner_variant
multidepot,e2-multidepot-200c-01,1,baselines/e2_alns/charging_infrastructure_operational_pilot_data/solutions/multidepot__e2-multidepot-200c-01__free_mixed__seed1__eval300.json,balanced_mixed,28,1.0,200,24,176,47,0.6266666666666667,0,0.0,0,0,OK,9768.430526318592,free_mixed
threeshift,e2-threeshift-200c-01,1,baselines/e2_alns/charging_infrastructure_operational_pilot_data/solutions/threeshift__e2-threeshift-200c-01__free_mixed__seed1__eval300.json,balanced_mixed,22,1.0,91,15,76,47,0.6811594202898551,0,0.0,0,0,OK,9237.06258638272,free_mixed
vanilla,e2-vanilla-200c-01,1,baselines/e2_alns/charging_infrastructure_operational_pilot_data/solutions/vanilla__e2-vanilla-200c-01__free_mixed__seed1__eval300.json,ev_heavy_mixed,12,1.0,200,62,138,63,0.84,0,0.0,0,0,OK,10845.718190384829,free_mixed
