category,customer_count,depot_chargers_max,depot_chargers_mean,depot_chargers_min,depot_count,exists,instance,manifest_num_cv,manifest_num_ev,metadata_depot_chargers,metadata_depot_chargers_policy,metadata_public_station_chargers,public_chargers_max,public_chargers_mean,public_chargers_min,public_station_count,replicate,size_from_name
vanilla,100,100,100.0,100,1,True,e2-vanilla-100c-01,7,7,100,customer_count_route_upper_bound,1,1,1.0,1,11,1,100
vanilla,100,100,100.0,100,1,True,e2-vanilla-100c-02,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,2,100
vanilla,100,100,100.0,100,1,True,e2-vanilla-100c-03,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,3,100
vanilla,150,150,150.0,150,1,True,e2-vanilla-150c-01,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,1,150
vanilla,150,150,150.0,150,1,True,e2-vanilla-150c-02,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,2,150
vanilla,150,150,150.0,150,1,True,e2-vanilla-150c-03,10,9,150,customer_count_route_upper_bound,1,1,1.0,1,16,3,150
vanilla,200,200,200.0,200,1,True,e2-vanilla-200c-01,14,14,200,customer_count_route_upper_bound,1,1,1.0,1,21,1,200
vanilla,200,200,200.0,200,1,True,e2-vanilla-200c-02,12,12,200,customer_count_route_upper_bound,1,1,1.0,1,21,2,200
vanilla,200,200,200.0,200,1,True,e2-vanilla-200c-03,14,13,200,customer_count_route_upper_bound,1,1,1.0,1,21,3,200
vanilla,75,75,75.0,75,1,True,e2-vanilla-75c-01,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,1,75
vanilla,75,75,75.0,75,1,True,e2-vanilla-75c-02,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,2,75
vanilla,75,75,75.0,75,1,True,e2-vanilla-75c-03,5,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,3,75
multidepot,100,100,100.0,100,2,True,e2-multidepot-100c-01,7,7,100,customer_count_route_upper_bound,1,1,1.0,1,11,1,100
multidepot,100,100,100.0,100,2,True,e2-multidepot-100c-02,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,2,100
multidepot,100,100,100.0,100,2,True,e2-multidepot-100c-03,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,3,100
multidepot,150,150,150.0,150,2,True,e2-multidepot-150c-01,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,1,150
multidepot,150,150,150.0,150,2,True,e2-multidepot-150c-02,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,2,150
multidepot,150,150,150.0,150,2,True,e2-multidepot-150c-03,10,9,150,customer_count_route_upper_bound,1,1,1.0,1,16,3,150
multidepot,200,200,200.0,200,2,True,e2-multidepot-200c-01,14,14,200,customer_count_route_upper_bound,1,1,1.0,1,21,1,200
multidepot,200,200,200.0,200,2,True,e2-multidepot-200c-02,12,12,200,customer_count_route_upper_bound,1,1,1.0,1,21,2,200
multidepot,200,200,200.0,200,2,True,e2-multidepot-200c-03,14,13,200,customer_count_route_upper_bound,1,1,1.0,1,21,3,200
multidepot,75,75,75.0,75,2,True,e2-multidepot-75c-01,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,1,75
multidepot,75,75,75.0,75,2,True,e2-multidepot-75c-02,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,2,75
multidepot,75,75,75.0,75,2,True,e2-multidepot-75c-03,5,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,3,75
threeshift,100,46,46.0,46,2,True,e2-threeshift-100c-01,7,7,100,customer_count_route_upper_bound,1,1,1.0,1,11,1,100
threeshift,100,45,45.0,45,2,True,e2-threeshift-100c-02,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,2,100
threeshift,100,45,45.0,45,2,True,e2-threeshift-100c-03,7,6,100,customer_count_route_upper_bound,1,1,1.0,1,11,3,100
threeshift,150,70,70.0,70,2,True,e2-threeshift-150c-01,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,1,150
threeshift,150,68,68.0,68,2,True,e2-threeshift-150c-02,10,10,150,customer_count_route_upper_bound,1,1,1.0,1,16,2,150
threeshift,150,66,66.0,66,2,True,e2-threeshift-150c-03,10,9,150,customer_count_route_upper_bound,1,1,1.0,1,16,3,150
threeshift,200,91,91.0,91,2,True,e2-threeshift-200c-01,14,14,200,customer_count_route_upper_bound,1,1,1.0,1,21,1,200
threeshift,200,88,88.0,88,2,True,e2-threeshift-200c-02,12,12,200,customer_count_route_upper_bound,1,1,1.0,1,21,2,200
threeshift,200,92,92.0,92,2,True,e2-threeshift-200c-03,14,13,200,customer_count_route_upper_bound,1,1,1.0,1,21,3,200
threeshift,75,34,34.0,34,2,True,e2-threeshift-75c-01,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,1,75
threeshift,75,32,32.0,32,2,True,e2-threeshift-75c-02,6,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,2,75
threeshift,75,33,33.0,33,2,True,e2-threeshift-75c-03,5,5,75,customer_count_route_upper_bound,1,1,1.0,1,8,3,75
