#{"t_start": 0.0, "env_id": "bucketed"}
r,l,t,actual_evals,candidate_scores,repair_delta_count,best_obj,violation_count
80.01,32,6.09282,32,32,36521,4100.974521189111,0
85.0,32,9.005366,32,32,20003,4254.025336178407,0
