actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,0,25524,76.0,25c,1,120,0,5.594000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,590.5108594798485,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,590.5108594798485,120,True,0,1,21592,70.0,25c,2,120,0,5.561999999918044,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,2,26268,54.0,25c,3,120,0,5.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,3,26677,81.0,25c,4,120,0,5.75,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,506.9477928822129,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,506.9477928822129,120,True,1,0,21926,79.0,25c,5,120,0,5.312000000034459,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,489.4891832222201,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,491.88938393395927,120,True,1,1,23939,107.0,25c,6,120,0,5.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,581.0592943552365,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,581.0592943552365,120,True,1,2,30289,64.0,25c,7,120,0,6.281000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,557.050017596615,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,557.050017596615,120,True,1,3,27691,58.0,25c,8,120,0,5.842999999993481,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,2,0,22472,58.0,25c,9,120,0,5.407000000006519,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,476.87285168865594,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,476.87285168865594,120,True,2,1,24482,20.0,25c,10,120,0,5.64000000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,468.6586478889532,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,468.6586478889532,120,True,2,2,21265,75.0,25c,11,120,0,7.407000000006519,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.90083726713164,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.90083726713164,120,True,2,3,22612,54.0,25c,12,120,0,5.530999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,597.4876805142646,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,597.4876805142646,120,True,3,0,28652,88.0,25c,13,120,0,6.0,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
