actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,evidence_role,feasible,repair_delta_count,reward_sum,scale,seed,steps,trace_destroy_id,trace_repair_id,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
180,random_operator,481.9894126533244,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,,180,,486.5621934551384,180,EXPLORATORY,True,13935,,25c,101,180,,,0,4.312999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,worst_removal_fixed,541.3930719389184,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,0,180,block_ppo,541.5417738053347,180,EXPLORATORY,,,,25c,101,180,random_customer_removal,greedy_insert_repair,0,5.795999999972992,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,learned_destroy,595.3321300742814,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,,180,,595.3321300742814,180,EXPLORATORY,True,61704,5.0,25c,102,180,,,0,13.40700000000652,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,operator_select,504.2153834675346,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,,180,,505.4857719248298,180,EXPLORATORY,True,56300,,25c,102,180,,,0,10.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,random_operator,499.182388663431,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,,180,,499.182388663431,180,EXPLORATORY,True,19181,,25c,102,180,,,0,5.609000000054948,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,worst_removal_fixed,540.6729445860801,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,0,180,block_ppo,541.4479954884505,180,EXPLORATORY,,,,25c,102,180,random_customer_removal,regret3_insert_repair,0,6.062000000034459,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,learned_destroy,1176.719511020828,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,1176.719511020828,180,EXPLORATORY,True,149823,10.0,50c,101,180,,,0,49.56299999996554,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,operator_select,932.6875810875972,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,932.6875810875972,180,EXPLORATORY,True,232215,,50c,101,180,,,0,35.89000000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,random_operator,999.7388259725537,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,1003.904280762254,180,EXPLORATORY,True,45111,,50c,101,180,,,0,11.625,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,worst_removal_fixed,1026.4972510476655,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,0,180,block_ppo,1026.4972510476655,180,EXPLORATORY,,,,50c,101,180,random_customer_removal,greedy_insert_repair,0,23.31299999996554,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,learned_destroy,1176.719511020828,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,1176.719511020828,180,EXPLORATORY,True,149823,10.0,50c,102,180,,,0,48.78200000000652,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,operator_select,1009.5611495412184,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,1009.5611495412184,180,EXPLORATORY,True,256523,,50c,102,180,,,0,37.46799999999348,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,random_operator,941.5622651581926,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,180,,944.4572599510549,180,EXPLORATORY,True,56778,,50c,102,180,,,0,14.53200000000652,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
180,worst_removal_fixed,1014.1410718498611,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,0,180,block_ppo,1016.355126172369,180,EXPLORATORY,,,,50c,102,180,random_customer_removal,greedy_insert_repair,0,22.07799999997951,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
