hourly_calendar_row,start_hour,jjj_carbon_kgco2e_per_kwh,jjj_carbon_gco2e_per_kwh,prd_carbon_kgco2e_per_kwh,prd_carbon_gco2e_per_kwh,cy_carbon_kgco2e_per_kwh,cy_carbon_gco2e_per_kwh
1,0.0,0.64330000,643.3000,0.36690000,366.9000,0.31110000,311.1000
2,0.5,0.64330000,643.3000,0.36690000,366.9000,0.31110000,311.1000
3,1.0,0.64390000,643.9000,0.34620000,346.2000,0.31790000,317.9000
4,1.5,0.64390000,643.9000,0.34620000,346.2000,0.31790000,317.9000
5,2.0,0.63600000,636.0000,0.34330000,343.3000,0.32580000,325.8000
6,2.5,0.63600000,636.0000,0.34330000,343.3000,0.32580000,325.8000
7,3.0,0.62530000,625.3000,0.33930000,339.3000,0.33510000,335.1000
8,3.5,0.62530000,625.3000,0.33930000,339.3000,0.33510000,335.1000
9,4.0,0.60020000,600.2000,0.33150000,331.5000,0.34080000,340.8000
10,4.5,0.60020000,600.2000,0.33150000,331.5000,0.34080000,340.8000
11,5.0,0.59370000,593.7000,0.32560000,325.6000,0.34750000,347.5000
12,5.5,0.59370000,593.7000,0.32560000,325.6000,0.34750000,347.5000
13,6.0,0.58490000,584.9000,0.31780000,317.8000,0.33130000,331.3000
14,6.5,0.58490000,584.9000,0.31780000,317.8000,0.33130000,331.3000
15,7.0,0.59440000,594.4000,0.29760000,297.6000,0.24910000,249.1000
16,7.5,0.59440000,594.4000,0.29760000,297.6000,0.24910000,249.1000
17,8.0,0.52030000,520.3000,0.25390000,253.9000,0.22110000,221.1000
18,8.5,0.52030000,520.3000,0.25390000,253.9000,0.22110000,221.1000
19,9.0,0.31850000,318.5000,0.18560000,185.6000,0.28410000,284.1000
20,9.5,0.31850000,318.5000,0.18560000,185.6000,0.28410000,284.1000
21,10.0,0.23760000,237.6000,0.07060000,70.6000,0.22950000,229.5000
22,10.5,0.23760000,237.6000,0.07060000,70.6000,0.22950000,229.5000
23,11.0,0.17990000,179.9000,0.02960000,29.6000,0.21660000,216.6000
24,11.5,0.17990000,179.9000,0.02960000,29.6000,0.21660000,216.6000
25,12.0,0.16460000,164.6000,0.02210000,22.1000,0.17330000,173.3000
26,12.5,0.16460000,164.6000,0.02210000,22.1000,0.17330000,173.3000
27,13.0,0.15410000,154.1000,0.02210000,22.1000,0.16200000,162.0000
28,13.5,0.15410000,154.1000,0.02210000,22.1000,0.16200000,162.0000
29,14.0,0.15530000,155.3000,0.02210000,22.1000,0.15360000,153.6000
30,14.5,0.15530000,155.3000,0.02210000,22.1000,0.15360000,153.6000
31,15.0,0.18250000,182.5000,0.02220000,22.2000,0.16320000,163.2000
32,15.5,0.18250000,182.5000,0.02220000,22.2000,0.16320000,163.2000
33,16.0,0.26870000,268.7000,0.04790000,47.9000,0.19090000,190.9000
34,16.5,0.26870000,268.7000,0.04790000,47.9000,0.19090000,190.9000
35,17.0,0.43090000,430.9000,0.17400000,174.0000,0.14300000,143.0000
36,17.5,0.43090000,430.9000,0.17400000,174.0000,0.14300000,143.0000
37,18.0,0.47480000,474.8000,0.17560000,175.6000,0.00460000,4.6000
38,18.5,0.47480000,474.8000,0.17560000,175.6000,0.00460000,4.6000
39,19.0,0.47230000,472.3000,0.17160000,171.6000,0.00460000,4.6000
40,19.5,0.47230000,472.3000,0.17160000,171.6000,0.00460000,4.6000
41,20.0,0.48580000,485.8000,0.16540000,165.4000,0.00460000,4.6000
42,20.5,0.48580000,485.8000,0.16540000,165.4000,0.00460000,4.6000
43,21.0,0.48580000,485.8000,0.16320000,163.2000,0.00450000,4.5000
44,21.5,0.48580000,485.8000,0.16320000,163.2000,0.00450000,4.5000
45,22.0,0.47490000,474.9000,0.16040000,160.4000,0.00460000,4.6000
46,22.5,0.47490000,474.9000,0.16040000,160.4000,0.00460000,4.6000
47,23.0,0.61550000,615.5000,0.15830000,158.3000,0.00480000,4.8000
48,23.5,0.61550000,615.5000,0.15830000,158.3000,0.00480000,4.8000
