task_id,instance_id,seed,arm,status,recorded_cost,replayed_cost,cost_equal,recorded_emissions_kg,replayed_emissions_kg,emissions_equal,direct_violation_count,exact_violation_count,input_file_manifest_sha256,path_identity_sha256,diesel_route_count,charging_slot_segment_count,charge_day_offsets_json,all_charge_day_offsets_zero,all_charging_within_registered_day,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,settlement_trace_sha256
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-F,PASS,5402.472346888346,5402.472346888346,True,464.49491517509915,464.49491517509915,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-E,PASS,5457.086477673681,5457.086477673681,True,475.2467929713377,475.2467929713377,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-M,PASS,5466.647996428059,5466.647996428059,True,476.4034286605035,476.4034286605035,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,MV-HGS-SP,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,bf4e64dee2e972e09eb706911fc93fb200ade59c2ccef9e3b67d2fe468aa5cf1
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-F,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-E,PASS,5461.743733075129,5461.743733075129,True,475.8785159551288,475.8785159551288,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-M,PASS,5453.857735968901,5453.857735968901,True,474.50459883047506,474.50459883047506,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,MV-HGS-SP,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-F,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-E,PASS,5463.827522909196,5463.827522909196,True,476.21691162308247,476.21691162308247,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-M,PASS,5467.946870968471,5467.946870968471,True,476.64403861948585,476.64403861948585,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,MV-HGS-SP,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,HGS-F,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,HGS-E,PASS,5468.132322306392,5468.132322306392,True,476.9421423637934,476.9421423637934,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,HGS-M,PASS,5475.701745081806,5475.701745081806,True,478.0496287402023,478.0496287402023,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,MV-HGS-SP,PASS,5399.970882663374,5399.970882663374,True,464.15657368708514,464.15657368708514,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,HGS-F,PASS,5401.881239233363,5401.881239233363,True,464.298354633153,464.298354633153,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,HGS-E,PASS,5462.281414055326,5462.281414055326,True,475.3497276955062,475.3497276955062,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,HGS-M,PASS,5464.305071824668,5464.305071824668,True,476.3525727429807,476.3525727429807,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,MV-HGS-SP,PASS,5401.881239233363,5401.881239233363,True,464.298354633153,464.298354633153,True,0,0,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,18,0,[],True,True,True,True,288184097315ee4e5178c4e22dad42a2183602e2de807aad6e3ca50bae584911
