actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,operator_select,581.0142272734388,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,,80,,581.0142272734388,80,True,35168,25c,11,80,,,0,5.016000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,593.7411273782741,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,0,80,block_ppo,593.7411273782741,80,,,25c,11,80,random_customer_removal,regret3_insert_repair,0,3.0469999999040738,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,557.5883382829861,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,4,80,best_of_k_destroy,557.5883382829861,80,,,25c,11,10,best_of_k_destroy,greedy_insert_repair,0,2.781000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,593.6963698054008,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,,80,,594.0997319443624,80,True,35185,25c,12,80,,,0,2.8589999999385327,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,600.8088133868889,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,0,80,block_ppo,601.0781378468923,80,,,25c,12,80,random_customer_removal,greedy_insert_repair,0,3.0,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,553.1026117981155,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,4,80,best_of_k_destroy,553.1026117981155,80,,,25c,12,10,best_of_k_destroy,greedy_insert_repair,0,2.25,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,550.6837653290387,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,,80,,551.0487506226733,80,True,35015,25c,11,80,,,0,5.266000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,555.0435163686476,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,0,80,block_ppo,555.2070899083087,80,,,25c,11,80,random_customer_removal,regret2_insert_repair,0,2.968999999924563,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,523.3788536083028,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,4,80,best_of_k_destroy,523.3788536083028,80,,,25c,11,10,best_of_k_destroy,greedy_insert_repair,0,2.156000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,556.5212240753278,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,,80,,556.684797614989,80,True,38191,25c,12,80,,,0,2.812999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
