city_group_code,city_group,scale_band,tiers,instance_count,HGS-F_Best,HGS-F_avg,HGS-F_Best_error_pct,HGS-F_avg_error_pct,HGS-F_feasible_units,HGS-F_total_units,HGS-E_Best,HGS-E_avg,HGS-E_Best_error_pct,HGS-E_avg_error_pct,HGS-E_feasible_units,HGS-E_total_units,HGS-M_Best,HGS-M_avg,HGS-M_Best_error_pct,HGS-M_avg_error_pct,HGS-M_feasible_units,HGS-M_total_units,MV-HGS-SP_Best,MV-HGS-SP_avg,MV-HGS-SP_Best_error_pct,MV-HGS-SP_avg_error_pct,MV-HGS-SP_feasible_units,MV-HGS-SP_total_units
cy,成渝,S,10/15/20,9,919.4254090474458,922.6162998024182,1.1908464007953932,1.5420319707076457,45,45,908.9856907767366,909.0012958609988,0.04186365830911166,0.043581134973450994,45,45,908.6053153521392,908.6677356891873,0.0,0.006869906657319804,45,45,908.6053153521392,908.6053153521392,0.0,0.0,45,45
cy,成渝,M,25/50/75,9,2575.2384210791756,2583.2783396355653,1.3530072607498915,1.60420065304136,45,45,2550.5168857540248,2553.058155544077,0.3800480470329318,0.4155956153679602,45,45,2541.855407420053,2552.160327539777,0.03916043473022155,0.38028269716584834,45,45,2540.8603954433092,2542.491671635664,0.0,0.0,45,45
cy,成渝,L,100/150/200,9,7272.323231182304,7303.869925315978,0.5312025044475931,0.6371523808909965,45,45,7249.555290857552,7272.925768554285,0.21646286119541708,0.21078500973467432,45,45,7248.94926316244,7287.7170257580765,0.2080852504919515,0.41458792796072613,45,45,7233.896591320063,7257.627777137739,0.0,0.0,45,45
jjj,京津冀,S,10/15/20,9,894.305907956066,895.1592125605838,1.1799193200908145,1.2764604368076848,45,45,883.8768739544626,883.8768739544626,0.0,0.0,45,45,883.8768739544626,883.8768739544626,0.0,0.0,45,45,883.8768739544626,883.8768739544626,0.0,0.0,45,45
jjj,京津冀,M,25/50/75,9,2606.0315899386937,2607.197734592433,1.1101033787793169,1.138696615601881,45,45,2577.64330987544,2578.3477486867273,0.00868083922796717,0.019544840818033746,45,45,2577.733276934074,2578.316890330754,0.012171425694492971,0.01834778013429169,45,45,2577.419568226492,2577.8439131973555,0.0,0.0,45,45
jjj,京津冀,L,100/150/200,9,7180.500883823141,7184.512160855072,0.6004429416179227,0.5719926883277886,45,45,7141.364264325054,7150.804284664471,0.052130042497606346,0.10013486390221799,44,45,7141.449900133088,7153.644297671158,0.05332981955483893,0.1398906275432732,45,45,7137.643407783249,7143.650999458514,0.0,0.0,45,45
prd,珠三角,S,10/15/20,9,784.1929999485726,784.8956106301116,0.5820667843116502,0.6228648542441857,45,45,779.654887814343,780.0370340946473,0.0,0.0,45,45,779.654887814343,780.2605696548701,0.0,0.028657044531511616,45,45,779.654887814343,780.0370340946473,0.0,0.0,45,45
prd,珠三角,M,25/50/75,9,2450.8617977515514,2453.484506518128,0.9480872497757453,1.007432826159804,45,45,2428.357408681471,2432.061060077738,0.021158186115964102,0.1254515780681027,45,45,2428.0270627674363,2429.6558009437545,0.007551630175853306,0.026429534211731647,45,45,2427.8437209883796,2429.013823904158,0.0,0.0,45,45
prd,珠三角,L,100/150/200,9,7100.569563069605,7121.259948613704,0.4723058988120171,0.579600933727607,45,45,7084.4097923041,7118.422811674331,0.2436468571414829,0.5395296397128341,45,45,7088.3684858605075,7123.712958610683,0.299661950920395,0.6142468767718018,45,45,7067.190804021909,7080.222910514367,0.0,0.0,45,45
ALL,总体,ALL,全部9层,81,3531.494422644061,3539.5859709471106,0.7176166917763332,0.8002419258458422,405,405,3511.5960449270206,3519.8372259013045,0.1501183639175627,0.2378376518181521,404,405,3510.9467192665043,3522.001386683636,0.1315997071798719,0.29946856916724846,405,405,3506.332396100483,3511.4855910276715,0.0,0.0,405,405
