路径,距离(km),成本(元),时间(h),油耗(L),电耗(kWh),碳排放(kg),num(满足时窗客户数),装载率(%),vehicle_id,vehicle_type,ev_drive_kwh,check_status
"[51, 2, 8, 21, 9, 7, 13, 19, 51]",68.883947686822,290.30649507917747,12.000986022222223,9.46649016074033,0,25.605013137827903,7,100.0,CH81-0001,cv,0.0,PASS
"[51, 16, 20, 22, 15, 14, 11, 1, 51]",68.535512314124,288.34234735668656,10.423288533333332,9.225854769452265,0,24.954141246478958,7,96.0806916426513,CH81-0002,cv,0.0,PASS
"[51, 3, 17, 12, 6, 51]",75.042645758881,245.18684433089612,11.795757527777779,0.0,31.381421241716133,0.6935294094419264,4,97.3,CH81-0003,ev,31.381421241716133,PASS
"[51, 23, 5, 4, 18, 10, 51]",85.047791386273,253.48869754642152,11.036598466666668,0.0,33.39521977121389,0.7380343569438266,5,97.2,CH81-0004,ev,33.39521977121389,PASS
"[52, 37, 35, 32, 48, 52]",54.50583779986,220.2694691754011,11.037189661111114,0.0,18.106497960036048,0.4001536049167959,4,97.3,CH81-0005,ev,18.106497960036048,PASS
"[52, 38, 33, 26, 31, 29, 24, 52]",55.215233133878996,264.1380171735802,12.376532450000001,7.261589111284453,0,19.641185005088044,6,96.0806916426513,CH81-0006,cv,0.0,PASS
"[52, 43, 28, 41, 39, 47, 30, 52]",61.417436229411,274.47434213597774,8.528875694444446,8.043428070159266,0,21.755907196072677,6,92.04610951008645,CH81-0007,cv,0.0,PASS
"[52, 36, 50, 46, 34, 40, 49, 27, 52]",61.79883811313999,275.5022996528004,11.419621094444446,8.147291702777931,0,22.03683810421144,7,96.0806916426513,CH81-0008,cv,0.0,PASS
"[52, 45, 44, 42, 25, 52]",82.75068553362502,245.40934994116913,12.111115672222223,0.0,26.29139960969451,0.5810399313742479,4,97.2,CH81-0009,ev,26.29139960969451,PASS
均值,68.1331031062239,261.90198471023444,11.192218346913583,4.682739312712694,12.130504286962285,12.933982443595092,-,96.58757604867115,,,12.130504286962285,PASS
合计,613.1979279560151,2357.11786239211,100.72996512222224,42.14465381441424,109.17453858266057,116.40584199235582,50.0,-,,,109.17453858266057,PASS
