instance_id,n,cv_only Best.avg.,naive_ev Best.avg.,mechanism_ev Best.avg.(复用),MV-HGS-SP Best.avg.(复用)
cn-prd-200c-01-V2-LOCATIONS,200,Best=9515.675561; Avg=9523.619551,Best=9483.019432; Avg=9492.607681,Best=9481.181624; Avg=9492.109020,Best=9472.015951; Avg=9481.997264
cn-prd-200c-02-V2-LOCATIONS,200,Best=9735.192457; Avg=9763.608173,Best=9735.804957; Avg=9739.775637,Best=9747.861966; Avg=9794.889502,Best=9735.978454; Avg=9746.172044
cn-prd-200c-03-V2-LOCATIONS,200,Best=9791.679851; Avg=9794.191557,Best=9797.225357; Avg=9832.320972,Best=9713.237474; Avg=9739.607390,Best=9712.808223; Avg=9733.691987
cn-prd-20c-01-V2-LOCATIONS,20,Best=1015.372632; Avg=1015.372632,Best=997.313055; Avg=997.313055,Best=997.313055; Avg=999.324875,Best=997.313055; Avg=997.313055
cn-prd-20c-02-V2-LOCATIONS,20,Best=1062.092731; Avg=1065.588646,Best=1044.298895; Avg=1047.738211,Best=1044.298895; Avg=1047.738211,Best=1044.298895; Avg=1047.738211
cn-prd-20c-03-V2-LOCATIONS,20,Best=1030.260364; Avg=1030.260364,Best=1030.260364; Avg=1030.260364,Best=1030.260364; Avg=1030.260364,Best=1030.260364; Avg=1030.260364
cn-prd-25c-01-V2-LOCATIONS,25,Best=1107.348440; Avg=1107.348440,Best=1107.348440; Avg=1107.348440,Best=1107.348440; Avg=1107.348440,Best=1107.348440; Avg=1107.348440
cn-prd-25c-02-V2-LOCATIONS,25,Best=1317.903910; Avg=1317.903910,Best=1290.682548; Avg=1290.682548,Best=1289.948185; Avg=1289.948185,Best=1289.948185; Avg=1289.948185
cn-prd-25c-03-V2-LOCATIONS,25,Best=1099.742151; Avg=1099.742151,Best=1099.742151; Avg=1099.742151,Best=1099.742151; Avg=1099.742151,Best=1099.742151; Avg=1099.742151
cn-prd-50c-01-V2-LOCATIONS,50,Best=2473.739728; Avg=2479.593309,Best=2357.498947; Avg=2359.330123,Best=2358.730849; Avg=2361.601297,Best=2357.117862; Avg=2358.517313
cn-prd-50c-02-V2-LOCATIONS,50,Best=2473.994270; Avg=2474.040906,Best=2435.127564; Avg=2462.871465,Best=2433.308193; Avg=2443.570538,Best=2433.308193; Avg=2442.266686
cn-prd-50c-03-V2-LOCATIONS,50,Best=2500.559610; Avg=2500.567028,Best=2500.559610; Avg=2500.574445,Best=2500.596699; Avg=2501.713484,Best=2500.559610; Avg=2500.559610
cn-prd-75c-01-V2-LOCATIONS,75,Best=3584.943073; Avg=3602.315595,Best=3577.955817; Avg=3581.692436,Best=3576.267446; Avg=3576.673345,Best=3576.267446; Avg=3576.437263
cn-prd-75c-02-V2-LOCATIONS,75,Best=3602.025470; Avg=3602.041878,Best=3588.802074; Avg=3588.808405,Best=3588.802074; Avg=3588.805240,Best=3588.802074; Avg=3588.805240
cn-prd-75c-03-V2-LOCATIONS,75,Best=3897.499527; Avg=3897.807342,Best=3897.499527; Avg=3897.499527,Best=3897.499527; Avg=3897.499527,Best=3897.499527; Avg=3897.499527
