seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-F_status,HGS-E_cost,HGS-E_cpu_seconds,HGS-E_status,HGS-M_cost,HGS-M_cpu_seconds,HGS-M_status,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,MV-HGS-SP_status
1,2482.4470517329405,11.919948499999919,OK,2357.498946659032,29.24278891699987,OK,2364.048690580053,16.84730837500001,OK,2357.498946659032,61.06652350000013,OK
2,2481.6596445092614,11.7303042919998,OK,2358.7308493232913,22.932199915999718,OK,2358.7308493232913,13.970516750000115,OK,2358.7308493232913,39.17017729200006,OK
3,2480.060060310482,12.735868582999956,OK,2358.7308493232913,21.857390541999848,OK,2362.1210429152775,14.745720666000125,OK,2362.1210429152775,37.170569417000024,OK
4,2473.7397280806654,12.549314624999624,OK,2357.641276768278,14.14324012499992,OK,2364.375053656231,22.584497416999966,OK,2357.11786239211,69.3725182080002,OK
5,2480.060060310482,15.708136374999867,OK,2364.048690580053,19.486934375000146,OK,2358.7308493232913,16.135506250000162,OK,2357.11786239211,42.16288749999967,OK
6,2480.060060310482,12.317624541999976,OK,2364.048690580053,14.076028957999824,OK,2364.2867491773877,22.669808957999976,OK,2357.11786239211,62.19529370800001,OK
7,2480.060060310482,11.947152624999944,OK,2364.048690580053,16.72832229200003,OK,2358.7308493232913,15.307036874999994,OK,2357.11786239211,59.09776720899981,OK
8,2481.200305716806,12.321635374999914,OK,2357.641276768278,18.974681083999712,OK,2357.763462203688,22.51047229200003,OK,2357.498946659032,58.65342475000034,OK
9,2480.060060310482,11.553121667000141,OK,2359.19514463484,24.762793458000033,OK,2357.641276768278,16.981787708999946,OK,2357.641276768278,35.026037458000246,OK
10,2480.060060310482,11.25427875000014,OK,2358.7308493232913,17.189398457999687,OK,2365.8780971446868,13.452198124999995,OK,2357.11786239211,42.00312500000018,OK
Min,2473.7397280806654,11.25427875000014,10/10 feasible,2357.498946659032,14.076028957999824,10/10 feasible,2357.641276768278,13.452198124999995,10/10 feasible,2357.11786239211,35.026037458000246,10/10 feasible
Avg,2479.3769836348392,12.299242189454493,11/11 feasible,2359.8012919272264,19.40634609845442,11/11 feasible,2360.9043815621594,17.150641049272757,11/11 feasible,2357.8362033343246,49.17676013636372,11/11 feasible
Max,2482.4470517329405,15.708136374999867,12/12 feasible,2364.048690580053,29.24278891699987,12/12 feasible,2365.8780971446868,22.669808957999976,12/12 feasible,2362.1210429152775,69.3725182080002,12/12 feasible
