run_id,share,seed,map_seed,m0_budget_per_depot,cooperation_budget,asset_infeasible_any,strict_win,status,actual_evals,elapsed_seconds,independent_cost,total_cost,saving_pct_vs_measurement_start,cross_site_service_count,cross_site_customer_count,cross_site_attempted_candidates,cross_site_legal_candidates,cross_site_accepted_candidates,fairness_rejected_candidates,physical_total,fairness_ok,measurement_caps,asset_status_by_depot
E3b_mismatch_25pct_seed1,0.25,1,20260713,200,4000,True,True,OK,4000,152.01903637498617,15832.529405720628,13286.009962168137,16.08409735612037,108,108,6217,1988,793,610,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed2,0.25,2,20260713,200,4000,True,True,OK,4000,147.935239790997,15831.462192046582,13288.168156110161,16.06480819702252,108,108,6183,2009,1040,439,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed3,0.25,3,20260713,200,4000,True,True,OK,4000,135.30963691696525,15832.529405720628,12824.402990091747,18.999657847102952,110,110,6130,2218,904,191,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed4,0.25,4,20260713,200,4000,True,True,OK,4000,157.49492258403916,15832.529405720628,13288.168156110161,16.07046596541381,108,108,6386,1828,891,178,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed5,0.25,5,20260713,200,4000,True,True,OK,4000,185.23393145896262,15832.529405720628,13286.33663010543,16.08203408543934,108,108,6474,1786,808,802,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed6,0.25,6,20260713,200,4000,True,True,OK,4000,160.30374695901992,15832.529405720628,13288.168156110161,16.07046596541381,108,108,6384,1964,841,510,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed7,0.25,7,20260713,200,4000,True,True,OK,4000,190.8994950829656,15832.529405720628,13288.168156110161,16.07046596541381,108,108,6157,1850,801,354,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed8,0.25,8,20260713,200,4000,True,True,OK,4000,156.06832050002413,15832.529405720628,12991.613706872418,17.943536538272443,108,108,9798,3521,1316,112,27,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed9,0.25,9,20260713,200,4000,True,True,OK,4000,152.87517016602214,15832.529405720628,13288.168156110161,16.07046596541381,108,108,6214,2042,918,565,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_25pct_seed10,0.25,10,20260713,200,4000,True,True,OK,4000,160.48247054195963,15832.529405720628,13288.168156110161,16.07046596541381,108,108,6338,1729,801,526,28,True,"{""D0"": {""cv"": 8, ""ev"": 8}, ""D1"": {""cv"": 8, ""ev"": 7}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
