instance,seed,selection_role,algorithm,eval_budget,scenario_type,execution_commit
L-main-threeshift-20c-01,3,old_4000_loss,staged_hybrid_carbon_aware,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-20c-01,3,old_4000_loss,LNS,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-50c-01,5,second_worst_4000_loss,staged_hybrid_carbon_aware,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-50c-01,5,second_worst_4000_loss,LNS,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-150c-01,3,large_scale_4000_loss,staged_hybrid_carbon_aware,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-150c-01,3,large_scale_4000_loss,LNS,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-200c-01,4,slowest_pair_and_strong_win_guard,staged_hybrid_carbon_aware,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
L-main-threeshift-200c-01,4,slowest_pair_and_strong_win_guard,LNS,16000,diagnostic_280_override,0124623e347cd2a6a5548e07e0af66e16d3b634b
