instance_id,seed,n_clients,mother_cost,hybrid_cost,recorded_outcome,recomputed_outcome,outcome_equal,recorded_improvement_percent,recomputed_improvement_percent,improvement_equal,route_witness_available
PR11A,6,360,6709.871,6709.152,win,win,True,0.010715556230515474,0.010715556230515474,True,False
PR11A,2,360,6733.715,6733.715,tie,tie,True,0.0,0.0,True,False
PR11A,5,360,6672.748,6672.748,tie,tie,True,0.0,0.0,True,False
PR11A,4,360,6681.358,6677.277,win,win,True,0.06108039712884912,0.06108039712884912,True,False
PR11A,1,360,6697.072,6690.124,win,win,True,0.10374683145112253,0.10374683145112253,True,False
PR11A,3,360,6705.706,6696.781,win,win,True,0.13309560544408272,0.13309560544408272,True,False
PR11A,7,360,6743.008,6738.423,win,win,True,0.067996360081436,0.067996360081436,True,False
PR11A,9,360,6758.831,6731.582,win,win,True,0.403161434277611,0.403161434277611,True,False
PR11A,8,360,6723.376,6690.797,win,win,True,0.48456311234119037,0.48456311234119037,True,False
PR11A,10,360,6731.743,6730.198,win,win,True,0.022950965299775597,0.022950965299775597,True,False
PR11B,1,360,4849.102,4847.949,win,win,True,0.023777598408947623,0.023777598408947623,True,False
PR11B,2,360,4837.779,4816.902,win,win,True,0.4315410025964478,0.4315410025964478,True,False
PR11B,3,360,4839.767,4831.19,win,win,True,0.17721927522544423,0.17721927522544423,True,False
PR11B,4,360,4844.55,4843.75,win,win,True,0.016513401657536446,0.016513401657536446,True,False
PR11B,8,360,4820.019,4820.019,tie,tie,True,0.0,0.0,True,False
PR11B,6,360,4834.547,4831.688,win,win,True,0.059136874664771466,0.059136874664771466,True,False
PR11B,7,360,4853.059,4853.059,tie,tie,True,0.0,0.0,True,False
PR11B,5,360,4853.577,4846.14,win,win,True,0.1532271971784912,0.1532271971784912,True,False
PR11B,9,360,4843.741,4839.857,win,win,True,0.0801859554422917,0.0801859554422917,True,False
PR11B,10,360,4843.289,4838.668,win,win,True,0.09541037092769179,0.09541037092769179,True,False
PR12A,1,480,8219.917,8194.636,win,win,True,0.30755785003667363,0.30755785003667363,True,False
PR12A,2,480,8238.997,8229.271,win,win,True,0.11804834981732303,0.11804834981732303,True,False
PR12A,3,480,8243.811,8232.415,win,win,True,0.13823703624450903,0.13823703624450903,True,False
PR12A,4,480,8281.338,8242.418,win,win,True,0.46997236436914025,0.46997236436914025,True,False
PR12A,5,480,8212.208,8196.006,win,win,True,0.19729164190679455,0.19729164190679455,True,False
PR12A,6,480,8224.238,8214.72,win,win,True,0.11573108657604546,0.11573108657604546,True,False
PR12A,9,480,8207.332,8204.262,win,win,True,0.03740557832922695,0.03740557832922695,True,False
PR12A,8,480,8257.901,8254.048,win,win,True,0.046658345746687396,0.046658345746687396,True,False
PR12A,10,480,8225.769,8204.59,win,win,True,0.25747136833042705,0.25747136833042705,True,False
PR12A,7,480,8278.462,8230.634,win,win,True,0.577740164779394,0.577740164779394,True,False
PR12B,1,480,6055.926,6055.564,win,win,True,0.005977615974833247,0.005977615974833247,True,False
PR12B,2,480,6047.656,6030.239,win,win,True,0.2879958780724362,0.2879958780724362,True,False
PR12B,5,480,6045.317,6045.317,tie,tie,True,0.0,0.0,True,False
PR12B,3,480,6057.09,6043.128,win,win,True,0.23050672847853415,0.23050672847853415,True,False
PR12B,4,480,6062.863,6037.173,win,win,True,0.42372720610709014,0.42372720610709014,True,False
PR12B,6,480,6085.208,6034.162,win,win,True,0.8388538238955738,0.8388538238955738,True,False
PR12B,7,480,6068.619,6044.803,win,win,True,0.39244513455202584,0.39244513455202584,True,False
PR12B,9,480,6048.85,6048.85,tie,tie,True,0.0,0.0,True,False
PR12B,8,480,6030.682,6011.056,win,win,True,0.32543582964580464,0.32543582964580464,True,False
PR12B,10,480,6085.913,6082.91,win,win,True,0.049343459231173725,0.049343459231173725,True,False
PR13A,1,600,9652.602,9607.396,win,win,True,0.4683296793962926,0.4683296793962926,True,False
PR13A,2,600,9667.534,9613.759,win,win,True,0.55624319500712,0.55624319500712,True,False
PR13A,3,600,9672.864,9591.794,win,win,True,0.8381178521687032,0.8381178521687032,True,False
PR13A,4,600,9685.793,9610.564,win,win,True,0.7766942778975285,0.7766942778975285,True,False
PR13A,5,600,9733.996,9647.412,win,win,True,0.8895010846521709,0.8895010846521709,True,False
PR13A,6,600,9688.941,9633.635,win,win,True,0.5708157372410513,0.5708157372410513,True,False
PR13A,7,600,9612.583,9580.149,win,win,True,0.33741191103370555,0.33741191103370555,True,False
PR13A,8,600,9650.028,9622.682,win,win,True,0.2833774161069745,0.2833774161069745,True,False
PR13A,9,600,9694.915,9673.745,win,win,True,0.2183618938381623,0.2183618938381623,True,False
PR13A,10,600,9755.573,9691.226,win,win,True,0.6595922146243972,0.6595922146243972,True,False
PR13B,1,600,7289.769,7264.264,win,win,True,0.34987391232836196,0.34987391232836196,True,False
PR13B,2,600,7274.983,7274.583,win,win,True,0.005498294635197714,0.005498294635197714,True,False
PR13B,3,600,7309.886,7296.486,win,win,True,0.18331339230188468,0.18331339230188468,True,False
PR13B,4,600,7292.854,7276.542,win,win,True,0.22367100726272454,0.22367100726272454,True,False
PR13B,5,600,7289.472,7270.737,win,win,True,0.25701449981562,0.25701449981562,True,False
PR13B,6,600,7321.735,7291.415,win,win,True,0.4141094972707932,0.4141094972707932,True,False
PR13B,7,600,7286.203,7258.482,win,win,True,0.3804587931464503,0.3804587931464503,True,False
PR13B,8,600,7299.24,7288.266,win,win,True,0.1503444194190102,0.1503444194190102,True,False
PR13B,9,600,7306.554,7237.115,win,win,True,0.9503659317374552,0.9503659317374552,True,False
PR13B,10,600,7249.925,7230.335,win,win,True,0.2702096918244002,0.2702096918244002,True,False
PR14A,1,720,11226.832,11140.199,win,win,True,0.7716602510841866,0.7716602510841866,True,False
PR14A,2,720,11122.262,11060.17,win,win,True,0.5582677336678505,0.5582677336678505,True,False
PR14A,3,720,11205.018,11127.273,win,win,True,0.6938409202020095,0.6938409202020095,True,False
PR14A,4,720,11189.696,11055.153,win,win,True,1.2023829780540924,1.2023829780540924,True,False
PR14A,5,720,11256.075,11140.572,win,win,True,1.0261392181555347,1.0261392181555347,True,False
PR14A,6,720,11180.503,11086.256,win,win,True,0.8429584965900121,0.8429584965900121,True,False
PR14A,7,720,11192.486,11082.437,win,win,True,0.9832400058396399,0.9832400058396399,True,False
PR14A,8,720,11094.776,11059.087,win,win,True,0.3216739121186431,0.3216739121186431,True,False
PR14A,9,720,11297.006,11164.642,win,win,True,1.1716732734319126,1.1716732734319126,True,False
PR14A,10,720,11260.733,11139.51,win,win,True,1.0765107386881472,1.0765107386881472,True,False
PR14B,1,720,8837.96,8799.366,win,win,True,0.4366844837496339,0.4366844837496339,True,False
PR14B,2,720,8782.332,8729.859,win,win,True,0.5974836751787561,0.5974836751787561,True,False
PR14B,3,720,8840.201,8752.281,win,win,True,0.9945475221660487,0.9945475221660487,True,False
PR14B,4,720,8827.197,8798.83,win,win,True,0.321359090547092,0.321359090547092,True,False
PR14B,5,720,8783.922,8756.501,win,win,True,0.31217262630520026,0.31217262630520026,True,False
PR14B,6,720,8859.885,8780.545,win,win,True,0.8954969505811886,0.8954969505811886,True,False
PR14B,7,720,8815.624,8735.375,win,win,True,0.9103042507257546,0.9103042507257546,True,False
PR14B,8,720,8818.552,8726.369,win,win,True,1.0453303444828481,1.0453303444828481,True,False
PR14B,9,720,8856.699,8793.931,win,win,True,0.7087064830813379,0.7087064830813379,True,False
PR14B,10,720,8755.97,8722.913,win,win,True,0.3775366978187326,0.3775366978187326,True,False
PR15A,1,840,13178.17,13001.191,win,win,True,1.3429709891434043,1.3429709891434043,True,False
PR15A,2,840,13055.94,12897.333,win,win,True,1.2148263549005278,1.2148263549005278,True,False
PR15A,3,840,13221.431,13081.114,win,win,True,1.0612845160255415,1.0612845160255415,True,False
PR15A,4,840,13169.329,12977.893,win,win,True,1.4536503720121177,1.4536503720121177,True,False
PR15A,5,840,13218.289,12977.677,win,win,True,1.820296106402281,1.820296106402281,True,False
PR15A,6,840,13152.94,12991.218,win,win,True,1.2295501994230928,1.2295501994230928,True,False
PR15A,7,840,13214.025,13045.686,win,win,True,1.2739418912859628,1.2739418912859628,True,False
PR15A,8,840,13252.935,13085.872,win,win,True,1.2605736012438007,1.2605736012438007,True,False
PR15A,9,840,13157.533,13051.106,win,win,True,0.8088674373835861,0.8088674373835861,True,False
PR15A,10,840,13181.823,13027.394,win,win,True,1.1715299166132036,1.1715299166132036,True,False
PR15B,1,840,10556.58,10436.753,win,win,True,1.135092994132563,1.135092994132563,True,False
PR15B,2,840,10497.382,10397.57,win,win,True,0.9508275491927406,0.9508275491927406,True,False
