algorithm,algorithm_label,seed,selected_for_figure4,elapsed_seconds,elapsed_minutes,cost_cny,source,snapshot_order,sealed_final_cost,curve_best_below_final
cv_only,HGS-F,3,True,0.0,0.0,2599.0986351907086,common_initial,0,2480.060060310482186,False
cv_only,HGS-F,3,True,0.07209279200105811,0.0012015465333509686,2525.624482136281,hgs_new_population_best,3,2480.060060310482186,False
cv_only,HGS-F,3,True,0.07425958400017407,0.0012376597333362345,2524.784636130722,hgs_new_population_best,4,2480.060060310482186,False
cv_only,HGS-F,3,True,0.07943250000062108,0.0013238750000103513,2519.204406616095,hgs_new_population_best,5,2480.060060310482186,False
cv_only,HGS-F,3,True,0.6137629590011784,0.01022938265001964,2518.565915204853,hgs_new_population_best,6,2480.060060310482186,False
cv_only,HGS-F,3,True,11.678748250000353,0.19464580416667257,2480.060060310482,final_rerun_solution,7,2480.060060310482186,False
naive_ev,HGS-E,9,True,0.0,0.0,2599.0986351907086,common_initial,0,2359.195144634839835,False
naive_ev,HGS-E,9,True,0.05190887499884411,0.0008651479166474019,2444.2639252511444,hgs_new_population_best,3,2359.195144634839835,False
naive_ev,HGS-E,9,True,0.3784763749990816,0.006307939583318027,2389.091190312187,hgs_new_population_best,4,2359.195144634839835,False
naive_ev,HGS-E,9,True,0.7750443339991762,0.012917405566652936,2379.480702572609,hgs_new_population_best,5,2359.195144634839835,False
naive_ev,HGS-E,9,True,0.9541357919988513,0.015902263199980855,2376.0766186904507,hgs_new_population_best,6,2359.195144634839835,False
naive_ev,HGS-E,9,True,5.371332291999352,0.08952220486665587,2371.4194755554404,hgs_new_population_best,12,2359.195144634839835,False
naive_ev,HGS-E,9,True,7.371031916998618,0.12285053194997696,2364.048690580053,hgs_new_population_best,14,2359.195144634839835,False
naive_ev,HGS-E,9,True,23.922139791999143,0.3987023298666524,2359.19514463484,final_rerun_solution,17,2359.195144634839835,False
mechanism_ev,HGS-M,3,True,0.0,0.0,2599.0986351907086,common_initial,0,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,0.25987958400037314,0.004331326400006219,2559.510231489043,hgs_new_population_best,2,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,0.3244113750006363,0.005406856250010606,2547.116575057289,hgs_new_population_best,3,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,0.35159145900070143,0.005859857650011691,2448.9797097680053,hgs_new_population_best,4,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,0.5009572090002621,0.008349286816671036,2386.230092974865,hgs_new_population_best,5,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,0.793780334000985,0.01322967223334975,2377.2368548187414,hgs_new_population_best,6,2362.121042915277485,False
mechanism_ev,HGS-M,3,True,13.330050292001033,0.22216750486668388,2362.1210429152775,final_rerun_solution,12,2362.121042915277485,False
MV-HGS-SP,MV-HGS-SP,9,True,0.0,0.0,2599.0986351907086,common_initial,0,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,0.49547474999963015,0.008257912499993835,2435.7724914652117,hgs_new_population_best,5,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,0.8964310829996975,0.01494051804999496,2410.402123604397,hgs_new_population_best,6,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,1.00703670799885,0.016783945133314167,2395.5556323787832,hgs_new_population_best,7,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,1.0617525419984304,0.01769587569997384,2382.2432213154993,hgs_new_population_best,8,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,1.5487471249998634,0.025812452083331057,2376.8755554060517,hgs_new_population_best,10,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,2.946509666999191,0.049108494449986516,2364.2867491773877,hgs_new_population_best,12,2357.641276768278203,False
MV-HGS-SP,MV-HGS-SP,9,True,16.12356516699947,0.2687260861166578,2357.641276768278,set_partitioning_candidate,15,2357.641276768278203,False
