region,date,daily_mean_gCO2_per_kWh,intraday_range_gCO2_per_kWh,eight_slot_shift_potential_gCO2_per_kWh,carbon_price_band_correlation,optimization_results_read
Beijing,2026-07-01,485.28999999999996,358.46000000000004,341.69000000000005,-0.6896454490734872,0
Beijing,2026-07-02,426.94083333333333,488.88,448.27500000000003,-0.6818764158324507,0
Beijing,2026-07-03,446.1375,487.4,458.89,-0.6498081271922326,0
Beijing,2026-07-04,430.77583333333337,487.64,431.3949999999999,-0.6560884535607565,0
Beijing,2026-07-05,427.77416666666664,409.96,373.505,-0.6345255847573674,0
Beijing,2026-07-06,413.99333333333334,501.38,465.64,-0.6536387718183104,0
Beijing,2026-07-07,367.48333333333335,354.98,336.265,-0.5276212103349937,0
Beijing,2026-07-08,433.6233333333333,493.65999999999997,481.78999999999996,-0.7276605402768606,0
Beijing,2026-07-09,408.7616666666667,525.24,505.60499999999996,-0.7194796161800203,0
Beijing,2026-07-10,395.3925,372.68000000000006,354.065,-0.540311358363652,0
Beijing,2026-07-11,482.4475,340.22,311.48500000000007,-0.7646921308402455,0
Beijing,2026-07-12,407.26500000000004,365.12,337.46500000000003,-0.582971796286944,0
Beijing,2026-07-13,463.79833333333335,493.28,480.01,-0.7059537997635242,0
Beijing,2026-07-14,419.77833333333336,423.84,397.4150000000001,-0.6876167116899643,0
Beijing,2026-07-15,444.18833333333333,457.06000000000006,435.17500000000007,-0.6729878549283398,0
Beijing,2026-07-16,487.615,488.72,457.4,-0.6975737131481752,0
Beijing,2026-07-17,446.77,492.74,454.485,-0.7578243462320635,0
Beijing,2026-07-18,421.73499999999996,456.5,421.695,-0.6378058342333954,0
Beijing,2026-07-19,457.5175,452.06,430.80999999999995,-0.6742935740528652,0
Beijing,2026-07-20,458.865,445.96,404.045,-0.71059920375881,0
Beijing,2026-07-21,466.31583333333333,468.14000000000004,441.05500000000006,-0.6588722801934708,0
Beijing,2026-07-22,454.405,514.82,461.44000000000005,-0.6586024308974923,0
Beijing,2026-07-23,441.31,407.37999999999994,384.975,-0.7206284004564667,0
Beijing,2026-07-24,476.26666666666665,459.67999999999995,441.07000000000005,-0.6621718183119361,0
Beijing,2026-07-25,421.4458333333334,422.43999999999994,405.96500000000003,-0.6491881860551479,0
Beijing,2026-07-26,422.68,441.3,421.70000000000005,-0.5768321614158639,0
Beijing,2026-07-27,450.74499999999995,455.84000000000003,433.28999999999996,-0.6496996277794246,0
Beijing,2026-07-28,521.2066666666666,426.04,406.85999999999996,-0.7249887259489615,0
Beijing,2026-07-29,370.0958333333333,388.52,365.095,-0.5806681801609704,0
Beijing,2026-07-30,455.9841666666667,475.29999999999995,458.46500000000003,-0.7582866407769361,0
Beijing,2026-07-31,422.1858333333334,407.68000000000006,381.99,-0.682061928679481,0
Chongqing,2026-07-01,205.25166666666667,261.34000000000003,246.24,-0.3292468589725551,0
Chongqing,2026-07-02,232.79416666666668,278.74,266.145,-0.4140148547554825,0
Chongqing,2026-07-03,237.25333333333333,267.36,251.81000000000003,-0.46663174321069784,0
Chongqing,2026-07-04,245.4625,258.38,245.69499999999996,-0.3360063054321448,0
Chongqing,2026-07-05,230.27916666666667,266.36,257.175,-0.3799410586148945,0
Chongqing,2026-07-06,179.03333333333333,261.78,242.04000000000002,-0.20982280833352993,0
Chongqing,2026-07-07,182.42083333333335,274.35999999999996,258.48,-0.3808354604898587,0
Chongqing,2026-07-08,278.05833333333334,283.94,269.455,-0.4391257944466196,0
Chongqing,2026-07-09,251.64666666666665,265.18,233.04000000000002,-0.4031768264814256,0
Chongqing,2026-07-10,235.27416666666667,247.04000000000002,234.39000000000001,-0.4132675062557504,0
Chongqing,2026-07-11,200.43583333333333,258.02,244.23,-0.37056356657721085,0
Chongqing,2026-07-12,236.80416666666667,271.22,265.29999999999995,-0.34168098913266326,0
Chongqing,2026-07-13,244.29250000000002,296.06,274.4,-0.4506810543539674,0
Chongqing,2026-07-14,192.77916666666667,279.74,257.67,-0.41605862372182284,0
Chongqing,2026-07-15,198.96583333333334,264.04,249.12500000000003,-0.3682392096977151,0
Chongqing,2026-07-16,239.81083333333333,237.54000000000002,221.81,-0.37273989561629267,0
Chongqing,2026-07-17,176.85083333333333,259.58,247.70999999999998,-0.3265127966056929,0
Chongqing,2026-07-18,239.66166666666666,268.92,261.52500000000003,-0.37475847988862104,0
Chongqing,2026-07-19,227.24833333333333,245.04000000000002,228.83499999999998,-0.30438225276601677,0
Chongqing,2026-07-20,179.62583333333336,247.29999999999998,240.15000000000003,-0.4287330270038624,0
Chongqing,2026-07-21,211.38,269.82,242.575,-0.3638914699820614,0
Chongqing,2026-07-22,199.12333333333333,256.41999999999996,246.54000000000002,-0.3970180761482814,0
Chongqing,2026-07-23,215.86833333333334,246.42,237.41000000000003,-0.4375359885960744,0
Chongqing,2026-07-24,224.7025,220.8,190.46,-0.5482597047852786,0
Chongqing,2026-07-25,207.28916666666666,230.04,220.43500000000003,-0.3826281349525387,0
Chongqing,2026-07-26,201.45166666666668,240.82,232.91,-0.38493418208236685,0
Chongqing,2026-07-27,204.995,256.88,244.37,-0.46855596821055545,0
Chongqing,2026-07-28,229.07416666666666,242.89999999999998,228.01,-0.5071481918999923,0
Chongqing,2026-07-29,209.58416666666668,230.66000000000003,222.00000000000003,-0.2912189773714582,0
Chongqing,2026-07-30,209.04916666666668,230.38,215.52999999999997,-0.44163907676400227,0
Chongqing,2026-07-31,220.7875,255.32,241.49,-0.424989347375049,0
Guangdong,2026-07-01,369.2733333333333,272.79999999999995,259.335,-0.7311681090991431,0
Guangdong,2026-07-02,402.6525,195.8,187.81000000000006,-0.8354176366245138,0
Guangdong,2026-07-03,406.6525,227.38,205.83499999999998,-0.8033420471351795,0
Guangdong,2026-07-04,417.555,227.99999999999994,213.79999999999995,-0.8256090288787767,0
Guangdong,2026-07-05,420.6033333333333,228.60000000000002,217.91999999999996,-0.8474051082528669,0
Guangdong,2026-07-06,415.0608333333333,225.26000000000005,213.93,-0.8437897906248517,0
Guangdong,2026-07-07,379.7575,242.22000000000003,230.33499999999998,-0.7787268753775168,0
Guangdong,2026-07-08,395.18,232.71999999999997,218.24999999999994,-0.7805117632539058,0
Guangdong,2026-07-09,418.28583333333336,218.77999999999997,206.72999999999996,-0.8309173231518872,0
Guangdong,2026-07-10,407.1683333333333,221.40000000000003,204.03000000000003,-0.8177217881255386,0
Guangdong,2026-07-11,416.53833333333336,211.54000000000002,199.48000000000002,-0.8411033861250058,0
Guangdong,2026-07-12,423.7075,209.92000000000002,190.47499999999997,-0.8566085725502918,0
Guangdong,2026-07-13,413.25083333333333,226.65999999999997,208.7849999999999,-0.8091882609042845,0
Guangdong,2026-07-14,374.3533333333333,207.52000000000004,189.81,-0.7934080833217484,0
Guangdong,2026-07-15,374.29583333333335,241.11999999999998,223.70500000000004,-0.7731499548584679,0
Guangdong,2026-07-16,414.7608333333333,217.3,207.39499999999998,-0.835645973215858,0
Guangdong,2026-07-17,412.09,199.82,181.95000000000005,-0.851324862908866,0
Guangdong,2026-07-18,432.3925,171.92000000000007,163.16000000000008,-0.8258586672055827,0
Guangdong,2026-07-19,421.8208333333334,186.10000000000002,177.07,-0.8344415682763837,0
Guangdong,2026-07-20,424.23333333333335,222.06000000000006,205.0,-0.8172134585858825,0
Guangdong,2026-07-21,371.2733333333333,256.84000000000003,230.24,-0.7816391946687675,0
Guangdong,2026-07-22,360.2908333333333,257.42,246.65500000000003,-0.7749012590608274,0
Guangdong,2026-07-23,420.12416666666667,232.79999999999995,199.79500000000002,-0.8184468236329727,0
Guangdong,2026-07-24,408.1658333333333,236.08000000000004,210.89500000000004,-0.8185361261151379,0
Guangdong,2026-07-25,406.2575,205.73999999999995,195.41000000000003,-0.8511647226259692,0
Guangdong,2026-07-26,405.05833333333334,213.7,198.29500000000002,-0.8391577933071419,0
Guangdong,2026-07-27,407.8766666666667,232.39999999999998,206.83999999999997,-0.794988729831746,0
Guangdong,2026-07-28,368.4875,241.70000000000002,231.28,-0.7820601367967841,0
Guangdong,2026-07-29,347.30833333333334,273.9,264.265,-0.7450644724390405,0
Guangdong,2026-07-30,406.0541666666666,228.18,210.83499999999998,-0.8128172904999053,0
Guangdong,2026-07-31,405.4058333333333,253.88,225.69,-0.7902148287524243,0
