region,case_role,date,daily_mean_gCO2_per_kWh,intraday_range_gCO2_per_kWh,eight_slot_shift_potential_gCO2_per_kWh,carbon_price_band_correlation,optimization_results_read,formal_panel_membership,use_boundary
Beijing,least_conflicted_profile,2026-07-07,367.48333333333335,354.98,336.265,-0.5276212103349937,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Beijing,strongest_carbon_cost_conflict,2026-07-11,482.4475,340.22,311.48500000000007,-0.7646921308402455,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Beijing,maximum_intraday_flexibility,2026-07-09,408.7616666666667,525.24,505.60499999999996,-0.7194796161800203,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Beijing,typical_joint_profile,2026-07-15,444.18833333333333,457.06000000000006,435.17500000000007,-0.6729878549283398,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Guangdong,least_conflicted_profile,2026-07-01,369.2733333333333,272.79999999999995,259.335,-0.7311681090991431,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Guangdong,strongest_carbon_cost_conflict,2026-07-12,423.7075,209.92000000000002,190.47499999999997,-0.8566085725502918,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Guangdong,maximum_intraday_flexibility,2026-07-29,347.30833333333334,273.9,264.265,-0.7450644724390405,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Guangdong,typical_joint_profile,2026-07-30,406.0541666666666,228.18,210.83499999999998,-0.8128172904999053,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Chongqing,least_conflicted_profile,2026-07-06,179.03333333333333,261.78,242.04000000000002,-0.20982280833352993,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Chongqing,strongest_carbon_cost_conflict,2026-07-24,224.7025,220.8,190.46,-0.5482597047852786,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Chongqing,maximum_intraday_flexibility,2026-07-13,244.29250000000002,296.06,274.4,-0.4506810543539674,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
Chongqing,typical_joint_profile,2026-07-11,200.43583333333333,258.02,244.23,-0.37056356657721085,0,retained_1_of_31,explanatory_figure_only_not_primary_estimate
