actual_customer_count,bundle_dir,capacity_only_ffd_route_count,capacity_only_ffd_total_slack,capacity_route_lower_bound,deleted_customer_count,dynamic_events_tsv_exists,exact_hit,instance,kept_by_shift,requested_customer_count,three_shift_manifest,total_demand,tw_width_max_seconds,tw_width_mean_seconds,tw_width_median_seconds,tw_width_min_seconds
150,models/data_bundle/generated_instances/E-UK24h-三班-150,45,1757.6000000000058,44,43,False,True,Scale-150,"{""0"": 64, ""1"": 64, ""2"": 22}",150,models/data_bundle/generated_instances/E-UK24h-三班-150/three_shift_manifest.json,70242.4,21417.0,19838.28,19882.0,18333.0
200,models/data_bundle/generated_instances/E-UK24h-三班-200,57,1178.6000000000058,57,62,False,True,Scale-200,"{""0"": 87, ""1"": 88, ""2"": 25}",200,models/data_bundle/generated_instances/E-UK24h-三班-200/three_shift_manifest.json,90021.4,21333.0,19798.25,19776.0,18333.0
