instance_id,region,customer_count,node_count,city_count,cities,time_profile_rows,num_cv_cap,num_ev_cap,fleet_cap_semantics,diesel_price_cny_per_l,diesel_price_source_id,cv_formula_abs_error,ev_formula_abs_error,charging_cost_abs_error,charging_emissions_abs_error,curve_parameter_sha256,curve_physical_sha256,battery_capacity_kwh,reference_power_kw,cv_ev_road_profiles_loaded,cv_ev_road_profiles_differ,dynamic_subset_profiles_preserved,dynamic_new_node_rejected,formal_search_allowed,passed
cn-cy-15c-02-V2-LOCATIONS,cy,15,17,1,chongqing,48,15,15,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-15c-03-V2-LOCATIONS,cy,15,17,1,chongqing,48,15,15,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-200c-01-V2-LOCATIONS,cy,200,204,2,chengdu|chongqing,96,200,200,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,True,True,True,False,True
cn-cy-200c-02-V2-LOCATIONS,cy,200,204,2,chengdu|chongqing,96,200,200,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,True,True,True,False,True
cn-cy-200c-03-V2-LOCATIONS,cy,200,204,2,chengdu|chongqing,96,200,200,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,True,True,True,False,True
cn-cy-20c-01-V2-LOCATIONS,cy,20,22,1,chongqing,48,20,20,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-20c-02-V2-LOCATIONS,cy,20,22,1,chongqing,48,20,20,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-20c-03-V2-LOCATIONS,cy,20,22,1,chongqing,48,20,20,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-25c-01-V2-LOCATIONS,cy,25,27,1,chongqing,48,25,25,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
cn-cy-25c-02-V2-LOCATIONS,cy,25,27,1,chongqing,48,25,25,NONBINDING_ALGORITHMIC_UPPER_BOUND_ONE_VEHICLE_PER_CUSTOMER_PER_TYPE,6.9,CHONGQING_OFFICIAL_2026-07-04_0_DIESEL_6.90_CNY_PER_L,0.0,0.0,0.0,0.0,605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54,51f44981af3059f0a05b6988fd27a3a592f17ae8ea626a49d8fb9abfafc03f3d,140.41,22.0,True,False,True,True,False,True
