task_id,instance_id,region,tier,seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-E_cost,HGS-E_cpu_seconds,HGS-M_cost,HGS-M_cpu_seconds,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,HGS-F_emissions_kg,HGS-E_emissions_kg,HGS-M_emissions_kg,MV-HGS-SP_emissions_kg,complete_candidate_attempts,wallclock_safety_triggered,all_charging_on_registered_date,all_depot_charging_finishes_before_departure,mip_status,mip_status_class,mip_message,mip_incumbent_available,mip_objective,mip_dual_bound,mip_gap,mip_node_count,mip_time_limit_seconds,mip_optimality_proven,selected_source,witness_sha256,input_manifest_sha256,responsibility_map_sha256,status
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5402.472346888346,30.762469125009375,5457.086477673681,36.56577395899512,5466.647996428059,39.381763249999494,5399.970882663374,108.09957108300296,464.49491517509915,475.2467929713377,476.4034286605035,464.15657368708514,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5399.970882663372,5399.970882663372,0.0,1,5.0,True,time_limited_mip_recombination,df4470bc655905937df829eb0ec321326e54a03edfd5dd4dc9dc8ad378d50143,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,cy,100,2,5399.970882663374,30.480613416992128,5461.743733075129,38.895192458003294,5453.857735968901,38.868352958001196,5399.970882663374,109.65326762500627,464.15657368708514,475.8785159551288,474.50459883047506,464.15657368708514,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5399.970882663374,5399.970882663374,0.0,1,5.0,True,best_exact_hgs_parent,ddb68a183809148f9412560c8d9dc98bfe4b15b6497383cf9bd44f784ea78111,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,cy,100,3,5399.970882663374,30.328037665996817,5463.827522909196,38.43568225001218,5467.946870968471,37.86107149999589,5399.970882663374,108.04944308400445,464.15657368708514,476.21691162308247,476.64403861948585,464.15657368708514,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5399.970882663374,5399.970882663373,0.0,1,5.0,True,best_exact_hgs_parent,1c938ec8f1e94560d49e4b63d4d8c65958cddb724945a754e09db76e065bb323,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,cy,100,4,5399.970882663374,30.789458457991714,5468.132322306392,37.90731104199949,5475.701745081806,40.671996082994156,5399.970882663374,110.85723395799869,464.15657368708514,476.9421423637934,478.0496287402023,464.15657368708514,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5399.970882663376,5399.970882663376,0.0,1,5.0,True,best_exact_hgs_parent,e98b692cbdd5e59190f2fa5592292c9067e9c6d86a458846c7e97f4c0aa1f720,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,cy,100,5,5401.881239233363,30.604027791996486,5462.281414055326,38.50984737499675,5464.305071824668,39.40772712499893,5401.881239233363,110.0342891659966,464.298354633153,475.3497276955062,476.3525727429807,464.298354633153,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5401.881239233362,5401.881239233362,0.0,1,5.0,True,best_exact_hgs_parent,485f6c5f820809687aade986718ed4561879d9ab6ed007e7a1b5afa5cc3486c8,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed1,cn-cy-100c-02-V2-LOCATIONS,cy,100,1,5124.157980867677,28.138823208995746,4954.466273738942,34.76542954200704,5141.721275105692,35.90604970800632,4929.892531543206,100.16935154199018,443.7644653090347,444.2241065642598,446.9263111148912,439.471782160113,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4929.892531543205,4929.892531543206,0.0,1,5.0,True,time_limited_mip_recombination,27600ca970643eb47bafce6b8e0c877fe149c2dabfed356503b17d27f2873eb6,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed2,cn-cy-100c-02-V2-LOCATIONS,cy,100,2,5120.428695466106,29.89303399999335,4933.74556964383,36.248401375007234,5146.244073413156,37.35208562501066,4927.830760657252,104.8868172079965,442.7043244484296,440.053652782733,447.53481642885737,438.67834551494155,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4927.8307606572525,4927.8307606572525,0.0,1,5.0,True,time_limited_mip_recombination,beb052476ac174ecca9ec8db3e4e153db1ab46ac13468db1e2fc7b7322d49c85,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed3,cn-cy-100c-02-V2-LOCATIONS,cy,100,3,4920.525004291545,30.156390375006595,5142.089248766153,40.315888624987565,5147.153562484337,40.438034749997314,4920.525004291545,112.5152676669968,437.3048403393949,447.53005123848567,448.13385133144385,437.3048403393949,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4920.525004291545,4920.525004291545,0.0,1,5.0,True,best_exact_hgs_parent,9cad07e0588cfc539364d772699b38cde6a84ec38ce83acfc0174cbec711957b,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed4,cn-cy-100c-02-V2-LOCATIONS,cy,100,4,5117.492237248016,31.2274669999897,4918.511356424707,36.62854837499617,5137.247866676757,38.750538542008144,4916.798708359254,108.16870762499457,442.10464647201314,437.1807921111993,446.14274865051215,436.8975472718069,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4916.798708359253,4916.798708359253,0.0,1,5.0,True,time_limited_mip_recombination,8961d43bf87cbf5bc41654b92b58ef55ca4b0590ff3e3442898f817df13816a5,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed5,cn-cy-100c-02-V2-LOCATIONS,cy,100,5,4933.905522969644,30.965384041002835,4910.603856145021,36.82041308400221,5139.760513737376,38.688587291006115,4909.446401649948,107.89900058299827,440.1830874053977,435.41543689574166,446.8450099274601,435.3266318028599,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4909.446401649949,4909.446401649948,0.0,1,5.0,True,time_limited_mip_recombination,2ba71656bbaab6549c13506c63ced7778867581dd101342883232224cc97afb3,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
