profile,observed_pair_count,expected_pair_count,total_attempts,pair_entropy,normalized_pair_entropy,top1_pair_share,top2_pair_share,top3_pair_share,starving_pair_count,best_improved_total,best_improved_top1_share,best_improved_top3_share
A0_MAIN_LOCAL_SEARCH,18,18,191212,1.5837649000195995,0.5479450509066646,0.5102399430998055,0.7646329728259733,0.8143631152856515,8,2168,0.48154981549815495,0.8607011070110702
A3_BACKEND_LOCAL_SEARCH,18,18,191191,1.7641186819787016,0.6103431771914223,0.4624746980767923,0.6931550125267403,0.7574467417399354,7,2673,0.5312383090160868,0.8432472876917322
LNS_STRONG_BRIDGE,9,9,93695,2.156056858827246,0.9812637638712004,0.14778803564757992,0.289631250333529,0.42834729708095415,0,1334,0.20839580209895053,0.5487256371814093
