category,instance,seed,profile,total_attempts,top1_pair_share,top2_pair_share,top3_pair_share,best_improved_count,best_improved_rate,final_gap_vs_lns,outcome_vs_lns
multidepot,e2-multidepot-20c-01,1,A3_BACKEND_LOCAL_SEARCH,3980,0.8374371859296482,0.8472361809045226,0.8567839195979899,10,0.002512562814070352,-0.007505389455130841,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-20c-01,2,A0_MAIN_LOCAL_SEARCH,3982,0.6755399296835761,0.7438473129080864,0.8121546961325967,8,0.0020090406830738324,0.0,TIE
multidepot,e2-multidepot-20c-01,2,A3_BACKEND_LOCAL_SEARCH,3981,0.8711379050489827,0.8789248932429038,0.8867118814368249,12,0.003014318010550113,0.0,TIE
multidepot,e2-multidepot-20c-01,3,A0_MAIN_LOCAL_SEARCH,3981,0.7071087666415473,0.8100979653353428,0.8693795528761618,14,0.0035167043456417984,0.0021007813270650373,ALNS_BETTER_THAN_LNS
multidepot,e2-multidepot-20c-01,3,A3_BACKEND_LOCAL_SEARCH,3980,0.8590452261306533,0.8673366834170855,0.8756281407035176,14,0.0035175879396984926,-0.09439045452738046,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-50c-01,1,A0_MAIN_LOCAL_SEARCH,3984,0.9728915662650602,0.9839357429718876,0.9907128514056225,53,0.013303212851405623,0.07405342227516698,ALNS_BETTER_THAN_LNS
multidepot,e2-multidepot-50c-01,1,A3_BACKEND_LOCAL_SEARCH,3982,0.9753892516323456,0.9959819186338523,0.9962330487192366,43,0.010798593671521849,0.038172256702176006,ALNS_BETTER_THAN_LNS
multidepot,e2-multidepot-50c-01,2,A0_MAIN_LOCAL_SEARCH,3983,0.6929450163193572,0.9846849108712026,0.9959829274416269,23,0.005774541802661311,-0.029118488613533545,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-50c-01,2,A3_BACKEND_LOCAL_SEARCH,3981,0.9042954031650339,0.9397136397889977,0.9434815373021854,29,0.00728460185882944,-0.07061731708338718,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-50c-01,3,A0_MAIN_LOCAL_SEARCH,3982,0.9844299347061778,0.9959819186338523,0.9962330487192366,40,0.010045203415369162,0.02201635622979769,ALNS_BETTER_THAN_LNS
multidepot,e2-multidepot-50c-01,3,A3_BACKEND_LOCAL_SEARCH,3981,0.9811605124340618,0.9959809093192665,0.9962321024868124,41,0.010298919869379553,-0.07422277107001139,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-75c-01,1,A0_MAIN_LOCAL_SEARCH,3986,0.9741595584545911,0.985449071751129,0.9962368289011541,62,0.015554440541896638,-0.008352100717384774,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-75c-01,1,A3_BACKEND_LOCAL_SEARCH,3983,0.9829274416269144,0.995229726336932,0.9962339944765253,71,0.01782575947778057,0.0023249460695825793,ALNS_BETTER_THAN_LNS
multidepot,e2-multidepot-75c-01,2,A0_MAIN_LOCAL_SEARCH,3984,0.9663654618473896,0.9841867469879518,0.9962349397590361,47,0.01179718875502008,-0.042645901731852356,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-75c-01,2,A3_BACKEND_LOCAL_SEARCH,3982,0.5010045203415369,0.9492717227523857,0.9758915118031141,43,0.010798593671521849,-0.020453543251752384,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-75c-01,3,A0_MAIN_LOCAL_SEARCH,3983,0.9879487823248807,0.9959829274416269,0.9962339944765253,37,0.00928948029123776,-0.011330843765157049,ALNS_WORSE_THAN_LNS
multidepot,e2-multidepot-75c-01,3,A3_BACKEND_LOCAL_SEARCH,3985,0.6268506900878293,0.9234629861982434,0.958594730238394,64,0.01606022584692597,-0.013490577024853385,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-100c-01,1,A0_MAIN_LOCAL_SEARCH,3985,0.9784190715181932,0.9959849435382685,0.9962358845671268,47,0.011794228356336261,-0.03155150403532277,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-100c-01,1,A3_BACKEND_LOCAL_SEARCH,3988,0.9779338014042126,0.995987963891675,0.9962387161484454,87,0.021815446339017053,-0.059736425986823216,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-100c-01,2,A0_MAIN_LOCAL_SEARCH,3985,0.978168130489335,0.9882057716436637,0.9962358845671268,51,0.012797992471769134,-0.022804835649067382,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-100c-01,2,A3_BACKEND_LOCAL_SEARCH,3984,0.9781626506024096,0.9959839357429718,0.9962349397590361,73,0.018323293172690762,-0.008600780678045114,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-100c-01,3,A0_MAIN_LOCAL_SEARCH,3984,0.9751506024096386,0.9884538152610441,0.9954819277108434,42,0.010542168674698794,0.03580924358222478,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-100c-01,3,A3_BACKEND_LOCAL_SEARCH,3983,0.9648506151142355,0.9879487823248807,0.9924679889530504,65,0.01631935726839066,-0.028195557633608214,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-150c-01,1,A0_MAIN_LOCAL_SEARCH,3990,0.8486215538847118,0.9182957393483709,0.9631578947368421,77,0.01929824561403509,-0.06354973790238948,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-150c-01,1,A3_BACKEND_LOCAL_SEARCH,3990,0.5135338345864662,0.9092731829573935,0.9932330827067669,77,0.01929824561403509,0.020737852594860134,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-150c-01,2,A0_MAIN_LOCAL_SEARCH,3988,0.7156469408224674,0.8643430290872618,0.977432296890672,79,0.019809428284854564,-0.05215650769171744,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-150c-01,2,A3_BACKEND_LOCAL_SEARCH,3985,0.897616060225847,0.9944792973651192,0.9962358845671268,106,0.026599749058971143,0.03197522051148347,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-150c-01,3,A0_MAIN_LOCAL_SEARCH,3984,0.8940763052208835,0.9889558232931727,0.9909638554216867,73,0.018323293172690762,0.09822556368898189,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-150c-01,3,A3_BACKEND_LOCAL_SEARCH,3985,0.8830614805520702,0.9508155583437892,0.9867001254705144,115,0.028858218318695106,0.08592377526389293,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-50c-01,1,A0_MAIN_LOCAL_SEARCH,3984,0.8273092369477911,0.9387550200803213,0.9861947791164659,27,0.00677710843373494,-0.004584518749245014,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-50c-01,1,A3_BACKEND_LOCAL_SEARCH,3982,0.8395278754394776,0.9625816172777498,0.9766449020592667,29,0.007282772476142642,-0.012854623594072202,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-50c-01,2,A0_MAIN_LOCAL_SEARCH,3982,0.8709191361125063,0.9718734304369664,0.9864389753892516,23,0.005775991963837268,-0.07155574756127936,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-50c-01,2,A3_BACKEND_LOCAL_SEARCH,3982,0.904570567553993,0.9334505273731794,0.9623304871923657,39,0.009794073329984932,-0.02501465457917051,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-50c-01,3,A0_MAIN_LOCAL_SEARCH,3983,0.847602309816721,0.9108712026110971,0.950288727090133,24,0.006025608837559628,0.005243888214945699,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-50c-01,3,A3_BACKEND_LOCAL_SEARCH,3981,0.9716151720673197,0.9876915347902537,0.9962321024868124,32,0.008038181361466968,0.013622884458018025,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-75c-01,1,A0_MAIN_LOCAL_SEARCH,3987,0.9711562578379734,0.9849510910458992,0.9929771758214196,39,0.009781790820165538,-0.06089901332854003,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-75c-01,1,A3_BACKEND_LOCAL_SEARCH,3982,0.9161225514816675,0.9595680562531391,0.9962330487192366,46,0.011551983927674536,-0.013098212416789141,ALNS_WORSE_THAN_LNS
