profile,pair,destroy_id,repair_id,attempts,attempt_share,best_improved_count,best_improved_share
A3_BACKEND_LOCAL_SEARCH,random_customer_removal+regret2_insert_repair,random_customer_removal,regret2_insert_repair,44104,0.23068031444994797,643,0.24055368499812943
A3_BACKEND_LOCAL_SEARCH,random_customer_removal+regret3_insert_repair,random_customer_removal,regret3_insert_repair,12292,0.06429172921319518,191,0.0714552936775159
A3_BACKEND_LOCAL_SEARCH,whole_route_removal+regret3_insert_repair,whole_route_removal,regret3_insert_repair,11593,0.060635699379154875,5,0.0018705574261129816
A3_BACKEND_LOCAL_SEARCH,shaw_related_removal+regret3_insert_repair,shaw_related_removal,regret3_insert_repair,6255,0.032715975124352085,88,0.03292181069958848
A3_BACKEND_LOCAL_SEARCH,route_segment_removal+greedy_insert_repair,route_segment_removal,greedy_insert_repair,5986,0.03130900513099466,39,0.014590347923681257
A3_BACKEND_LOCAL_SEARCH,shaw_related_removal+regret2_insert_repair,shaw_related_removal,regret2_insert_repair,5215,0.027276388532933037,92,0.034418256640478866
A3_BACKEND_LOCAL_SEARCH,vehicle_type_swap+greedy_insert_repair,vehicle_type_swap,greedy_insert_repair,4564,0.02387141654157361,120,0.04489337822671156
A3_BACKEND_LOCAL_SEARCH,whole_route_removal+greedy_insert_repair,whole_route_removal,greedy_insert_repair,3148,0.01646521018248767,6,0.002244668911335578
A3_BACKEND_LOCAL_SEARCH,shaw_related_removal+greedy_insert_repair,shaw_related_removal,greedy_insert_repair,3119,0.016313529402534638,58,0.021698466142910586
A3_BACKEND_LOCAL_SEARCH,route_segment_removal+regret2_insert_repair,route_segment_removal,regret2_insert_repair,2194,0.011475435559205193,6,0.002244668911335578
A3_BACKEND_LOCAL_SEARCH,worst_customer_removal+regret2_insert_repair,worst_customer_removal,regret2_insert_repair,724,0.0037867891271032633,3,0.001122334455667789
A3_BACKEND_LOCAL_SEARCH,worst_customer_removal+regret3_insert_repair,worst_customer_removal,regret3_insert_repair,688,0.0035984957450926037,1,0.0003741114852225963
A3_BACKEND_LOCAL_SEARCH,route_segment_removal+regret3_insert_repair,route_segment_removal,regret3_insert_repair,653,0.0034154327348044624,1,0.0003741114852225963
A3_BACKEND_LOCAL_SEARCH,worst_customer_removal+greedy_insert_repair,worst_customer_removal,greedy_insert_repair,569,0.002976081510112924,0,0.0
A3_BACKEND_LOCAL_SEARCH,whole_route_removal+regret2_insert_repair,whole_route_removal,regret2_insert_repair,556,0.0029080866777201854,0,0.0
A3_BACKEND_LOCAL_SEARCH,vehicle_type_swap+regret2_insert_repair,vehicle_type_swap,regret2_insert_repair,555,0.0029028563059976674,0,0.0
A3_BACKEND_LOCAL_SEARCH,vehicle_type_swap+regret3_insert_repair,vehicle_type_swap,regret3_insert_repair,555,0.0029028563059976674,0,0.0
LNS_STRONG_BRIDGE,random_customer_removal+regret2_insert_repair,random_customer_removal,regret2_insert_repair,13847,0.14778803564757992,268,0.20089955022488756
LNS_STRONG_BRIDGE,random_customer_removal+regret3_insert_repair,random_customer_removal,regret3_insert_repair,13290,0.1418432146859491,278,0.20839580209895053
LNS_STRONG_BRIDGE,random_customer_removal+greedy_insert_repair,random_customer_removal,greedy_insert_repair,12997,0.13871604674742516,174,0.13043478260869565
LNS_STRONG_BRIDGE,shaw_related_removal+greedy_insert_repair,shaw_related_removal,greedy_insert_repair,11338,0.12100965899994663,106,0.07946026986506746
LNS_STRONG_BRIDGE,shaw_related_removal+regret3_insert_repair,shaw_related_removal,regret3_insert_repair,11328,0.12090292971876834,186,0.13943028485757122
LNS_STRONG_BRIDGE,shaw_related_removal+regret2_insert_repair,shaw_related_removal,regret2_insert_repair,11311,0.12072148994076524,117,0.08770614692653673
LNS_STRONG_BRIDGE,worst_customer_removal+regret2_insert_repair,worst_customer_removal,regret2_insert_repair,7160,0.07641816532365654,70,0.05247376311844078
LNS_STRONG_BRIDGE,worst_customer_removal+regret3_insert_repair,worst_customer_removal,regret3_insert_repair,6467,0.06902182613800097,94,0.0704647676161919
LNS_STRONG_BRIDGE,worst_customer_removal+greedy_insert_repair,worst_customer_removal,greedy_insert_repair,5957,0.06357863279790811,41,0.03073463268365817
