candidate_objectives_evaluated,error,instance_id,lane,status,task_id
0,cn-cy-25c-02-V2-LOCATIONS__LOCAL: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-cy-25c-02-V2-LOCATIONS,LOCAL,ERROR,cn-cy-25c-02-V2-LOCATIONS__LOCAL
0,cn-cy-25c-02-V2-LOCATIONS__RESOURCE-SLOT: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-cy-25c-02-V2-LOCATIONS,RESOURCE-SLOT,ERROR,cn-cy-25c-02-V2-LOCATIONS__RESOURCE-SLOT
0,cn-jjj-150c-02-V2-LOCATIONS__LOCAL: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-jjj-150c-02-V2-LOCATIONS,LOCAL,ERROR,cn-jjj-150c-02-V2-LOCATIONS__LOCAL
0,cn-jjj-150c-02-V2-LOCATIONS__RESOURCE-SLOT: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-jjj-150c-02-V2-LOCATIONS,RESOURCE-SLOT,ERROR,cn-jjj-150c-02-V2-LOCATIONS__RESOURCE-SLOT
0,cn-jjj-75c-01-V2-LOCATIONS__LOCAL: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-jjj-75c-01-V2-LOCATIONS,LOCAL,ERROR,cn-jjj-75c-01-V2-LOCATIONS__LOCAL
0,cn-jjj-75c-01-V2-LOCATIONS__RESOURCE-SLOT: BrokenProcessPool: A process in the process pool was terminated abruptly while the future was running or pending.,cn-jjj-75c-01-V2-LOCATIONS,RESOURCE-SLOT,ERROR,cn-jjj-75c-01-V2-LOCATIONS__RESOURCE-SLOT
