gate,status,search_evaluations,reason
D2-A,PASS,0,CURRENT_VEHICLE_PAIR_ZERO_SEARCH_WITNESSES
D3,HALT,0,HALT_TREATMENT_CROSS_SITE_NOT_CONSTRUCTIBLE_FOR_36_SINGLE_DEPOT_INSTANCES
D4,NOT_RUN,0,UPSTREAM_GATE_2_HALT
