task,seed,hgs_adapter_calls,hgs_internal_no_improvement_iterations,alns_complete_evaluations,hgs_source_cost,alns_source_cost,hgs_after_shared_experts,alns_after_shared_experts,pool_after_shared_experts,hgs_expert_improvement,alns_expert_improvement,selected_hgs_routes,selected_alns_routes,candidate_route_count,genuinely_mixed,strict_double_win,pool_feasible,pool_error,hgs_responsibility_improvements,hgs_joint_improvements,hgs_carbon_improvements,alns_responsibility_improvements,alns_joint_improvements,alns_carbon_improvements
L-main-multidepot-25c-01,1,1,100,20,822.9729694741302,687.9635104764286,784.0899770260886,669.1239405953008,669.1239405953008,38.88299244804159,18.839569881127773,0,4,8,False,False,True,,1,1,1,0,1,1
L-main-multidepot-50c-01,1,1,100,20,1729.8025228756205,1533.084980329079,1648.6844770659893,1491.6417230360175,1491.6417230360175,81.11804580963121,41.44325729306138,0,8,16,False,False,True,,3,1,1,1,1,1
