check_id,parameter_class,observed,required,status
localized_city_identity,OBSERVED_OR_DERIVED_LOCALIZED_INPUT,"[""beijing"", ""chengdu"", ""chongqing"", ""dongguan"", ""foshan"", ""guangzhou"", ""shenzhen"", ""shijiazhuang"", ""tianjin""]","[""beijing"", ""chengdu"", ""chongqing"", ""dongguan"", ""foshan"", ""guangzhou"", ""shenzhen"", ""shijiazhuang"", ""tianjin""]",PASS
single_registered_calendar_date,OBSERVED_OR_DERIVED_LOCALIZED_INPUT,"[""2025-02-01"", ""2025-02-02"", ""2025-02-03"", ""2025-02-04"", ""2025-02-05"", ""2025-02-06"", ""2025-02-07"", ""2025-02-08"", ""2025-02-09"", ""2025-02-10"", ""2025-02-11"", ""2025-02-12"", ""2025-02-13"", ""2025-02-14"", ""2025-02-15"", ""2025-02-16"", ""2025-02-17"", ""2025-02-18"", ""2025-02-19"", ""2025-02-20"", ""2025-02-21"", ""2025-02-22"", ""2025-02-23"", ""2025-02-24"", ""2025-02-25"", ""2025-02-26"", ""2025-02-27"", ""2025-02-28""]","[""2025-02-12""]",FAIL
city_date_half_hour_calendar_complete,OBSERVED_OR_DERIVED_LOCALIZED_INPUT,432,432,FAIL
localized_joint_key_fail_closed,OBSERVED_OR_DERIVED_LOCALIZED_INPUT,True,True,PASS
shenzhen_independent_price_area,OBSERVED_OR_DERIVED_LOCALIZED_INPUT,"[""shenzhen""]","[""shenzhen""]",PASS
finite_fleet_and_charger_disclosure,CONSTRUCTED_SCENARIO_PARAMETER,True,True,PASS
all_81_runtime_bundles_close,RUNTIME_WIRING,"{""active_city_bindings"": [[""beijing"", ""beijing"", ""Beijing"", ""beijing""], [""chengdu"", ""sichuan"", ""Sichuan"", ""sichuan""], [""chongqing"", ""chongqing"", ""Chongqing"", ""chongqing""], [""dongguan"", ""guangdong_prd_five_city"", ""Guangdong"", ""guangdong""], [""foshan"", ""guangdong_prd_five_city"", ""Guangdong"", ""guangdong""], [""guangzhou"", ""guangdong_prd_five_city"", ""Guangdong"", ""guangdong""], [""shenzhen"", ""shenzhen"", ""Guangdong"", ""guangdong""], [""shijiazhuang"", ""hebei_south"", ""Hebei"", ""hebei""], [""tianjin"", ""tianjin"", ""Tianjin"", ""tianjin""]], ""failure_count"": 0, ""instance_count"": 81}","{""failure_count"": 0, ""instance_count"": 81}",PASS
constructed_scenario_values_frozen,CONSTRUCTED_SCENARIO_PARAMETER,"{""cv_non_energy_distance_cny_per_km"": 0.78, ""depot_charger_count"": [2], ""depot_charger_power_kw"": [22.0], ""ev_non_energy_distance_cny_per_km"": 0.67, ""fleet_main_reserve_factor"": [1.25], ""public_charger_occupancy_cny_per_min"": 0.5, ""revenue_cny_per_kg"": 1.5, ""vehicle_fixed_cost_cny_per_dispatch"": 170.0}","{""cv_non_energy_distance_cny_per_km"": 0.78, ""depot_charger_count"": 2, ""depot_charger_power_kw"": 22.0, ""ev_non_energy_distance_cny_per_km"": 0.67, ""fleet_main_reserve_factor"": 1.25, ""public_charger_occupancy_cny_per_min"": 0.5, ""revenue_cny_per_kg"": 1.5, ""vehicle_fixed_cost_cny_per_dispatch"": 170.0}",PASS
unknown_parameter_count,UNKNOWN,0,0,PASS
