bundle,left_algorithm,baseline_algorithm,paired_n,wins,statistic,p_value,alternative,used_for_gate
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,block_meta_best,best_static_meta,5,2,8.0,0.5,greater,1
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,block_meta_best,best_static_meta,5,2,9.0,0.40625,greater,1
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,block_meta_best,best_static_meta,5,1,2.0,0.9375,greater,1
