rank,model_label,checkpoint_update,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,model_path
1,checkpoint_0030,30,1,3543.1861595306236,0.0,3543.1861595306236,3543.1861595306236,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0030.pt
2,checkpoint_0020,20,1,3543.1861595306236,0.0,3543.1861595306236,3543.1861595306236,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0020.pt
3,checkpoint_0010,10,1,3543.3267420374336,0.0,3543.3267420374336,3543.3267420374336,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0010.pt
4,checkpoint_0140,140,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0140.pt
5,checkpoint_0130,130,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0130.pt
6,checkpoint_0120,120,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0120.pt
7,checkpoint_0110,110,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0110.pt
8,checkpoint_0100,100,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0100.pt
9,checkpoint_0090,90,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0090.pt
10,checkpoint_0060,60,1,3625.0264365403873,0.0,3625.0264365403873,3625.0264365403873,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0060.pt
