algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version,elapsed_seconds,runtime_target_seconds,model_label,checkpoint_update,eval_mode,bundle_role,selection_mode,meta_q_ratio,meta_threshold_ratio,meta_exploration_ratio
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3631.832998621149,600,600,349081,winner_kernel_v1,block_ppo,0,1,cb9a3bd7a551a207b5b1662f8a5e82970c01c081b75d3a40f48b8fc10806218b,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.300000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,98.97921279998263,0.0,checkpoint_0240,240,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3631.832998621149,600,600,349081,winner_kernel_v1,block_ppo,0,1,cb9a3bd7a551a207b5b1662f8a5e82970c01c081b75d3a40f48b8fc10806218b,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.300000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,101.53538969997317,0.0,checkpoint_0250,250,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.189791349486,600,600,30315,winner_kernel_v1,block_ppo,0,1,718fbfce2225e80c7192f8c375ff9293afbd946bff48479de4a4039c903b511f,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,26.037588300008792,0.0,checkpoint_0260,260,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3697.0525171183713,600,600,158090,winner_kernel_v1,block_ppo,0,1,8d0e64607ee3eeb8dd76c25c8daac0d7ab4b70f83e0b82b2dff3d439c87cd868,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40.778974000015296,0.0,checkpoint_0270,270,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.189791349486,600,600,30315,winner_kernel_v1,block_ppo,0,1,718fbfce2225e80c7192f8c375ff9293afbd946bff48479de4a4039c903b511f,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,26.1712242999929,0.0,checkpoint_0280,280,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.110421299415,600,600,28741,winner_kernel_v1,block_ppo,0,1,04fc745b67842966083630432b4e4c020db5f2163f5e08bc7b8209731cca016c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25.647802199993748,0.0,checkpoint_0290,290,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.110421299415,600,600,28741,winner_kernel_v1,block_ppo,0,1,04fc745b67842966083630432b4e4c020db5f2163f5e08bc7b8209731cca016c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25.772780400002375,0.0,checkpoint_0300,300,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.110421299415,600,600,28741,winner_kernel_v1,block_ppo,0,1,04fc745b67842966083630432b4e4c020db5f2163f5e08bc7b8209731cca016c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25.543889099964872,0.0,checkpoint_0310,310,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4166.189791349486,600,600,38776,winner_kernel_v1,block_ppo,0,1,718fbfce2225e80c7192f8c375ff9293afbd946bff48479de4a4039c903b511f,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.300000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,28.91806589998305,0.0,checkpoint_0320,320,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4156.442565824069,600,600,74573,winner_kernel_v1,block_ppo,0,1,ccee4bfdf3a0216632b321b6084c2821a0b9b1b3a4396484735e4eb2c67b5366,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.300000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40.467355700035114,0.0,checkpoint_0330,330,cheap,held_out,block_meta_masked,,,
