bundle,algorithm,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,mean_elapsed_seconds,feasibility_rate
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_ucb_block,3,4942.313433943972,57.84530056725866,4896.882889287565,5007.433045753922,452.8087218666721,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,best_static_meta,5,4875.047381282953,177.28083527645566,4758.044165328611,5186.00574440478,1100.7542630800046,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,block_meta_best,5,4864.274561349683,90.64104598897812,4759.916000417342,4959.633389689552,1846.3647317399852,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,block_meta_final,3,4863.289885145464,87.5924042866476,4764.442349325269,4931.269050799129,966.6154502000232,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,official_winner_kernel,3,4874.967601075189,155.86562831157858,4779.053444002934,5054.812700082481,901.6207695333287,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,random_block,3,4833.963071730633,14.865574274095566,4816.923153036438,4844.276401276564,1532.1864188666611,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,scikit-opt-SA,3,4946.542440177499,34.079415472992984,4907.206719671217,4967.175897742973,901.2071693666512,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,alpha_ucb_block,3,3663.4441993884975,87.8207690843661,3562.5768629259983,3722.9234637189716,355.04790866667946,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,best_static_meta,5,3614.967984598029,58.501890899465494,3544.0084426636226,3667.563508479792,1113.1382517999853,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,block_meta_best,5,3593.613232535978,49.07425641945241,3542.6563823217602,3665.9411048292654,1805.6857175000246,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,block_meta_final,3,3651.0489886902747,67.63894726949196,3573.1601713929654,3694.996025922469,1116.4054882000007,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,official_winner_kernel,3,3754.4700109571695,156.59520470257794,3573.7195780323286,3849.206291963285,902.6281683666554,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,random_block,3,3576.591246048416,21.937667546212975,3552.8122536411674,3596.042547422777,1699.8265268333296,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,scikit-opt-SA,3,3668.9951798865586,47.00437332584235,3625.2049512775193,3718.6611965986563,902.3764637333225,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,alpha_ucb_block,3,3569.194270188384,114.0989255696119,3455.1730139734013,3683.3707068225444,364.75263056667364,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,best_static_meta,5,3519.8751260147983,41.26044514544642,3448.73611183266,3549.052645900117,1102.2683326000115,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,block_meta_best,5,3557.609266780479,23.511759702435565,3523.0076687900737,3581.4715279077714,1769.2754765999853,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,block_meta_final,3,3593.478234869526,81.27618584849995,3515.2708608729654,3677.5099017411712,1174.8332231333286,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,official_winner_kernel,3,3921.2904699756787,46.230693506655655,3868.58261272059,3954.971632719123,901.8219298999951,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,random_block,3,3519.6421951611733,61.767461183575136,3448.7752103472612,3562.0486430823325,1694.6448577000217,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,scikit-opt-SA,3,3551.4202978711714,13.018746745684705,3540.9625478224766,3566.0014113851826,901.5789797666754,1.0
