algorithm_arm,Best_cny,Avg_cny,stability_Gap_percent,paired_mean_cost_diff_vs_full_cny,paired_mean_cost_diff_vs_full_percent,paired_seed_count,CPU_minutes_mean,CPU_minutes_total,feasible_runs,terminal_runs
MV-HGS-SP full,3621.569907766804,3621.569907766804,0.0,0.0,0.0,10,0.5479454783333334,5.479454783333334,10,10
HGS-M-SP (-multi-view),3621.569907766804,3621.569907766804,0.0,0.0,0.0,10,0.38807101166666685,3.8807101166666684,10,10
MV-HGS (-timed MIP recombination),3621.569907766804,3621.569907766804,0.0,0.0,0.0,10,1.073023305,10.730233049999999,10,10
