task_id,group,instance_id,arm_id,algorithm,seed,terminal_status,feasible,objective_cny,hgs_iterations_actual,complete_search_evaluations_actual,complete_search_evaluations_max,post_search_certificate_evaluations,max_hgs_iterations,max_no_improvement_iterations,stop_reason,cpu_seconds,cpu_minutes,wall_seconds,violation_count,solution_path,solution_sha256,common_initial_solution_sha256,route_count,physical_vehicle_count,sp_status,sp_mip_gap,per_view_json,error_type,error_message
G1__PYVRP_HGS__S2026080201,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080201,PASS_FEASIBLE,True,3621.569907766804,690,47,100,1,2000,150,NO_IMPROVEMENT_150,25.649230999999997,0.4274872333333333,64.40677920903545,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080201/solution.json,b144a317e4dd50ac6e56d93f1013587bb6fb928fed8b072a80666c35b5c47234,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 47, ""hgs_iterations"": 690, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080201,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080201,PASS_FEASIBLE,True,3621.569907766804,639,45,100,1,2000,150,NO_IMPROVEMENT_150,24.186168,0.40310284999999996,60.26157737500034,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080201/solution.json,babe4aa5b7027884303622d8a74c061d420a33d770ba4ded9b994ad27f63c762,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 45, ""hgs_iterations"": 639, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080201,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080201,PASS_FEASIBLE,True,3621.569907766804,759,50,100,1,2000,150,NO_IMPROVEMENT_150,30.205823,0.5034304333333333,76.85079362499528,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080201/solution.json,00071f6c0b420901edf7c067789d3a50614f6a7a4c15ba40024dbf43a640cb87,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 50, ""hgs_iterations"": 759, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080201,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080201,PASS_FEASIBLE,True,3621.569907766804,169,26,100,1,2000,150,NO_IMPROVEMENT_150,17.128828000000002,0.2854805166666667,43.89103875006549,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080201/solution.json,6537ac8d2e6ad953e64af8dcd0c224d40cdea6591182ee7e4dd26b14aabb6ff7,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 26, ""hgs_iterations"": 169, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__MV_HGS_SP__S2026080201,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,MV_HGS_SP,MV-HGS-SP,2026080201,PASS_FEASIBLE,True,3621.569907766804,1369,93,100,1,2000,150,MAX_ITERATIONS+NO_IMPROVEMENT_150,31.181566,0.5196928333333334,87.85033954191022,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__MV_HGS_SP__S2026080201/solution.json,f125ee816b3773b3d33d92e4876899edc69f2183a576c64c3a9bc20924b9cec2,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,OPTIMAL,0.0,"{""cv_only"": {""complete_search_evaluations"": 32, ""hgs_iterations"": 600, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""MAX_ITERATIONS"", ""wallclock_safety_triggered"": false}, ""mechanism_ev"": {""complete_search_evaluations"": 27, ""hgs_iterations"": 169, ""iteration_allocation"": 800, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""naive_ev"": {""complete_search_evaluations"": 32, ""hgs_iterations"": 600, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""MAX_ITERATIONS"", ""wallclock_safety_triggered"": false}}",,
G1__PYVRP_HGS__S2026080202,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080202,PASS_FEASIBLE,True,3621.569907766804,510,40,100,1,2000,150,NO_IMPROVEMENT_150,21.000884000000003,0.35001478333333336,63.292794042034075,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080202/solution.json,496d1ade5b254b459358c0ef4060f540fb88d2bba6648874d6d229d9b06a2a5b,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 40, ""hgs_iterations"": 510, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080202,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080202,PASS_FEASIBLE,True,3621.569907766804,401,36,100,1,2000,150,NO_IMPROVEMENT_150,18.47427,0.3079045333333333,56.4042225839803,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080202/solution.json,9117e01af8985934997f5fe73ddac1038e001065f8fe8c53aa6d5e793313eeb4,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 36, ""hgs_iterations"": 401, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080202,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080202,PASS_FEASIBLE,True,3621.569907766804,664,46,100,1,2000,150,NO_IMPROVEMENT_150,25.123997000000003,0.41873331666666663,72.08328824990895,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080202/solution.json,0c82b5f53371c14bdaa009f1a63a6e92c326150e0df49d9d9a2a9441c28e581b,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 46, ""hgs_iterations"": 664, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080202,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080202,PASS_FEASIBLE,True,3621.569907766804,384,35,100,1,2000,150,NO_IMPROVEMENT_150,20.267688000000007,0.33779485,53.351428624941036,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080202/solution.json,30288f2e0042ef756443257a6e6d3c72c3973ac05d59897d22987361967d62ec,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 35, ""hgs_iterations"": 384, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__MV_HGS_SP__S2026080202,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,MV_HGS_SP,MV-HGS-SP,2026080202,PASS_FEASIBLE,True,3621.569907766804,1385,93,100,1,2000,150,MAX_ITERATIONS+NO_IMPROVEMENT_150,29.95371,0.49922856666666676,79.33453158300836,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__MV_HGS_SP__S2026080202/solution.json,35977e068521b2844c71efe47d6c03272c512012b0b26915f7e5e82bc50e1fc6,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,OPTIMAL,0.0,"{""cv_only"": {""complete_search_evaluations"": 30, ""hgs_iterations"": 401, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""mechanism_ev"": {""complete_search_evaluations"": 29, ""hgs_iterations"": 384, ""iteration_allocation"": 800, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""naive_ev"": {""complete_search_evaluations"": 32, ""hgs_iterations"": 600, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""MAX_ITERATIONS"", ""wallclock_safety_triggered"": false}}",,
