algorithm,Best_cny,Avg_cny,Gap_percent,hgs_iterations_mean,complete_search_evaluations_mean,CPU_minutes_mean,CPU_minutes_total,feasible_runs,terminal_runs
PyVRP-HGS,3621.569907766804,3621.569907766804,0.0,414.5,36.2,0.32722016666666665,3.2722016666666667,10,10
HGS-F,3621.569907766804,3621.569907766804,0.0,460.7,38.1,0.34097572499999995,3.4097572499999997,10,10
HGS-E,3621.569907766804,3621.569907766804,0.0,518.5,40.1,0.36625286000000007,3.662528600000001,10,10
HGS-M,3621.569907766804,3621.569907766804,0.0,471.9,38.5,0.3771120583333333,3.7711205833333326,10,10
MV-HGS-SP,3621.569907766804,3621.569907766804,0.0,1405.5,92.8,0.520017435,5.200174349999999,10,10
