run_id,instance,size,arm,seed,fee,budget,start_run_id,fairness_enabled,fairness_theta,allow_cross_depot,contract_note
E3_WARM__200c__A_no_cross__seed1__fee0__eval200,L-main-threeshift-200c-01,200c,A_no_cross,1,0.0,200,E3__200c__M0__seed1__fee0__eval4000,True,1.0,False,A locks customers to frozen owners; B opens cross-depot moves; all other inputs are shared.
E3_WARM__200c__B_cross__seed1__fee0__eval200,L-main-threeshift-200c-01,200c,B_cross,1,0.0,200,E3__200c__M0__seed1__fee0__eval4000,True,1.0,True,A locks customers to frozen owners; B opens cross-depot moves; all other inputs are shared.
