algorithm,seeds,unique_best_costs,best_cost_values,unique_best_signatures,all_eval_budget_full
GA,1|2|3,3,4512.349883350132|4546.634669429166|4715.6440004348915,3,True
LNS,1|2|3,3,3584.208793064069|3590.3494167577587|3622.834478725563,3,True
PSO,1|2|3,3,4469.892560137596|4591.086600561657|4668.63674013568,3,True
VNS,1|2|3,3,3931.7936822608513|3978.3560299971427|4304.548665454515,3,True
