algorithm,seed,run_id,actual_evals,best_cost,native_best_updates,flip_best_updates,common_best_updates,route_count_unique,liveness_verdict,final_improvement_eval,unique_channels
GA,1,G0_GA_seed1,16000,4715.6440004348915,2,35,0,26,BASELINE_LIVENESS_OK,104,flip_operator|native_ga_nn_initialization|native_ga_random_start_nn_initialization
GA,2,G0_GA_seed2,16000,4512.349883350132,8,25,0,26,BASELINE_LIVENESS_OK,12883,flip_operator|native_ga_common_nodes|native_ga_nn_initialization
GA,3,G0_GA_seed3,16000,4546.634669429166,8,36,0,26,BASELINE_LIVENESS_OK,10048,flip_operator|native_ga_common_arcs|native_ga_common_arcs_mutation|native_ga_nn_initialization|native_ga_random_start_nn_initialization
LNS,1,G0_LNS_seed1,16000,3622.834478725563,50,38,0,14,BASELINE_LIVENESS_OK,8827,flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair|native_lns_worst_customer_removal_greedy_insert_repair|native_lns_worst_customer_removal_regret2_insert_repair
LNS,2,G0_LNS_seed2,16000,3584.208793064069,60,45,0,14,BASELINE_LIVENESS_OK,14861,flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair|native_lns_worst_customer_removal_regret2_insert_repair|native_lns_worst_customer_removal_regret3_insert_repair
LNS,3,G0_LNS_seed3,16000,3590.3494167577587,27,29,0,14,BASELINE_LIVENESS_OK,13726,flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair|native_lns_worst_customer_removal_greedy_insert_repair|native_lns_worst_customer_removal_regret2_insert_repair|native_lns_worst_customer_removal_regret3_insert_repair
PSO,1,G0_PSO_seed1,16000,4591.086600561657,2,32,0,13,BASELINE_LIVENESS_OK,4414,flip_operator|native_pso_initial_particle_nn_decode
PSO,2,G0_PSO_seed2,16000,4668.63674013568,1,38,0,12,BASELINE_LIVENESS_OK,4005,flip_operator|native_pso_initial_particle_nn_decode
PSO,3,G0_PSO_seed3,16000,4469.892560137596,2,43,0,12,BASELINE_LIVENESS_OK,2997,flip_operator|native_pso_initial_particle_nn_decode
VNS,1,G0_VNS_seed1,16000,4304.548665454515,1,40,0,8,BASELINE_LIVENESS_OK,10156,flip_operator|native_vns_local_alns_shaw
VNS,2,G0_VNS_seed2,16000,3978.3560299971427,8,43,0,12,BASELINE_LIVENESS_OK,11728,flip_operator|native_vns_construction|native_vns_local_alns_shaw|native_vns_local_relocate
VNS,3,G0_VNS_seed3,16000,3931.7936822608513,3,53,0,9,BASELINE_LIVENESS_OK,15432,flip_operator|native_vns_local_alns_shaw|native_vns_local_relocate
