instance,size,rows,structural_no_ev,signal_seed_count,majority_seed_signal,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_charging_actions,mean_charging_energy_kwh
L-main-threeshift-15c-01,15,0,False,0,False,nan,nan,nan,nan,nan
L-main-threeshift-50c-01,50,1,False,1,False,0.14035087719298245,0.15705304518664048,0.13402392271398034,4.0,239.68837503555017
L-main-threeshift-100c-01,100,0,False,0,False,nan,nan,nan,nan,nan
L-main-threeshift-200c-01,200,0,False,0,False,nan,nan,nan,nan,nan
