algorithm,all_cv_flag,charging_actions,cost_carbon,cost_carbon_share_pct,cost_elec,cost_elec_share_pct,cost_fix,cost_fix_share_pct,cost_fuel,cost_fuel_share_pct,cost_km,cost_km_share_pct,cost_occ,cost_occ_share_pct,cost_transship,cost_transship_share_pct,cv_routes,ev_routes,evaluations,feasible,instance,operator_base_id,route_count,run_elapsed_seconds,seed,solution_path,total_cost,violation_count
winner_kernel_only,False,20,66.87074680006636,1.3228500865470225,181.40301707580966,3.5885496771270944,2640.0,52.22499217670878,711.5688761662385,14.076393557186087,1452.869518569961,28.740946682232902,2.3388619171010916,0.046267820198108565,0.0,0.0,14,19,16000,True,100-01-24h,winner_kernel_v1,33,160.92733758299437,1,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed1.json,5055.051020529177,0
winner_kernel_only,False,22,55.019106081777416,1.1512553003737374,212.1801983605649,4.439795470938337,2560.0,53.567092939972326,574.6457916335678,12.024259581249726,1376.731188347333,28.807612312328178,0.47715957969112566,0.009984395137700258,0.0,0.0,11,21,16000,True,100-01-24h,winner_kernel_v1,32,223.58264962500834,2,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed2.json,4779.053444002934,0
winner_kernel_only,False,23,56.11855084152036,1.1713237621436186,212.19721662830588,4.42904598159324,2560.0,53.43311233313426,588.4421257615974,12.282146174753027,1366.8058136484044,28.528393975881315,7.472952260323681,0.15597777249454095,0.0,0.0,11,21,16000,True,100-01-24h,winner_kernel_v1,32,216.89752399999998,3,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed3.json,4791.036659140152,0
winner_kernel_only,False,20,59.43499918852639,1.2198436426033845,205.53604469243206,4.2184208104155045,2560.0,52.541427907809314,624.4571284160281,12.816355153979831,1422.9175212609587,29.203952485191948,0.0,0.0,0.0,0.0,12,20,16000,True,100-01-24h,winner_kernel_v1,32,175.68087495899817,4,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed4.json,4872.345693557946,0
winner_kernel_only,False,16,73.92612600386025,1.4969258232075535,118.39403428759489,2.3973539101665753,2560.0,51.837291016862316,799.9911517305559,16.198974274676438,1384.6040755095507,28.036767345828984,1.6142882712292277,0.032687629258131665,0.0,0.0,17,15,16000,True,100-01-24h,winner_kernel_v1,32,187.61135887500132,5,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed5.json,4938.529675802791,0
winner_kernel_only,False,19,64.36521425404165,1.325123568904797,168.49471408142352,3.468897283304689,2560.0,52.704187746617635,686.6297262710565,14.136039846015013,1372.2350471553727,28.250989671002134,5.5743278855007725,0.11476188415571828,0.0,0.0,14,18,16000,True,100-01-24h,winner_kernel_v1,32,203.5577518749924,6,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed6.json,4857.299029647395,0
winner_kernel_only,False,21,59.010825809522004,1.219246885077952,200.24765331132986,4.1373989296827,2560.0,52.893210406418476,620.7602863968335,12.82578298450637,1399.4447408776832,28.914502004452768,0.47715957969112566,0.009858789861734734,0.0,0.0,12,20,16000,True,100-01-24h,winner_kernel_v1,32,175.18896666700311,7,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed7.json,4839.940665975059,0
winner_kernel_only,False,22,59.359281026505776,1.2266280773427753,202.6373978437285,4.187394412742392,2560.0,52.901042999414386,625.94600179607,12.934842326689616,1383.619654974502,28.591766743219154,7.661722811763753,0.15832544059168296,0.0,0.0,12,20,16000,True,100-01-24h,winner_kernel_v1,32,147.7617209579912,8,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed8.json,4839.22405845257,0
winner_kernel_only,False,20,59.153152074947435,1.2336657057634821,185.9819093727694,3.8787367272482145,2560.0,53.3899563416853,624.7227073552724,13.028874246623998,1365.0515651108649,28.468766978679007,0.0,0.0,0.0,0.0,12,20,16000,True,100-01-24h,winner_kernel_v1,32,176.67510283399315,9,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed9.json,4794.909333913854,0
winner_kernel_only,False,12,70.87641863573161,1.4130269265063424,116.58249671731754,2.324245640394955,2720.0,54.22724954332872,765.7725354501388,15.266815578412576,1342.6969300501744,26.76866231135742,0.0,0.0,0.0,0.0,22,12,16000,True,100-01-24h,winner_kernel_v1,34,618.613048625004,10,baselines/e2_alns/legacy_anchor/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed10.json,5015.928380853362,0
