arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
simple_insertion,1,PASS,0,944.3872018603695,114,50657.29413198773,0,"{""D0"": 2999.8667393457335, ""D1"": 2678.7728401409818}",82d719d0b8d825997a6f749eda4d8c521893a71990e2893275e7171e08971e60,5678.639579486715,939.16679385418,3913.8256373464806,9592.465216833196,0.9480009440677168,N114,geographic,5
full,3,PASS,22,1998.6476669046233,115,51209.01033670824,0,"{""D0"": 1785.373773090976, ""D1"": 2212.0754332471106}",a701b8f34421d2903ce51734937a3b1b36c0ea9c4c4885b6cd39f5dac2817ade,3997.4492063380867,1988.2705492995387,5699.488991020985,9696.938197359072,1.0,N114,historical_mixed,1
no_cooperation,3,PASS,0,1939.7074357567258,115,51209.01033670824,0,"{""D0"": 1821.1684885778172, ""D1"": 2205.1160646646754}",b8675d2ff6402c1efd444786ffc5a000903bdf68a1b056abe7f719173d536e96,4026.2845532424926,1930.24258798022,5670.653644116577,9696.93819735907,1.0,N114,historical_mixed,1
simple_insertion,3,PASS,0,1818.541211377072,114,51033.01033670824,0,"{""D0"": 2010.5007056157256, ""D1"": 2079.14967872719}",062f659fea35a9e9b527edd9529cfec00bff5643a43fb2f1ec7e86e3e5c806a7,4089.6503843429155,1809.3614130382223,5573.960453016154,9663.610837359069,0.9575213544622496,N114,historical_mixed,1
full,3,PASS,33,1767.3315437782812,114,51177.58109715464,2,"{""D0"": 2056.9597322848917, ""D1"": 2248.385084033384}",043414c52226298e670279bdfd145648f7e66314ac4c5eaaf7829d9186dc52fa,4305.344816318276,1757.0614783343583,5385.641940238925,9690.9867565572,1.0,N114,historical_mixed,2
no_cooperation,3,PASS,0,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,1.0,N114,historical_mixed,2
no_participation,3,PASS,33,1767.3315437782812,114,51177.58109715464,2,"{""D0"": 2056.9597322848917, ""D1"": 2248.385084033384}",043414c52226298e670279bdfd145648f7e66314ac4c5eaaf7829d9186dc52fa,4305.344816318276,1757.0614783343583,5385.641940238925,9690.9867565572,1.0,N114,historical_mixed,2
simple_insertion,3,PASS,0,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,0.976478437030331,N114,historical_mixed,2
full,2,PASS,30,1808.5233471147942,114,50616.075888500294,0,"{""D0"": 1909.762681035345, ""D1"": 2085.8062935323546}",d07c1289ecae6ab8c47a63a4b13e7f57b8c60f6d313fba3f84564435a3bf256f,3995.5689745676996,1800.0355021103203,5589.091155678715,9584.660130246415,1.0,N114,historical_mixed,3
no_cooperation,2,PASS,0,1794.455031269028,114,50616.075888500294,0,"{""D0"": 1842.680498177353, ""D1"": 2085.8062935323546}",84d39687a6cf2d90d110039f55a649167501d7fa0a13df5fa13d65c6f8331229,3928.4867917097076,1786.336803358628,5656.173338536706,9584.660130246415,1.0,N114,historical_mixed,3
simple_insertion,2,PASS,0,1834.908133235882,114,50616.075888500294,0,"{""D0"": 1842.680498177353, ""D1"": 1952.792223404375}",a6964c268b84089cdc71539bfebb5fadfa84e8aa9a4e6749288ba2989ea1352f,3795.472721581728,1826.7899053254819,5789.187408664686,9584.660130246415,0.936976462995347,N114,historical_mixed,3
full,3,PASS,8,1780.1466346617071,114,50378.867241071246,1,"{""D0"": 2088.3265112561185, ""D1"": 2202.0198019835634}",4834f7a7a6ab4cf2d2055867685f555d11f4599cff9d953985ae27bb1cc97c82,4290.346313239682,1769.4711740645637,5249.395987529567,9539.742300769249,1.0,N114,historical_mixed,4
