arm,available_stage_count,completed_stage_count,evaluations,failed_stage,failed_trigger_second,failure_error,network,responsibility_condition,stream_seed
no_participation,3,1,50,2,21600.0,"stage search found no executable continuation (initial_feasible=False, changed=50, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_N_S1_001', 11), ('E7_DYNAMIC_MULTITRIP_V1: route REPACK_001 exceeds one battery', 8), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_002', 4)])",N114,historical_mixed,1
no_participation,2,1,50,2,21600.0,"stage search found no executable continuation (initial_feasible=False, changed=50, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_N_S3_001', 10), ('E7_DYNAMIC_MULTITRIP_V1: route REPACK_001 exceeds one battery', 7), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_004', 4)])",N114,historical_mixed,3
